tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37808662,181,,dudo,2023-02-17T00:23:29+00:00,0,10,"Vaya chorrada de noticia, se da residencia temporal a los estudiantes ya, lo hace este gobierno, y lo hizo el anterior, y ell anterior, sea un FP, un Master, un curso para desempleados, o lo que sea.

Tambien se da 3 meses a cualquiera para que haga turismo. De eso vive españa.

Y a los fubolistas que vienen al Barsa, o otros trabajadores que vengan a trabajar.

Mientras estudies, trabajes o gastes. Te permiten estar. La noticia sería que echen a los ninis fuera."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37807740,180,,--684140--,2023-02-16T21:06:30+00:00,0,10,"Lo que yo decía es que cualquiera que quiera venir a españa, simplemente se estudia una fp y ya acaba teniendo la residencia, es simplemente seguir los trámites .

Pero es que eso no es así. Aunque me da que ya me habrás bloqueado #_179"
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37807731,179,157.0,--731452--,2023-02-16T21:05:27+00:00,0,8,"#157 Tampoco dramatices. Yo ya hace tiempo que decidí que aquí en internet se viene a pasar un buen rato y leer cosas interesantes. Admito cualquier clase de opinión, aún las totalmente contrarias a las mías, pero tengo claro que los desprecios y las tonterías de críos chicos están de más. Cualquier persona normal sabe hablar sin recurrir a eso.
Lo que yo decía es que cualquiera que quiera venir a españa, simplemente se estudia una fp y ya acaba teniendo la residencia, es simplemente seguir los trámites.
Pero nada. sales con el desprecio y la tontería en un mensaje que además no aporta absolutamente nada. Leerlo es una pérdida de tiempo.
Creo que hice mal con el negativo. Te bloqueo mejor. No tengo ganas de explicar esto una segunda vez y me temo que me tocaría."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37807695,178,158.0,--731452--,2023-02-16T21:00:10+00:00,0,8,"#158 Soy alguien que no va insultando y despreciando a miles de españoles por ahí.
No sé como te atreves ni qué puede estar pasando pro tu cabeza para hacer algo así."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37803922,177,169.0,Misc0,2023-02-16T12:24:13+00:00,0,8,"#169 Prefiero tenerlos en un CIE en alguna isla bien lejos muertos del asco hasta que diga de dónde son. ¿Que su país no los acepta? Se les proporciona documentación falsa y se les manda a algún país vecino. Y si hace falta se les mete en una zodiak y se les manda a alguna costa africana para que arreen desde ahí por donde han venido.

No intentes colar la falacia del falso dilema de ""o los tenemos sin hacer nada o les damos papeles con la FP""."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37803265,176,175.0,--299887--,2023-02-16T10:58:26+00:00,0,7,"#175 Eso es resolver los problemas de los que nos podemos ocupar como país, sin generar otros nuevos que perjudiquen a sus ciudadanos. Difícilmente España va a resolver los problemas del mundo."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37803221,175,174.0,--719323--,2023-02-16T10:53:31+00:00,0,10,#174 Eso es no resolver nada y meter la cabeza en el agujero.
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37802826,174,172.0,--299887--,2023-02-16T09:59:16+00:00,0,7,"#172 que sigan hacia países más amistosos del espacio Schengen, que parece que de la inmigración europea nos tenemos que encargar en España. Si de mí dependiese les pongo buses para ir a la capital europea que prefieran."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37802363,173,159.0,Raziel_2,2023-02-16T09:00:40+00:00,0,11,"#159 La tienes tú, sin un puto dato contrastable, solo tus insinuaciones de fraude masivo."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37802182,172,171.0,--719323--,2023-02-16T08:40:40+00:00,0,10,"#171 Eso está muy bien, pongamos que funciona. Tienes un montón de inmigrantes que no van a conseguir trabajo en negro, y que sus países no aceptan como deportados. Cuál sería tu siguiente paso? Meterlos a todos presos? En una bañera con ácido? Esperar a que se dediquen al robo o la droga, para aumentar aún más los problemas de seguridad ciudadana y la población carcelaria?
Tengo mucha curiosidad por escuchar que soluciones propones."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37802092,171,169.0,--299887--,2023-02-16T08:28:55+00:00,0,7,"#169 yo prefiero perseguir a los empresarios que abusan de los inmigrantes ilegales y multarles para que se les quiten las ganas de repetir.
Porque darle la residencia a cualquiera que pise territorio nacional y se apunte a un FP generaría un efecto llamada y hundiría los salarios."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37802056,170,118.0,UnDousTres,2023-02-16T08:24:00+00:00,0,10,"#118 Eso mismo me pasa a mi, pero bueno despues de mucho llamar vas encontrando gente medio decente que te hace hueco, pero si, es dificil de narices encontrar alguien que te de un minimo de confianza."
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37801511,169,84.0,--719323--,2023-02-16T07:09:38+00:00,0,10,"#84 Prefieres tener inmigrantes sin papeles cobrando 400 euros sin hacer nada productivo y quizá buscándose un extra cometiendo algún delito o currando en negro sin cotizar? Porque ten claro, no van a desaparecer por arte de magia, ni es posible deportarlos en la mayoría de los casos, sus países de origen no los aceptan....
Yo prefiero enfrentar los problemas a hacer como el avestruz e ignorarlos.
Cc/ #87"
inmigracion,https://www.meneame.net/story/gobierno-dara-residencia-temporal-inmigrantes-situacion-estudien,3781193,37801499,168,19.0,--719323--,2023-02-16T07:06:15+00:00,0,10,"#19 Si lo puede hacer un inmigrante sin papeles, un español que normalmente tendrás el apoyo de la familia y el entorno de toda la vida, lo tiene más fácil.
Cc/ #36 #41"
