tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17950304,61,24.0,Elián,2015-10-19T23:15:23+00:00,0,6,#24 Pero por qué estoy reportado {lol}
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17947255,60,59.0,--475692--,2015-10-19T15:35:36+00:00,0,8,"#59 No se trata de lo que opinas, que es muy responsable. Es que me he dado cuenta de la fobia que tienen aquí la mayoría a la democracia y a las urnas, incluso aplauden que se le imputen delitos a un presidente por convocar consultas: ""ya lo dirá el juez y el Constitucional"", institución controlada por un partido mafioso. 
El tema son las urnas: ""democracia solo cara a la galería""."
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17947173,59,58.0,AGlC,2015-10-19T15:27:32+00:00,0,7,"#58 Yo siempre he defendido que pueda hacerse una consulta con las garantías debidas y que según lo que voten los catalanes que se actúe en consecuencia, o al menos que se tenga muy encuentra de cara a buscar una solución dialogada. Y no ir al enfrentamiento y la prohibición marca PP. 
Pero eso y esto son cosas diferentes. Y no tienen nada que ver."
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17947108,58,47.0,--475692--,2015-10-19T15:20:49+00:00,0,8,"#47 Ahora mismo la meneada media está recurriendo al populismo para apoyar la democracia: ""vivan las urnas, no hay nada más sano que las urnas"". Pero cuando los catalanes expresan su opinión en las urnas... ""Que se jodan""."
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17944490,57,48.0,gustavocarra,2015-10-19T10:24:25+00:00,0,11,"#48 Mi infancia fue bastante feliz. Y el no ver que el PP siempre ha recurrido a ETA, Gibraltar y Cataluña para distraer a la atención pública de otros asuntos, es estar ciego.

A los corruptos de Mas les conviene tanto como al PP sacar ahora a la palestra el tema de la independencia, y no es la primera vez que se ayudan. De hecho, estas ayudas son sistemáticas.

Y no, no me cae simpática la Burguesía Catalana. Destrozó la industria castellana, en especial la textil. Y apoyó financieramente y espiritualmente (Cardenal Gomà) a la dictadura de Franco. Además de retardar un tiempo vergonzoso la abolición de la esclavitud. Y muchas más calaveradas.

Por mi, que se independicen, y rápido."
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17943665,56,55.0,Fernando_x,2015-10-19T08:38:11+00:00,0,10,#55 Pero Europa no se muere. Es más fuerte y solidaria que nunca. Si tu comentario era irónico no lo he pillado.
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17943593,55,52.0,Porkopek_,2015-10-19T08:25:09+00:00,0,9,"#52 Para imbecilidad la que infieres tú de mi comentario. Yo lo decía por el titular, de un neonazi apuñalando."
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17943486,54,26.0,Fernando_x,2015-10-19T08:11:17+00:00,0,10,#26 Deberías ir a protegerlas. Si realmente crees que están en grave peligro y si no actúas ya para protegerlas eres un hipócrita.
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17943477,53,15.0,Fernando_x,2015-10-19T08:10:11+00:00,1,4,#15 destruir Alemania? Eres un cobarde por tener miedo de unos refugiados y un derrotista por creer que esos refugiados tienen el poder para destruir Alemania.
inmigracion,https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,2495309,17943468,52,32.0,Fernando_x,2015-10-19T08:09:05+00:00,0,10,#32 cobarde y derrotista. Que vienen unos musulmanes y eso es que Europa se muere. Imbecilidades más grandes pocas se han dicho.
