tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28279075,10,9.0,powernergia,2019-11-17T23:56:02+00:00,0,11,"#9 En realidad en 2017 (dato que conocía), no fueron 400.000 personas, si no más de 500.000 personas, (en 2018 probablemente habremos llegado a 600.000). gracias a lo cual podemos mantener el saldo positivo en un país sin natalidad, y gracias a lo que estamos pudiendo mantener el crecimiento y  los servicios: ""Por un lado hay que contar a los que llegan: 532.483 personas (tanto extranjeras como españolas)"" https://www.elmundo.es/espana/2018/06/25/5b30be1dca4741905f8b465e.html

Cómo he comentado antes, ya no espero que entiendas este asunto, así que te dejo.

Un saludo."
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28279039,9,8.0,--588467--,2019-11-17T23:46:15+00:00,0,7,"#8 {lol} {lol} {lol} {lol} . Si claro, nos entra el 10% de población cada año. Me gustan esos datos invent.

El que no lo entiendes eres tú. Porque se sigue teniendo inmigración el paro apenas baja y en el campo se sigue usando inmigrantes, porque tragan más.
Pero si hasta dijeron que no iban a pagar el SMI, que se han tenido que tirar ni sé los meses de huelga para que lo aplicasen. Y aún así se siguen usando ilegales para recoger fruta."
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28276124,8,7.0,powernergia,2019-11-17T15:18:56+00:00,0,11,"#7 En España están entrando 400.000 personas al año, y llevamos varios años de reducción de paro.

Si entendieras como funciona nuestro sistema económico comprenderías porque ocurre esto."
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28276030,7,6.0,--588467--,2019-11-17T15:10:35+00:00,0,7,"#6 No es antiextranjero, no vas a encajar mi discurso en chorradas de esa categoría. Y no pretendas hacer como que no te enteras.
La inmigración es como absolutamente todo, tiene pros y contras. Y así como es necesaria y beneficiosa cuando se tiene muy poco paro es como pretender apagar un fuego con gasolina si se permite con paro alto."
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28271230,6,5.0,powernergia,2019-11-16T19:25:53+00:00,0,11,"#5 Si, salarios de 400€ con precios similares a los de España.

Lo de que cerrar las puertas a la inmigracion  hace aumentar los salarios es una mentira (más) en todo esto.

Pero bueno, ya se que en discurso antiextrajero es lo más fácil de vender, y las mentiras se imponen en esto, Trump, Brexit y como no, nosotros no iba a ser menos.

Ánimo con lo vuestro y buenas tardes."
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28268928,5,4.0,--588467--,2019-11-16T12:44:33+00:00,0,6,"#4 Mira sus salarios cómo se han ido incrementando. No han parado de subir mientras que aquí llevan años estancados (es lo que pasa cuando no tienes inmigrantes de los que echar mano, que no te quedan más cojones que subir salarios para atraer la mano de obra existente). Claro, y deja que adivine: Sobran inmigrantes .
No, no adivines porque adivinas lo que te pasa por los cojones para meter tu discursito rancio.

¿Sabes qué hizo la patronal del transporte hace un años cuando denunció la falta de camioneros? ¿Subir salarios porque son una mierda, dicho por los propios camioneros?
¡NO! Decirle al gobierno que trajese inmigrantes sudamericanos, ¡qué chorprecha!

¿Sabes qué ha hecho la patronal cántabra este de hostelería este año ante la falta de camareros? ¿Mejorar condiciones para atraer mano de obra nacional o ya afincada en España?
¡NO! Lloriquearle al delegado del gobierno para que le pida al gobierno inmigrantes porque ""los españoles no quieren trabajar mil horas por cuatro euros"". ¡ASOMBROSO!


No es fácil lo que planteo. Requiere un doctorado en matemáticas y ciencias exactas. Si te sobra gente lo último que necesitas es... (redoble de tambores)... ¡GENTE! Eh, y que no me llamen para el nobel todavía tras este increíble hallazgo... Espero que lo hagan pronto."
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28268523,4,3.0,powernergia,2019-11-16T11:30:38+00:00,1,27,"#3 ""Tú tienes un campo de naranjas y no quieres tener que contratar a españoles o inmigrantes legales ¿verdad? Qué pesadez con que necesitamos inmigrantes con el paro que tenemos aquí, cojones."" No, yo solo quiero trabajo legal, cotizando, y subir aún mas el salario mínimo, así que nada que ver con lo que dices. ""Hungría tiene un 3,4% de paro, dato básico que obvias"" Si, y Rumania el 3,9%, el 4,1% o Eslovenia un 4,3%... Sueldos pauperrimos y pobreza, paises estancados exonomicamente desde hace 10 años o mas, que no reciben inmigrantes, y con la población en decrecimiento, es justo lo que decía antes. ""quieren inmigrantes blancos y cristianos"" Exactamente esa es la razón de cerrar sus fronteras, y nada tiene que ver con la economía, de hecho es un suicidio económico. ""Aqui ahora mismo sobra gente"" Claro, y deja que adivine: Sobran inmigrantes, a que si?, sobre todo esos que ordeñan las ovejas, te sirven los cafés, te traen los paquetes o te recogen la fruta...

Este es el nivel, y así se refleja en los votos.

{palm}"
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28267871,3,2.0,--588467--,2019-11-16T09:52:49+00:00,0,6,"#2 Tú tienes un campo de naranjas y no quieres tener que contratar a españoles o inmigrantes legales ¿verdad? Qué pesadez con que necesitamos inmigrantes con el paro que tenemos aquí, cojones.

Hungría tiene un 3,4% de paro, dato básico que obvias. Ellos SÍ que necesitan inmigrantes.
Pero claro, quieren inmigrantes blancos y cristianos cuando sus vecinos del este están como ellos, o mejor, y no te sale a cuenta irte a Hungría para quedarte como estás, o peor, y encima tener que aprender esa aberración de idioma.

https://elpais.com/internacional/2016/10/03/actualidad/1475515272_383054.html

Aqui ahora mismo sobra gente. Y ya apuntó un meneante que tenemos niveles de inmigración como Francia o Alemania cuando tenemos ni sé las veces más paro que Alemania y el doble que Francia.
Permitir la inmigración con casi un 15% de paro es un insulto a los españoles y a los inmigrantes que ya hay.

Hasta que no se llegue a niveles de paro ingleses o alemanes NO necesitamos inmigración. El mercado laboral tiene que absorberlos.
¿O pretendes poner de ejemplo la maravillosa jugada maestra de Aznar en el 2002 cuando regularizó a 2M de inmigrantes ilegales cuando teníamos un 10% de paro?"
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28267734,2,,powernergia,2019-11-16T09:25:15+00:00,0,11,"Es lo habitual, un país estancado en población que no tiene crecimiento económico, y esto en nuestro sistema económico aboca a sueldos bajos y pobreza.

Aquí cuando explicas esto tan sencillo a los que dicen que habría que cerrar fronteras hasta que el paro no bajará de X y los sueldos de recuperarán, te dicen que eres un liberal al servicio del capitalismo.

Y es que claro, con lo fácil que es culpar de todo a los inmigrantes, ¿Para que vamos a darle vueltas complicando  las cosas?"
inmigracion,https://www.meneame.net/story/propaganda-contra-inmigrantes-hungria-choca-realidad-pais,3212430,28267401,1,,españistaní,2019-11-16T08:22:30+00:00,2,25,"Pasa lo de siempre. Triunfa el discurso contra el extranjero para quitar derechos al extranjero, no para echarle del país ."
