tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37544390,25,24.0,BastardWolf,2023-01-10T18:30:49+00:00,0,10,"#24 eso se hace siempre, con todas las muestras, pongas lo que pongas en el cuestionario"
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37544045,24,,--558933--,2023-01-10T17:28:26+00:00,0,7,Tan caro es analizar todas las muestras y asegurarse de que no tienen ninguna enfermedad transmisible? Me pregunto cuál es el protocolo que se sigue aquí con este tema...
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37543350,23,,Batallitas,2023-01-10T15:34:15+00:00,0,9,"Dato curioso: en Alemania, no te hacen funcionario si (ellos consideran que) estás demasiado gordo."
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37543176,22,20.0,Hangdog,2023-01-10T15:11:33+00:00,1,23,"#20 Tu eres de los míos.
- ¿Has tenido relaciones en los últimos cuatro meses?
- Ya me gustaría."
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37543095,21,20.0,skaworld,2023-01-10T15:00:40+00:00,1,27,#20 ¿Cuatro meses? Follarín... Creo que la ultima vez Jordi Hurtado estaba en la 1
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37543076,20,18.0,manuelpepito,2023-01-10T14:57:42+00:00,1,23,#18  Para mi follar cada cuatro meses es una victoria a la vida. Estoy hecho para donar
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37543011,19,16.0,ContinuumST,2023-01-10T14:51:02+00:00,2,47,#16 {0x1f602} {0x1f602}
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37543002,18,6.0,skaworld,2023-01-10T14:49:03+00:00,2,39,#6  #10  #15 Es un alivio saber que en Meneame... se dona todos los meses sin falta {lol}
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542995,17,4.0,Joaquin_José_Mavares_Ar,2023-01-10T14:47:27+00:00,1,22,#4 ¡La estampita de Bertin que no falte!
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542991,16,14.0,skaworld,2023-01-10T14:46:35+00:00,2,47,"#14 A un primo mio una vez estaba el ahi a lo suyo, comiendose una polla sin metrse con nadie, y le mordio un bujarra y desde entonces.... Que desgracia... Que le gusta Eurovision y que si lo vemos juntos. Vamos yo ya cada vez que me dice algo asi le pongo excusas que si esa tarde he quedado con unos amigos en la sauna, que si me voy a dar un paseo solo por detrás de los aparcamientos del supermercado de noche... Pero el tipo insiste.

Hay que andarse con ojo"
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542966,15,6.0,Coucou,2023-01-10T14:43:55+00:00,1,18,#6 no te dejan donar incluso si hasa tenido relaciones con preservativo con una nueva pareja en esos cuatro meses. El preservativo no preserva totalmente.
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542937,14,4.0,ContinuumST,2023-01-10T14:38:34+00:00,1,33,"#4 ¿Seguro que es ""morder"" la palabra adecuada? {0x1f608} {0x1f602}"
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542921,13,10.0,Hangdog,2023-01-10T14:36:52+00:00,2,35,"#10 Hombre, claro que suena mal. Un poco mucho."
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542911,12,9.0,skaworld,2023-01-10T14:35:45+00:00,0,16,"#9 Mucho ojo con eso, que cuando hay luna llena menstruan todas al unisono en la conocida luna de sangre y es importantisimo proteger los pozos porque pueden llegar a el volando en sus compresas con alas y envenenarlo fastidiandote una cosecha"
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542905,11,1.0,Tarod,2023-01-10T14:34:09+00:00,0,10,"#1 Dos noticias relacionadas??:

https://www.meneame.net/story/prep-sin-condon-pastilla-nos-salvo-vih-esta-llenando-espana"
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542904,10,6.0,manuelpepito,2023-01-10T14:34:00+00:00,2,35,"#6 Y esa es la clave. Independientemente de con quién o qué. Tenian un criterio para todos, pero no dejar donar a los maricas porque son unos viciosos suena un poco mal."
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542896,9,4.0,Cantro,2023-01-10T14:32:59+00:00,1,27,#4 y a las mujeres
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542891,8,4.0,manuelpepito,2023-01-10T14:32:32+00:00,1,27,"#4 Yo llevo todas las rancheras de Bertín en el móvil, y cuando veo algo moderno lo pongo a sonar. Mano de santo."
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542889,7,,IsraelEstadoGenocida,2023-01-10T14:32:11+00:00,0,10,"Lo de las relaciones de los últimos 4 meses era para todos o solo para los homosexuales? 

Porque en España también se hace esa limitación (o se hacía), pero es para todo el mundo, independientemente de la orientación sexual."
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542886,6,1.0,Hangdog,2023-01-10T14:32:01+00:00,0,12,"#1 En España te preguntan si has tenido relaciones sexuales en los últimos cuatro meses sin protección, independientemente con quién o qué.
O al menos de cuando yo donaba, y ha llovido tela."
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542885,5,4.0,--740055--,2023-01-10T14:31:49+00:00,4,55,"#4 El peligro lo tienen las cobras, es bien sabido."
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542879,4,1.0,skaworld,2023-01-10T14:30:58+00:00,6,78,"#1 Hay que ser prudente, no esta del todo demostrado que si te muerde un homosexual no te vuelvas maricon.

Yo por si acaso siempre llevo conmigo una ristra de ajos y una estampita de Bertín Osborne para ayuentar a los invertidos"
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542866,3,,Joaquin_José_Mavares_Ar,2023-01-10T14:29:08+00:00,0,6,Ahora solo le podrán pegas a los canibales.
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542862,2,,ComoUnaMoto,2023-01-10T14:28:47+00:00,1,20,Han tardado un poquitín más de la cuenta. Es lo que se llama tener mala sangre .
lgtbi,https://www.meneame.net/story/alemania-acabara-discriminacion-homosexuales-donar-sangre,3767822,37542858,1,,manuelpepito,2023-01-10T14:28:25+00:00,1,19,Que gente tan avanzada y moderna. Yo creo que esto en España no funcionaría.
