tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17601027,24,15.0,--95170--,2015-08-29T18:35:48+00:00,0,8,"#15 Estériles nos ha vuelto el Gobierno con las ayudas por hijos. A los que tengan díselo, verás que gracias se echa."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17599791,23,,--469685--,2015-08-29T13:35:37+00:00,0,7,SOLO UN ESTU
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598624,22,21.0,--378913--,2015-08-29T10:09:36+00:00,0,10,"#21 Pues desde Granada. El argumento es el mismo. Latinoamérica no está en condiciones de dar lecciones. Yo he visto infinitamente más odio de los latinoamericanos hacia los españoles que viceversa. E incluso odio entre los propios latinoamericanos.
En cualquier caso, cuestionar las políticas migratorias no implica en si mismo un acto de odio hacia ninguna comunidad en especial."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598588,21,20.0,Inay_Inas,2015-08-29T10:05:14+00:00,0,6,#20 Teescribo desde Granada Rapel
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598570,20,14.0,--378913--,2015-08-29T10:01:34+00:00,0,10,#14 Desde Latinoamérica no es el lugar más indicado para hablar del supuesto odio de los demás...
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598493,19,2.0,TodosSomosAnonymus,2015-08-29T09:47:50+00:00,0,6,"#2 Los latinos ocupaban trabajos se españoles rechazaban, eran en proporción los que más cotizaban y menos gasto social ocasionaban"
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598492,18,16.0,--378913--,2015-08-29T09:46:55+00:00,0,10,"#16 Sí, es mi país. Yo soy ciudadana española. También el tuyo si lo eres. Si no son ciudadanos españoles no es su país.
Están abusando ya que siendo extranjeros es de una absoluta falta de ética permanecer en un país en esas condiciones. Es una cuestión de amor propio y respeto por los demás. 
Yo no te estoy hablando de leyes y creó que nunca cite para nada la legalidad en mi argumentación, que no pinta nada, todo sea dicho, ya que ese no es el tema que plantea la noticia.
La cuestión es bajo que argumentos ellos mismos o los pro-inmigracionistas pueden justificar que no se tengan que ir con una crisis debastadora. Y de paso a los que defendieron su entrada, que suelen ser los mismos.
Estamos hablando de argumentos para justificar su permanencia en España, no de legalidad. Legalmente ya todos sabemos que se pueden quedar(los legales). Claro que sí. Si ese es el problema. La legalidad es cuestión de cambiarla, que es hacia donde camina toda Europa."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598446,17,9.0,--280619--,2015-08-29T09:40:55+00:00,0,7,"#9 El que dispara y el que recibe el disparo saben qué va a pasar, pero lo valoran de diferente manera."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598375,16,13.0,--110684--,2015-08-29T09:27:51+00:00,1,15,"#13 Primero, este no es su país ni el tuyo tampoco. Tu no decides quien entra y quien no.
Segundo, estando en crisis o no tienen derecho a disfrutar de las prestaciones legalmente dispuestas por las comunidades y el Estado, especialmente cuando son contributivas.
Tercero, la situación del país de origen es irrelevante para nuestra ley de extranjería. 
Cuarto. En realidad el cuarto punto no es un argumento.
Quinto. Los ""no invitados"" son una minoría cuya situación está perféctamente delimitada en nuestra legislación."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598336,15,6.0,--450351--,2015-08-29T09:21:31+00:00,3,35,"#6 Y mientras una sociedad cada vez más envejecida. ¿De dónde se sacará para las pensiones? Ni que nos hubiéramos vuelto todos estériles. Ofrece una buena estabilidad laboral junto con buenos salarios, un estado del bienestar decente y ya veras como la gente se anima a tener hijos.

Aun seguimos con la cantinela de las pensiones? noticia de hace 2 años: ""Mas del 60% de los marroquíes de España en edad de trabajar están en paro"", buenas pensiones nos van a pagar si no trabajan.
http://www.magrebies.net/2013/05/mas-del-60-de-los-marroquies-de-espana.html"
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598278,14,,Inay_Inas,2015-08-29T09:13:43+00:00,0,6,"Con los inmigrantes españoles que hay en Latinoamerica , no se como puede haber tanto odio hacia los latinos.Españoles que se la jugaron para buscarse un porvenir,que valiente se siente uno detrás de un ordenador."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598264,13,11.0,--378913--,2015-08-29T09:10:49+00:00,2,-9,"#11 Primero, este no es su país. Segundo, estando en crisis están abusando de la hospitalidad de sus anfitriones.
Tercero, Latinoamerica experimentaba un crecimiento economico y sus países de origen tenían tasas de paro que eran 2 o 3 veces menos que las españolas. Cuarto, un extranjero es un invitado, no el propietario de la casa.  Quinto, algunos no eran ni invitados. En terminología inmobiliaria, okupas que entraron sin ser llamados en el piso."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598243,12,7.0,--343064--,2015-08-29T09:06:27+00:00,2,4,"#7 No he recalcado inmigrantes, por que no es solo a ellos para los que son muy generosas.

Tambien lo son para todo el que accede a ellas, otra cosa es quienes copan esas ayudas (vagos, delincuentes, etc), quienes tienen preferencia de acceso a VPOs (lo mismo), etc.

Un ejemplo de discriminacion:
Un ""payo"" (o español en general) tiene que actualizar ""papeles"" para seguir cobrando la ayuda, cada 6 meses, un gitano (y un extranjero creo que tambien) lo hace cada 5 años.

Ahora se cobra exclusivamente 1 casa, 1 nucleo familiar, cuando por ejemplo antes podria haber en una casa 2 o 3 generaciones cobrando ayudas (y aqui ahora es donde se trampea, ya que por ejemplo, los gitanos lo que hacen es que cuando tienen que actualizar papeles, alquilan un piso durante 1 o 2 meses, y luego, vuelven a la casa familiar, ya que hasta dentro de 5 años, no tienen que volver a tramitar papeles).

Tampoco se obliga a todos a realizar lo mismo para obtener ayudas, yo por ejemplo estaria obligado a ciertos pasos como por ejemplo estar registrado en 3 webs de trabajo, haber entregado 2 curriculums, haber realizado una entrevista y si todo no funciona, realizar un curso del paro (la estafa actual, donde te tienen 4 o 5 meses y luego te puede tocar hacer unas practicas bytheface de varios meses), cosa que a los gitanos, no les obligan.

Y por cierto, las asistencias sociales les hacen toooooodo el papeleo, no tienen que ir a trafico, hacienda, etc, ellos van, solicitan, la asistenta se lo da y con eso y un papel en castellano, se lo dan.

Se de lo que hablo PERFECTAMENTE, aunque se a ciencia cierta que no es igual en todas las comunidades autonomas y que es por eso que muchos, se trasladan aqui, por que hasta en los pisos tutelados cobran, cada extranjero en uno de esos pisos tiene aparte de casi 1000 euros todos los meses (bueno, no llega pero por poco, y tienen que tener entre 18 y 27), luz, agua, telefono, internet, ropa, ""chacha"", tarjeta de transporte, etc, gratis.

Y tambien te puedo decir que ahora ya no se si sigue igual pero antes, cadenas como Eroski, les donaba los productos como yogures, etc que estaban a punto de caducar (hablo de pisos tutelados).

Otro dia si quieres, te hablo de los albergues para sintecho."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598219,11,10.0,--110684--,2015-08-29T09:03:06+00:00,0,8,#10 ¿Por qué deberían irse?
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598197,10,2.0,--378913--,2015-08-29T08:59:50+00:00,1,-3,"#2 De menos nada. La mayoría se han quedado. Con el país al borde del colapso en 2012 y 6 millones de parados y casi no se ha ido nadie. Ya ves, casi 7 años de crisis, y solo menos del 30%..."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598156,9,5.0,--378913--,2015-08-29T08:52:39+00:00,0,10,#5 Botín opinaba lo mismo que tú...
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598149,8,,--378913--,2015-08-29T08:51:35+00:00,1,19,"Cuando dije yo eso que la inmensa mayoría no se iban ni a la de tres, aquí me llamaron de todo. Me presentaban cifras fantasiosas de una desbandada generalizada y que con la situación del país al borde del colapso en 2012 y 6 millones de parados, no teníamos que quejarnos de la inmigración ya que supuestamente ya se habían ido todos. Sí, ya..."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598145,7,4.0,--2052--,2015-08-29T08:51:12+00:00,1,17,"#4 

Es un dato importante a recalcar En el Pais Vasco , las ayudas sociales a los emigrantes son MUY GENEROSAS"
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598135,6,2.0,--95170--,2015-08-29T08:50:09+00:00,0,8,"#2 La verdad es que cuando naces en un país te dan el carné de propiedad del suelo. 

Y mientras una sociedad cada vez más envejecida. ¿De dónde se sacará para las pensiones?

Ver para creer."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598129,5,,--280619--,2015-08-29T08:49:40+00:00,0,7,Vinieron e hicieron los trabajos que nosotros no queríamos por creernos clase media o porque directamente eran explotados. Al menos tienen esa salida.
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598106,4,,--343064--,2015-08-29T08:46:06+00:00,6,44,"Hay que recalcar que eso será en las comunidades donde la pasta ""de gratis"" es mas dificil de conseguir y de menor cuantia.

Solo hay que ver el Pais Vasco (muy generosa y facil de conseguir) y Cantabria (que no te dan casi ni para un mechero)."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598097,3,,pablicius,2015-08-29T08:44:41+00:00,0,12,Lógico.
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598096,2,,--489494--,2015-08-29T08:44:40+00:00,6,10,"Algo bueno tenía que tener la crisis,  menos latín Kings, nietas, robos y violaciones.  Un 30% más de trabajos para los españoles. Que siga así, tienen la puerta abierta."
inmigracion,https://www.meneame.net/story/paro-30-inmigrantes-latinoamericanos-fueron-espana-durante,2469965,17598072,1,,Paisos_Catalans,2015-08-29T08:41:09+00:00,2,12,"Si, colchón que han ocupado ellos y los locales no tienen por ser ""demasiado ricos"" para acceder a el. Caso real mio propio."
