tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20352022,11,10.0,camvalf,2016-09-18T09:25:50+00:00,0,7,"#10 inmigrante, yo por lo leido es un hijo de la gran puta que se ha venido a refugiar. Tienes razon es machacante igual se deja de decir cuando el ejercito de chachi piluli deje de saltar cuando algun cabron de esos la arman y siempre recurren a que se les ataca por inmigrante. Pues caballero es porque por muy inmigrante que sea es un mal nacido. Normalmente los inmigrantes se van a su país para tener un futuro trabajando y respetando al pais que lo acoje, y desde luego poca gente tiene problemas, algun indeseado si, pero cada vez menos."
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351747,10,5.0,powernergia,2016-09-18T08:35:58+00:00,0,11,"#5 ¿Ya no se os ocurre nada mas original que eso de ""seres de paz y luz"" que repetis machaconamente en las noticias donde aparece la palabra inmigrante...?"
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351668,9,6.0,camvalf,2016-09-18T08:15:44+00:00,0,7,"#6 NO lo habia pensado, tienes toda la razon, alli por donde voy ilumino la habitacion. Puede que tenga que ver porque soy electricista... {troll}"
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351631,8,,Extratenestre,2016-09-18T08:06:38+00:00,0,11,"Pues si, España refugio de mafiosos, delincuentes, chusma varia y políticos corruptos aferrados a sus sillones, valga la redundancia.


Espero le caigan muchos años de cárcel a este hdlp."
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351611,7,4.0,--520955--,2016-09-18T08:00:37+00:00,0,7,#4 ¿mal rollo en menéame? ni de coña!
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351575,6,5.0,tiopio,2016-09-18T07:45:05+00:00,0,12,#5 como tú.
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351448,5,3.0,camvalf,2016-09-18T06:40:17+00:00,0,7,"#3 como osas, aqui solo viene seres de paz y de luz..... {troll}"
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351271,4,2.0,PJF,2016-09-18T02:29:05+00:00,0,8,"#2 yo no sé quien ese pavo. Por los puntos positivos que tienes concedo que, en Menéame, muchos sois una sociedad en la cual tenéis más bullas que una logia de masones. {oops} {lol} {lol}"
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351193,3,,--394145--,2016-09-18T00:38:42+00:00,0,10,Esto se esta convirtiendo en refugio de malhechores...
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351182,2,1.0,Lobazo,2016-09-18T00:28:13+00:00,23,243,"#1 Tú ya has intentado sacar rédito político de ello, rastrero.

Además, es muy de cobarde no referenciar al usuario que haces mención."
inmigracion,https://www.meneame.net/story/detenido-hombre-martorell-abandono-34-inmigrantes-furgoneta-tras,2673285,20351149,1,,--189197--,2016-09-18T00:03:42+00:00,16,-78,De esto don sísifo_6 saca algo contra Catalunya.
