tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934847,25,20.0,Ne0,2023-03-07T06:22:01+00:00,0,9,"#20 tocado y hundido, me ha resbalado la memoria. Gracias por la corrección."
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934789,24,19.0,Tensk,2023-03-07T06:01:27+00:00,0,11,"#19 Que la máquina publicitaria hará lo imposible lo tenemos todos claro, Sánchez venderá el miedo (que viene la derecha 2.0) y promesas a cuenta del erario público a partes iguales. Pero amañar elecciones no. No lo veo.

Y esta noticia se negativiza por dupe."
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934620,23,,Misc0,2023-03-07T01:09:09+00:00,1,7,"Es el que el movimiento feminista no tiene absolutamente NADA que ver con el colectivo del abecedario.
Feminismo, busca la igualdad en términos legales y sociales.
Los del LGBTIOQEFJASDFUIQ+, son orientaciones sexuales mezclados con ""percepciones de género"" y transexuales.

¿Qué cojones tienen que ver lo uno con lo otro? Es más, ¿qué cojones pinta el colectivo transexual con los gais, lesbianos y bisexuales?"
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934451,22,10.0,Suspicious,2023-03-06T23:32:45+00:00,0,8,#10 Y qué se pide en la mani del 8m este año?
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934309,21,16.0,--44909--,2023-03-06T22:56:35+00:00,3,27,"#16 Pues no, la población no está interesada en esos temas, pero ahí está el ministerio, dilapidando cientos de millones de euros todos los meses. Luego que si el Rubius."
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934263,20,7.0,Bowsers,2023-03-06T22:47:55+00:00,1,9,#7 ese era Lamborghini y los sigue fabricando
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934108,19,8.0,hamijo,2023-03-06T22:12:56+00:00,0,10,"#8 Pues yo tengo muy claro que este gobierno intentará amañar las elecciones. 
Este presidente ya ha demostrado varias veces que es capaz de hacer lo que sea para mantenerse en el poder y si eso supone amañar elecciones, no le va a temblar el pulso ni un segundo.

PD: Vaya, no me esperaba que una noticia donde el PSOE queda mal sea negativizada hasta el inframundo."
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934096,18,2.0,TierrasRaras,2023-03-06T22:09:18+00:00,2,18,"#2 Si no hay guerra, no hay beneficio para los que fabrican armas."
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934090,17,15.0,Battlestar,2023-03-06T22:08:51+00:00,0,10,"#15 Intrasexual (o intersexual), y la Q es de queer."
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934078,16,,Diogenesmillor,2023-03-06T22:06:54+00:00,4,40,Todos los días alguna noticia de  LGTBI o feminismo y a todas horas en todos los medios...pero que PESAOS. Como si solo existieran esos temas o la población estuviera muy interesada en los mismos. Mientras tanto problemas mucho más acuciantes para la población ni se comentan porque no interesan a la casta politica
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934051,15,,Paladio,2023-03-06T22:01:25+00:00,0,13,¿LGTBIQ? ¿la i es de incel?
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37934018,14,,obmultimedia,2023-03-06T21:56:48+00:00,0,10,Lo de esta cromañona es para hacerselo mirar.
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37933978,13,,Supercinexin,2023-03-06T21:50:51+00:00,1,27,"Hoy, en ancianas que se creen que su opinión le importa a alguien, Carmen Calvo nos deleitará con cuatro chorradas que no vienen a cuento y que sólo piensan ella y dos tías vinagre más, con las que por cierto se lleva a matar.

No dejen de cambiar de canal"
lgtbi,https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,3788227,37933974,12,10.0,rakinmez,2023-03-06T21:50:02+00:00,2,21,#10 community detected
