tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17134677,370,1.0,TierrasRaras,2015-06-20T10:43:01+00:00,0,8,"#1 El nombre que se le da a las cosas ya da a entender las políticas que se van a hacer.
Un ejemplo de ello fue la desaparición del Ministerio de Ciencia e Innovación y la aparición del Ministerio de Economía y Competitividad , a donde se trasladó todo lo que era investigación científica."
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17132148,369,368.0,sektorgaza,2015-06-19T17:55:46+00:00,0,7,"#368 cc @victima_de_la_cultura Así es. Esto no tiene nada que ver con la política. Es sentido común. Los idiomas son herramientas de comunicación e intercambio de ideas. Cuantos más manejes, mayor será tu mundo. Usa siempre tu lengua materna, salvo si tu interlocutor no la conoce.
Mi caso: Hablo castellano, catalán, inglés y parloteo ruso. Si me encuentro con alguien que entienda castellano, 100% le hablaré en castellano. SI QUIERO COMUNICARME CON ALGUIEN QUE NO HABLE CASTELLANO, USARÉ LA SEGUNDA LENGUA EN LA QUE ESTÉ MÁS CÓMODO QUE DICHO ALGUIEN TAMBIÉN ENTIENDA. Y NO LE DIRÉ ""UY, PASO DE TODO Y TE VOY A HABLAR EN CASTELLANO PORQUE OTRO MODO DE OBRAR SERÍA O-P-R-I-M-I-R-M-E. NO ME VAS A ENTENDER PERO EHHHH ESTO NO VA DE COMUNICACIÓN, SINO DE MI SENTIMIENTO DE PERTENENCIA A UNA NACIÓN"". Repito: el que vea en este debate un tema político es porque tiene un problema x D"
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17129027,368,360.0,--483507--,2015-06-19T11:00:12+00:00,1,14,"#360 cc @victima_de_la_cultura

de tu bio @victima_de_la_cultura: Preguntes típiques sobre mi: - Per què escrius en català? En un Estat normal aquesta pregunta no tindria sentit. És la llengua en què m'expresso millor. - Ets un troll? No és pas la meva intenció. Utilitzar la llengua pròpia és tan natural com fer l'amor. - Vols provocar? No, ni molt menys. Recuerda que meneame no es el estado Español. Esto es un foro, no un estado. Un foro donde vienen internautas de todo el mundo a comunicarse, a intercambiar opiniones, ideas, críticas.

Otros vienen a trolear de la mala manera, a provocar sin inteligencia, a usar la cultura e idioma de una sociedad orgullosa y digna, para molestar y levantar muros en internet. 

Es una molestia tener que usar un traductor, y mas que eso, no es respetuoso, rompe el principio de que todos somos iguales. 

Pero algunos mas iguales que otros. ¿Verdad @victima_de_la_cultura?"
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17128302,367,366.0,--332056--,2015-06-19T09:36:27+00:00,0,7,#366 Cierto. Me lié con los apellidos y los comentarios de otros meneadores. Gracias por el apunte. Aun así me mantengo en el espíritu del comentario.
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17126688,366,168.0,estemenda,2015-06-19T00:14:24+00:00,0,8,"#168 Esa es Alba López, en Madrid, no está al frente de la Concejalía de Barcelona de la que trata la noticia."
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17126018,365,157.0,lilili,2015-06-18T21:16:57+00:00,0,9,#157 El manifiesto era sólo un recurso literario y satírico para provocar el debate.
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17126001,364,83.0,lilili,2015-06-18T21:15:21+00:00,2,14,"#83 No, es porque el feminismo es el primer movimiento que ha luchado por la igualdad."
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17125036,363,356.0,Arc,2015-06-18T18:32:43+00:00,0,13,"#356 Dónde vas, manzanas traigo. En vista de que no tienes respuesta para mi pregunta, que ha sido muy específica, abandono una conversación que no lleva a ningún lado."
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17124969,362,359.0,SpanishJedi,2015-06-18T18:22:25+00:00,1,11,"#359 Ah, ¿ahora lo hemos reducido a deportistas? Bien, la diferencia salarial en los deportes está basada en cuanto a demanda y volumen de negocio, no en base a género. Te repito una vez más, que las cosas no se pueden simplificar tanto.

Por cierto, aunque hayas declarado abiertamente el ""Fin."" del debate, espero que no te importe si te sigo contestando."
lgtbi,https://www.meneame.net/story/colau-sustituye-concejalia-juventud-ciclo-vida-feminismos-lgtbi,2431675,17124764,361,289.0,sektorgaza,2015-06-18T17:55:24+00:00,0,7,"#289 Mira, eso sí estaría bien. Mensajes en varios idiomas. Incluyendo el oficial del foro y por tanto el que se presupone que todos compartimos. Te llevas mi positivo."
