tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37907658,15,14.0,--731452--,2023-03-02T20:02:44+00:00,0,8,"#14 Y cuando pida un aumento, a la calle y a contratar a otro en origen.
Esclavismo moderno."
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37900915,14,13.0,camvalf,2023-03-02T01:39:48+00:00,1,19,#13 es te contrato en origen con un salario de mierda que allí parece un pastiza
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37900198,13,,--731452--,2023-03-01T21:44:24+00:00,0,9,"No le valen los trabajadores de aquí, no. Tienen que ser extranjeros. ¿ Cuál es la palabra opuuesta a xenofobia ? ¿ paisanofobia ?"
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37899638,12,11.0,Verdaderofalso,2023-03-01T20:12:58+00:00,0,18,#11 yo tengo facturas de toda la obra y cuando la pedía me miraban mal
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37899320,11,4.0,poseso,2023-03-01T19:13:17+00:00,0,9,#4 y no olvidemos defraudar sistemáticamente facturando en negro.  Llevo dos años en mi nueva casa a la que he tenido que hacer reformas y arreglos... debo ser el único imbécil de la zona que exige facturas.
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37899087,10,9.0,eldelcerro,2023-03-01T18:32:44+00:00,0,10,#9 cuanta razón.
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37898594,9,,Borgiano,2023-03-01T17:23:07+00:00,1,18,La derecha pide mano de obra barata y la izquierda se los trae. Marca España
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37898340,8,7.0,Enraged_Citizen,2023-03-01T16:43:53+00:00,0,7,"#7 Tu dejarías tu trabajo de mierda en el bar, o en la tienda de ropa, todo el año, por el trabajo de mierda de la obra lo que dure la obra 3 meses, 6 meses o 15 meses, aunque pagaran mas?

No es solo que paguen mas, que también, es que den estabilidad, que te puedas plantear un proyecto de vida viviendo de la obra.

Cuando yo estudiaba, muchos amigos míos dejaban los estudios y se iban a la obra, porque pagaban bien... y hasta que no reventó la burbuja en 2008 no les faltaba de nada (y en esos 15-20 años algunos ya tenían su casa pagada y esas cosas).

Tal vez, igual que con los camareros y tantos otros sectores, se deberían preguntar porqué la gente ya no está deseando ir a la obra como lo hacían hace 20 años."
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37897482,7,,cocolisto,2023-03-01T14:57:13+00:00,4,50,"No se porqué dicen 500.000 inmigrantes en vez de esclavos. Pagad un salario y condiciones propias de seres humanos y tendréis trabajadores, golferas."
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37897442,6,,camvalf,2023-03-01T14:51:20+00:00,4,58,Lo siguientes es poder pagar la los trabajadores con cacahuetes y usar el látigo un para de veces por jornada laboral
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37897408,5,,wachington,2023-03-01T14:47:43+00:00,0,10,"Viendo la cantidad de obras que está haciendo el Ayuntamiento en Barcelona, no me extraña que falta gente, lo que me pregunto es si seguirá faltando gente a finales de año."
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37897391,4,,Verdaderofalso,2023-03-01T14:46:31+00:00,8,110,"Edad de jubilación a 75, protestas empresariales por subir el SMI, regularizar inmigrantes, fuga de empresas a paraísos fiscales…"
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37897377,3,1.0,tronxy_x5s,2023-03-01T14:45:09+00:00,0,10,"#1 Moninos a trabajar ,  yo a disfrutar del sándwich holandés para tributar poquito..."
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37897374,2,,Benja_Bueno,2023-03-01T14:44:21+00:00,2,33,"""Contra el vicio de pedir está la virtud de no dar"""
inmigracion,https://www.meneame.net/story/construccion-pide-agilizar-plan-emplearia-500-000-inmigrantes,3786366,37897356,1,,--583514--,2023-03-01T14:43:16+00:00,4,68,A ver si así vuelve Ferrovial. {cheesy}
