tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17167385,19,,CEOVAULTTEC,2015-06-25T09:12:00+00:00,2,28,Se comenta que el único ojete más dilatado que el de éste en el pp es el de la perrita de Fernandez díaz.
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17167344,18,,--14090--,2015-06-25T09:07:39+00:00,4,40,"Claro que no ha sido ningún problema. Porque cuando el PP envió un informe al Senado diciendo que los homosexuales son hijos de madres desequilibradas y padres borrachos se quedó bien calladito. 

Cuando Ana Botella dijo lo de las peras y manzanas (una frase extraña que supongo que será habitual en su círculo para separarse de ciertas razas) se quedó calladito.

Cuando Manuel Fraga habló de ""destrucción de la familia"", ""ley asquerosa"", cuando Montserrat Nebrera dijo “El Matrimonio homosexual es como la unión entre dos hermanas, un perro y una señora o una señora y un delfín“, cuando Lluís Fernando Caldentey dijo “Yo entiendo que los gays deben tener los mismos derechos, pero para mí un gay es una persona tarada, que nace con una deformación física o psíquica” se quedó calladito.

Cuando la prensa conservadora y la Iglesia Católica inició una campaña de insultos que provocó un aumento de agresiones por homofobia se quedó calladito.

Así nos quiere la derecha heredera del franquismo: calladitos.

En Copenhague claro que no es necesaria una manifestación pero en España con el percal que tenemos que aguantar sí."
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17167195,17,5.0,Azucena1980,2015-06-25T08:44:52+00:00,0,11,#5 Éste anunció su boda antes de que le echaran del ayuntamiento...
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17167027,16,3.0,--330392--,2015-06-25T08:21:07+00:00,0,11,"#3 El PP con mayoría absoluta pudo haberlo hecho.

Tal vez no trató con demasiadas ganas, o solo lo hizo de cara a la galería para no perder el voto ultracatólico."
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17167005,15,2.0,meneante2015,2015-06-25T08:17:33+00:00,2,33,"#2 No te creas, siendo un partido que le encanta dar por culo a los ciudadanos la opción era lógica"
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17166993,14,,eduknopfler,2015-06-25T08:15:14+00:00,7,63,"Dice un refrán: ""Eres más tonto que un obrero de derechas"". 
Hay que hacer otro para estos casos."
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17166988,13,,--324777--,2015-06-25T08:14:28+00:00,6,54,"Con todo lo que ha hecho el pp para estigmatizar a los gays en todos los sentidos, es una verguenza para todo el colectivo un personaje de esta clase. Efectivamente, es como si un negro se va al ku kux klan, un judio se hace nazi ,etc...es patético. 
Y el pp lo utiliza a su antojo para poder decir que son superabiertos y que apoyan a los gays,como si no tuvieramos memoria,pero bueno, allá el."
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17166856,12,,--149431--,2015-06-25T07:57:32+00:00,6,53,"Gays del PP, currantes del PP, gilipollas everywhere..."
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17166835,11,8.0,ccguy,2015-06-25T07:55:19+00:00,1,22,#8 Siempre me ha parecido que es la forma en que los gays que no están a gusto consigo mismos intentan aplacar sus terrores.
lgtbi,https://www.meneame.net/story/javier-maroto-ser-gay-no-ha-supuesto-ningun-problema-ni-ventaja,2436111,17166834,10,5.0,--475882--,2015-06-25T07:55:17+00:00,2,23,#5 ¿como Rajoy?
