tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39401496,29,,Elduende_Oscuro,2023-10-04T11:02:24+00:00,0,10,"El siguiente paso en la negociación será ""incentivar"" la salida de alguna que otra embarcación desde Túnez."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39401435,28,27.0,Gry,2023-10-04T10:54:30+00:00,0,14,"#27 ¿Y que haces si en el ""puerto seguro más cercano"" se niegan a recibirlos?"
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39401270,27,26.0,Alakrán_,2023-10-04T10:37:28+00:00,1,20,"#26 No se trata de ametrallarlos, se trata de rescatarlos y llevarlos al puerto seguro más cercano."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39401229,26,5.0,Gry,2023-10-04T10:32:22+00:00,1,17,"#5 ¿Ya puestos es más fácil hundirlos en aguas internacionales? No necesitas ni barcos, lo pueden hacer drones.

La cosa es que somos ""los buenos"" y no podemos ir por ahí ametrallado civiles así que no tenemos más remedio que pagar a otros para que hagan el trabajo sucio."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39401173,25,19.0,hasta_los_cojones,2023-10-04T10:22:58+00:00,0,10,"#19 Si lo que queremos es evitar que la gente quiera venir, hay soluciones más baratas."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400821,24,2.0,tsumy,2023-10-04T09:28:47+00:00,1,25,"#2 Europa ya se gastó esos mil millones, y alguno más, en financiar una oposición en Libia. Ya ves como terminó la cosa.

¿Quién te dice que hacer lo mismo en Túnez no termina igual o peor?"
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400726,23,21.0,Cuchifrito,2023-10-04T09:14:28+00:00,0,11,#21 Tu llámalo como quieras pero es invadir.
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400724,22,20.0,exeware,2023-10-04T09:13:58+00:00,0,9,"#20 haber yo solo discuto lo de que les pedimos hacer nuestro trabajo, qie es incorrecto, les pedimos hacer el suyo. Ahora si estan o no están para ello... Es otro tema"
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400716,21,12.0,Alakrán_,2023-10-04T09:12:46+00:00,0,11,"#12 No sería invadirlo, solo ocupar sus aguas territorios por dejación de funciones de sus obligaciones como estado, Túnez también tiene obligaciones y compromisos firmados."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400705,20,18.0,StuartMcNight,2023-10-04T09:11:04+00:00,3,48,#18 solo que evitaran entrada a su pais ya seria suficiente Y eso es lo que a un pais al borde del colapso economico le importa un bledo. Especialmente cuando tu frontera tiene este aspecto:
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400662,19,2.0,--147613--,2023-10-04T09:01:57+00:00,0,8,#2 Con 1000 millones se pueden hacer muchas cosas en los países de origen para evitar que la gente quiera venir.
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400611,18,16.0,exeware,2023-10-04T08:55:50+00:00,0,9,"#16 si te llegan malos olores de tu vecino pedirle que los controle no es decirle que haga tu trabajo, sino que haga el suyo, ojo no quireo decir que los emigrantes sean malos olores es un simil. Le estan pidiendo que haga su trabajo el primero no dejar que otra gente use su pais como sitio de paso para llegar a europa, solo que evitaran entrada a su pais ya seria suficiente"
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400598,17,13.0,exeware,2023-10-04T08:53:22+00:00,1,24,#13 jugar con fuego es lo que es
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400594,16,7.0,StuartMcNight,2023-10-04T08:52:25+00:00,2,34,"#7 Tunez es un pais al borde del colapso economico (si es que no podemos considerarlo un estado fallido...). Les toca los cojones el control fronterizo o perseguir a las mafias que llevan inmigrantes ilegales a Europa. Es la ultima de sus preocupaciones. Y por tanto, Tunez te esta diciendo que a ellos les da igual quien salga de su pais. Y de hecho, a nosotros tambien nos da igual quien salga de su pais. Lo que no nos da igual es quien lo hace en direccion al nuestro. Por tanto... estamos externalizando el control de nuestras fronteras.

#10 ¿Tienes tu los numeros de cuanto nos costaria internalizar el control migratorio y hacerlo nosotros? Tunez como Marruecos no son agentes pasivos. Por supuesto. Tunez como Marruecos (y como Turquia, etc.) aprovechan de nuestra incapacidad para controlar las fronteras europeas para mirar en su propio beneficio."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400593,15,8.0,exeware,2023-10-04T08:52:05+00:00,1,23,"#8 bueno no estoy tan seguro de eso, no soy experto en leyes internacionales, el tema es que no se trata de quien deja salir sino quien deja entrar para luego salir direcion ala ue.. son las dos cosas... hay tratados firmados acerca de eso."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400584,14,2.0,--548459--,2023-10-04T08:50:24+00:00,0,6,"#2 y que no va a controlar la inmigración. 

Para que te hagas una idea, en Libia se calcula según algunos organismos que están a la espera de cruzar el estrecho entre 300.000 y medio millón personas. 

Ya me dirás cómo lo hacemos en europa, que está en déficit constante y con la gente más pobre todavía para meter de golpe a todos esos"
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400571,13,9.0,hasta_los_cojones,2023-10-04T08:48:19+00:00,0,10,#9 Establecer gobiernos títere en las fronteras es una inversión que puede rentar mucho más de lo que cueste.
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400566,12,5.0,Cuchifrito,2023-10-04T08:46:58+00:00,0,11,"#5 Si dejamos fuera eso tan feo de invadir países, por muy seguro que digas que es un puerto no puedes llevar a nadie (ni entrar con tu barco sin permiso) al puerto de otro pais"
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400564,11,6.0,j-light,2023-10-04T08:46:43+00:00,0,10,#6 Me juego una cerveza que parte de la polilcía y los políticos ya están cobrando de las mafias para permitir el paso de los inmigrantes.
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400559,10,6.0,hasta_los_cojones,2023-10-04T08:45:51+00:00,0,10,"#6 Y la mafia te ofrece un seguro, claro.

Túnez, como marruecos, no son agentes pasivos e inocentes."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400548,9,2.0,exeware,2023-10-04T08:45:08+00:00,0,9,"#2 pero no quieren gastar 1000 millones.. yo prepararia sanciones para cada pais que no haga su trabajao migratorio, y con el dinero obtenido les pagaria por hacerlo, igual no se acaban dando cuenta que ellos mismos lo pagan."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400542,8,7.0,Cuchifrito,2023-10-04T08:44:34+00:00,1,19,"#7 Ellos las pueden controlar como les salga de las narices, no hay nada que les obligue a impedir la salida a nadie."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400499,7,6.0,exeware,2023-10-04T08:39:26+00:00,5,61,#6 ERROR! le estan pidiendo que controle sus fronteras... dale una pensada mas y veras que es así.
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400494,6,1.0,StuartMcNight,2023-10-04T08:37:34+00:00,1,19,"#1 #2  ¿Extorsion?

Le estamos pidiendo a un tercero que controle quien llega a nuestras fronteras. Es normal que nos pongan condiciones. La alternativa es hacer la gestion migratoria nosotros. Supongo que nuestros dirigentes europeos habran hecho numeros y sabran lo que costaria esa alternativa."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400493,5,,Alakrán_,2023-10-04T08:37:30+00:00,1,20,"Pues que no le den un € y metan unas cuantas fragatas en sus aguas territoriales para que no salga absolutamente nada de manera ilegal, y si nos ponemos menos dramáticos, que se pongan justo fuera de sus aguas y el puerto más seguro está en su país."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400480,4,2.0,Cuchifrito,2023-10-04T08:36:23+00:00,1,19,"#2 Nosotros queremos que hagan un trabajo que a ellos no les interesa hacer y queremos que lo hagan para siempre, obviamente habrá que pagarles mientras lo sigan haciendo.
Si financias a la oposición para que gane las elecciones tampoco van a hacer lo que quieras si no les sigues pagando."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400448,3,,Lerena,2023-10-04T08:31:12+00:00,3,39,Para la guerra si que hay dinero pero…
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400429,2,,hasta_los_cojones,2023-10-04T08:28:45+00:00,4,56,"Si le pagas a un extorsionador, te extorsionará para siempre.

¿Quiere 1000 millones?

Con 1000 millones se puede financiar una oposición que gane las elecciones."
inmigracion,https://www.meneame.net/story/presidente-tunez-rechaza-irrisoria-ayuda-ue-cambio-acuerdo,3861844,39400416,1,,kumo,2023-10-04T08:26:18+00:00,3,39,Extorsión con inmigrantes como peones.
