tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486757,12,,El_pofesional,2019-07-27T08:13:43+00:00,1,17,¿Aún no sabemos que homínidos y dinosaurios nunca coincidieron?
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486640,11,9.0,bicha,2019-07-27T07:50:26+00:00,0,7,#9 la gente tiene diferentes prioridades...
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486444,10,7.0,--496908--,2019-07-27T06:53:13+00:00,0,9,"#7 Navratilova, famosa pollaherida  {lol}"
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486427,9,7.0,--557049--,2019-07-27T06:47:42+00:00,4,41,"#7 Las que se empiezan a quejar son las mujeres que tienen que competir ( y pierden ) contra ellas , no los que tu mencionas"
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486413,8,,j060511,2019-07-27T06:45:12+00:00,1,16,¿Insultos en el fútbol ? No me lo creo. Putas fake news...
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486405,7,3.0,bicha,2019-07-27T06:41:44+00:00,3,-2,#3 si es el precio que hay que pagar para acabar con los gilipollas machistas y pollaheridas ¿dónde hay que firmar?
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486395,6,3.0,Nathaniel.Maris,2019-07-27T06:39:37+00:00,1,16,"#3 ¿No querrías decir dos te-tazas, no? {troll}"
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486351,5,,--611304--,2019-07-27T06:20:40+00:00,0,8,"A todos estos que les gusta señalarse a si mismos con actos como este, o romper mobiliario urbano, peleas y otros delitos mayores, se les coge y agrupa en una bonita isla sin posibilidad de escape?

Lo digo porque nos preocupamos mucho de quitar infecciones, mala hierba ect, pero lo que hace esta infección no la curamos."
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486264,4,,--424445--,2019-07-27T05:34:40+00:00,2,36,"Joer, si quieren sacar polémicas irrelevantes en cutres partidos de fútbol locales que ni al tato le interesan, por lo menos que escriban bien Guriezo.

@iescolar, pon orden aquí."
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486263,3,,--557049--,2019-07-27T05:33:22+00:00,10,80,"Las competiciones de mujeres se invaden de hombres trans {lol} {lol} 
Se haran con todas las medallas, triumfos y podiums  ,  ¿ no querian igualdad ? , dos tazas {lol}"
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486262,2,,celyo,2019-07-27T05:31:36+00:00,3,34,"No veo noticia en que haya insultos en el fútbol, tristemente."
lgtbi,https://www.meneame.net/story/siglo-xxi-seguimos-sufriendo-tios-parecen-salidos-era,3161915,27486252,1,,TribunaVioleta,2019-07-27T05:22:49+00:00,1,3,"""Seguían en las mismas, así que le dije al árbitro que parara, que yo no seguía; me quité los guantes y cogí el móvil para llamar a los municipales"", explica. A su llegada, algunos de los hombres huyeron, mientras que el resto dejó de insultar.

La historia se remonta a una semana antes. Jugadoras del equipo contrario la tomaron con ella y empezaron a mofarse. ""Yo cubro al chico, yo cubro al chico"", decía alguna de ellas. Ante esa situación, Izaro interpuso una queja ante la organización del Mundialito —el torneo del que forman parte estos partidos— que avisó a todos los equipos. ""Justo después de denunciar la situación y lanzar ese comunicado, resulta que, curiosamente, vuelven a insultarme, lamenta. Fue una situación de acoso y derribo contra mí"". La casualidad le resulta muy rara."
