tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38860453,23,4.0,nemesisreptante,2023-07-18T09:22:58+00:00,0,12,"#4 ¿por qué tiene que haber un problema? el artículo esta dando una información estadística bastante interesante por cierto, yo creo que nadie se imaginaba unos porcentajes así"
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38859919,22,6.0,erperisv,2023-07-18T08:29:13+00:00,0,11,#6 La tasa de para juvenil.
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38859651,21,,g3_g3,2023-07-18T07:56:33+00:00,0,10,HAZ QUE PASE
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38858736,20,17.0,Tarracon,2023-07-18T04:41:52+00:00,0,7,#17 El PP de Andalucía tiene mayoría absoluta. Vox no pinta nada.
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38858214,19,13.0,--731452--,2023-07-17T22:13:23+00:00,1,14,"#13 No hay lado positivo.
Solo se puede ver algo positvo si uno es un explotador.
Es gente que viene a malvivir aquí. Es un problema."
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38858210,18,10.0,--731452--,2023-07-17T22:12:00+00:00,2,23,"#10 sí, incita a la xenofobia.
El CEU son cristicanos. Yo no sé de qué va esta gente."
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38858205,17,9.0,--731452--,2023-07-17T22:11:05+00:00,2,24,"#9 No creo. En Andalucía están trayendo inmigrantes y eso que es una de las zonas de europa con más paro. En Andalucía están el PP y Vox.
https://huelvared.com/2023/01/11/llegan-las-primeras-trabajadoras-marroquies-contratadas-en-origen-por-asaja-huelva/
Vox no quiere que deje de haber inmigrantes, quiere que sean tratados peor porque cuanto más odio haya en la scoiedad, más se les va a votar."
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38858189,16,,--731452--,2023-07-17T22:04:07+00:00,1,14,Es tráfico humano. Se les trae para ser explotados laboralmente.
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857594,15,,drstrangelove,2023-07-17T20:20:01+00:00,4,35,"No es por nada, pero se me hace muy cuesta arriba pensar que el 95% de nuevos puestos de trabajo han sido copados por inmigrantes. No somos un país muy diversificado, pero algo tenemos y todos los años hay cientos de miles de puestos de trabajo nuevos en la industria, la tecnología, la educación, la sanidad o los servicios especializados; cosa diferente es que no tengamos personal con la formación necesaria para cubrirlos, porque prefieran emigrar a países más boyantes o porque la juventud no quiera ya estudiar ni formarse. Aparte que tampoco me creo que todos los trabajos de baja cualificación sean para inmigrantes, que suelen concentrarse en grandes ciudades y alrededores mientras camareros y albañiles hacen falta por todos lados.

Si además añades el ""tufillo"" de los ejpertos del artículo, que si regulaciones en el acceso a la sanidad, que si los españoles cobran subsidios, que si la educación está en peligro, que si problemas  de convivencia, que si la inmigración está detrás de la burbuja inmobiliaria, etc. pues todo parece indicar que se trata de un publirreportaje pagado por alguien para desacreditar los datos de empleo.

Quién lo diría de La Vanguardia..."
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857550,14,9.0,--755467--,2023-07-17T20:13:22+00:00,0,17,#9 hay que votarlas irrelevante
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857509,13,10.0,--613548--,2023-07-17T20:06:14+00:00,1,29,"#10 Bueno, mira el lado positivo, son personas que están contribuyendo a la seguridad social. Si esos puestos no se cubrieran, aunque fueran mal pagados, esa industria que los genera desaparecería si no pudiera ofrecer sueldos mayores, cosa que está pasando en muchas empresas que se están viendo obligadas a competir con los productos de otros países, en donde se produce más barato, que entran en la UE apenas sin aranceles o directamente sin aranceles."
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857495,12,4.0,malajaita,2023-07-17T20:03:56+00:00,0,7,"#4 #6 En el artículo si que hablan de un par o tres de problemas.
Uno la vivienda
Dos...
Tres..."
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857494,11,5.0,imaginateca,2023-07-17T20:03:52+00:00,2,34,"#5 "" No significa que sean inmigrantes recién llegados sino empleados no nacidos en España"" En la misma entradilla, ¿eh?"
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857490,10,6.0,falcoblau,2023-07-17T20:02:48+00:00,2,22,"#6 Por lo que parece según el articulo de la Vanguardia.... uno muuuy grande: “Si no se hace bien tendremos problemas sociales como el de Ripoll porque se está presionando a la baja el mercado laboral” (Más ultraderecha) ""Las personas inmigrantes en España crecen cada año que pasa. Esos ciudadanos son trabajadores que suelen ocupar trabajos precarios y mal pagados. Y eso acaba tensionando los servicios públicos como los de educación o sanidad"" (El fin de la sanidad y la educación)

Y todo este articulo alarmista en plena campaña electoral y escrito en un periódico que todo el mundo sabe que es de derechas.... blanco y en botella!"
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857485,9,,--755467--,2023-07-17T20:01:22+00:00,0,17,Estas noticias le dan más votos a Vox
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857468,8,5.0,ElTioPaco,2023-07-17T19:58:21+00:00,0,11,#5 todo eso se solucionará en cuanto nos quiten derechos y nos hundan en la pobreza.
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857463,7,6.0,Alakrán_,2023-07-17T19:57:54+00:00,2,32,#6 Para mi el problema es que la afirmación es poco creíble. El 95% de los puestos de trabajo creados en España en el último año fue ocupado por personas no nacidas en el país
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857431,6,4.0,--613548--,2023-07-17T19:53:52+00:00,0,17,#4 ¿quién dice que haya un problema?
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857428,5,,--423412--,2023-07-17T19:53:29+00:00,0,11,Salen más baratos. Acaban de llegar y los pobres aceptan lo que sea. Y los empresaurios se aprovechan.
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857411,4,,falcoblau,2023-07-17T19:51:11+00:00,9,101,"Los nacidos en España trabajan, y los que han venido de fuera también encuentran trabajo 
¿donde está el problema?"
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857402,3,,powernergia,2023-07-17T19:49:31+00:00,0,12,Pues menos mal.
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857391,2,,x.y.z,2023-07-17T19:48:20+00:00,2,35,"Según el CEU, de la asociación de propagandistas cristianos. Lobby cristofascista. Irrelevante."
inmigracion,https://www.meneame.net/story/mayoria-nuevo-empleo-creado-espana-cubre-inmigrantes,3835737,38857380,1,,malajaita,2023-07-17T19:47:04+00:00,0,7,Y sin derecho a voto
