tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39052419,77,76.0,MAD.Max,2023-08-15T17:16:39+00:00,0,7,"#76 la mayor parte de las agresiones se dan entre conocidos o incluso amigos. Y eso lo corroboraría el colega este de la navaja...

Todavía me acuerdo del que le tatuaron en el culo la palabra ""marica"" que el tipo dijo que fue un ataque homófobo y resultó que fue una sesión de sado/maso. Dijo que que había sido un ataque  homófobo para que su pareja no se enterará de los cuernos...

O la que se cayó borracha en un alcorque y también dijo que la habían atacado.


Si, por desgracia hay ataques de esos, pero no hay que que presuponer que todo lo que les pueda pasar es por eso."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39052374,76,61.0,stygyan,2023-08-15T17:10:29+00:00,0,10,"#61 si un homófobo da una paliza a un marica, es que era marica reprimido, seguro. Si alguien prende fuego a un bar marica con peña dentro, es que era uno de los clientes. 
El amigo Ockham se está retorciendo de risa."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39052358,75,19.0,stygyan,2023-08-15T17:08:17+00:00,0,10,"#19 a ver, mujeres son mujeres… pero sí, he conocido a un par de esos individuos. por desgracia."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39043556,74,60.0,Mark_,2023-08-14T10:20:59+00:00,0,12,#60 cumple más con lo típico de un ataque homófobo a un local LGTBI. Ni que fuera el primero.
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39043553,73,58.0,Mark_,2023-08-14T10:20:24+00:00,0,12,"#58 termina justificándole. Es un absurdo, lo sé. Yo esa batalla la deje hace tiempo."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39043313,72,71.0,EsePibe,2023-08-14T09:50:45+00:00,0,6,#71 Te pareces mucho a uno que hay en Secondlife que dice más o menos lo mismo. https://www.youtube.com/watch?v=uzPZk1T6UhQ
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39043073,71,,--759333--,2023-08-14T09:29:23+00:00,0,6,"Lo que se hace en ese tipo de locales si es de enfermos mentales.
Administradores, continuáis censurándome y baneando mis cuentas, seguiré regresando, no entendéis como funciona esto, puedo volver todas las veces que quiera, ignorantes, me censuráis porque no os gustan mis ideas y como las expreso. Además de paletos tecnológicos sois unos falsos, habéis transformado esta web, la que era una de las mejores webs de la red, en un corralito donde el que no sigue vuestros dogmas le tapáis la boca. PUEDO REGRESAR TODAS LAS VECES QUE QUIERA. En el país de los ciegos el tuerto es el rey. Con este ya van 37 regresos."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39042578,70,9.0,bradbury9,2023-08-14T08:34:03+00:00,2,31,#9 Tenista
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39042358,69,62.0,Malinke,2023-08-14T08:06:33+00:00,0,8,#62 sobretodo porque nadie lo dice.
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041900,68,53.0,Unalejandrocualquiera,2023-08-14T06:49:46+00:00,0,6,"#53 Los estratos de indefensión: lo más bajo el inmigrante, luego el homosexual, luego la mujer...
Por tanto, si la mujer tiene problemas por el velo, se hacen feministas. Si un homosexual discrimina a una mujer, se hacen feministas. Si los inmigrantes van contra los homosexuales, entonces se hacen LGTBI+

En cierta manera es una rotura de chip que puede ser positiva para los derechos de los homosexuales y de las mujeres"
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041866,67,5.0,Unalejandrocualquiera,2023-08-14T06:41:42+00:00,0,6,"#5 La culpa es de los videojuegos, sin duda."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041862,66,37.0,Unalejandrocualquiera,2023-08-14T06:41:09+00:00,0,6,"#37 Pues no, insultar a un político por la razón que sea siempre va a ser menor que armarla bien armada. Nos perdemos en los detalles."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041849,65,9.0,Unalejandrocualquiera,2023-08-14T06:38:40+00:00,2,28,#9 Terraplanista
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041529,64,,Polarin,2023-08-14T02:06:13+00:00,1,15,"Bueno, ... hay leyes en contra de esto? Si, pues es todo hecho. {confused}
En serio, que haya cabestros no lo puedes controlar con leyes. La gente tiene todo el derecho a pensar lo que les de la gana, como a los zumbaos que llaman TERFs a la feministas y las amenzan, por poner un ejemplo cercano. Lo que puedes controlar es que si queman un sitio, vayan a la carcel o que si te agreden y les pegas dos ostias, no tengas ni que ir a juicio."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041527,63,,Polarin,2023-08-14T02:02:29+00:00,0,9,Pero si estabamos en minimos de delincuencia. {cheesy}
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041508,62,9.0,Hjkk,2023-08-14T01:34:35+00:00,4,34,"#9 Terrorista. Ya sé que no requería respuesta, pero bueno, hay y que decirlo."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041354,61,35.0,MAD.Max,2023-08-13T23:24:09+00:00,3,24,"#35 no les hagas pensar, que solo quieren soltar su discurso.

Tiene más pinta de forma de actuar de alguien que es cliente habitual del sitio y salió riñendo con alguien de allí, por lo que lo hizo como venganza.

Sin más datos no puede decirse ni una cosa ni otra"
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041346,60,17.0,MAD.Max,2023-08-13T23:20:03+00:00,2,18,#17  #18 sabemos si el que lo hizo era un cliente habitual? Porque cumple con lo típico típico de alguien que lo frecuentaba y salió riñendo con gente de allí....
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041338,59,14.0,MAD.Max,2023-08-13T23:15:07+00:00,1,19,#14 te refieres a aquellas personas que comenten delitos relacionados con la familia y que no tienen nada colgando entre las piernas?
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041257,58,19.0,Wheresthebunny,2023-08-13T22:47:28+00:00,0,10,#19 Y tu prima sabe que es putero y le van las trans? Porque a lo mejor necesita saberlo.
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041143,57,,MDman,2023-08-13T22:19:18+00:00,2,18,"Por gente que quiere vivir de chiringuitos usando el mensaje de odio para conseguir vivir del cuento, están empezando estas cosas y el final es muy grave."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39041023,56,44.0,phyrian,2023-08-13T21:47:27+00:00,1,14,"#44 A ver, depende donde viva uno supongo. Yo donde vivo no aprecio mas delitos o agresiones que antes, al reves diria que ha bajado, antes los findes era raro que no hubiera peleas y algun herido, ahora eso es mas esporádico.
Lo que si percibo es que ha aumentado el incivismo, el aparco, giro, y hago lo que me salga de los cojones por que yo lo valgo y me da igual a quien joda.

Agresiones y delitos los habrá siempre por desgracia, pero hay una tendencia a exagerar y cuando se cotejan cifras queda claro de verdad.
Pero lo dicho, depende mucho donde se viva."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39040923,55,19.0,sauron34_1,2023-08-13T21:22:49+00:00,4,43,"#19 a mí mi cuñada me soltó hace muchos años lo de ""es que yo no quiero que los homosexuales adopten por si el hijo sale homosexual"". Yo no había salido del armario con ella, pero lo sabía perfectamente. Menuda hdp."
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39040843,54,,parpardoble,2023-08-13T20:59:10+00:00,0,7,Madre mía qué mundo nos está quedando....
lgtbi,https://www.meneame.net/story/prenden-fuego-club-gay-sevilla-hay-estar-muy-enfermos,3844575,39040659,53,29.0,armadilloamarillo,2023-08-13T20:18:50+00:00,4,40,"#29 Los de las campañitas de odio contra los gays y las feministas, cuando toca hablar de los inmigrantes se vuelven más pro-LGTBI y pro-feminismo que nadie. De repente todo lo que les parecía mal les parece algo a proteger. Claro que en realidad no es lo que piensan, simplemente consideran que pueden utilizar la sensibilidad a favor de los gays y el feminismo como arma en contra de los inmigrantes no blancos, nada más. Es una cuestión de propaganda.

Cuando los acusados son blancos, no hay homofobia, ""algo habría hecho"", ""no sabemos nada"", ""presunción de inocencia"", ""es un caso aislado"", ""las estadisticas son falsas"", ""falsa denuncia"", etc.
Cuando los acusados no son blancos, ""a su puto país"", ""su cultura no es compatible con la nuestra"", ""todos esos subhumanos son iguales"", ""las estadisticas no mienten"", etc."
