tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078579,13,,Keep,2023-03-27T19:41:23+00:00,1,21,"En Italia la izquierda cuando había gobernado había hecho nada, esto es de un reportaje de El país de hace dos días: El tormento de las familias formadas por dos mujeres tiene la particularidad de que en Italia solo está permitida la inseminación artificial de la mujer de una pareja heterosexual. Por eso los viajes más frecuentes son a España o Dinamarca. Las familias formadas por dos hombres, tal y como sucede en la mayoría de países europeos, solo tienen dos vías: la adopción del hijo biológico del otro (no pueden adoptar como pareja) o la gestación subrogada en países como México o EE UU, donde es legal en algunos Estados. Justo lo que hicieron Ryan y Giuseppe, dos sardos de 48 años que viven en Roma desde hace dos décadas. En 2015 se fueron a California y después de un largo proceso, volvieron con dos gemelos: Nina y Luca (hoy tienen 8 años).

Los dos niños recibieron la nacionalidad estadounidense y fueron registrados como hijos de dos padres. Al llegar a Italia, Giuseppe perdió automáticamente la potestad y ese reconocimiento. Los padres ni siquiera pudieron inscribirlos en el registro municipal de Roma: básicamente porque la alcaldesa de entonces, Virginia Raggi (Movimiento 5 Estrellas), y el actual regidor, Roberto Gualtieri (Partido Democrático), nunca quisieron implantarlo. “Todo esto es una estrategia política. Nos ofenden en un modo increíble”, explica Ryan respecto a la última orden del ministro del Interior de clausurar los registros municipales. “Además dicen que las parejas gais compramos a los niños. Pero nosotros accedemos a servicios de prestación y mediación legal, sucede también para las adopciones internacionales y ahí nadie habla de niños comprados”.

Ryan es vicepresidente de la asociación de familias Arcobaleno (arcoíris en italiano). Y señala lo mismo que todos los consultados para este reportaje. La sociedad civil italiana va por delante de la clase política. “De hecho, diría que está años luz. En la vida diaria nunca hemos tenido ninguna dificultad. Nuestros hijos están completamente integrados. Nunca nadie nos ha dicho nada”, apunta. El sábado pasado, unas 10.000 personas se manifestaron en Milán contra esta medida y pidieron que se regule una situación que deja a la intemperie a miles de niños.

La nueva secretaria del PD, Elly Schlein, aseguró que lo convertirá en una lucha prioritaria. Stefania Santilli, abogada que defiende las familias homoparentales, cree que debería “discutirse el diseño de la ley que presentaron las familias homosexuales”. “Ya se empieza a hablar de ello en el Parlamento. No se puede dejar a todos esos niños esperando a una decisión que llegará dentro de dos años (tiempo que tarda el proceso de adopción). La adopción no es la figura legal justa ni correcta. No está pensada para parejas de uniones civiles, es la adaptación de otra figura legal y contiene pasajes que son injustos para las familias. Pero es una forma de reconocimiento y es importante recordarlo”. El problema es que, hasta ahora, tampoco la izquierda había hecho nada. https://elpais.com/sociedad/2023-03-25/el-limbo-de-las-familias-con-progenitores-homosexuales-en-italia-es-muy-humillante-te-obligan-a-declarar-en-falso.html"
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078561,12,,Mltfrtk,2023-03-27T19:39:13+00:00,1,17,"Mussolini fue un buen político.
Todo lo que hizo fue para Italia. Giorgia Meloni."
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078382,11,9.0,--737094--,2023-03-27T19:19:26+00:00,0,10,#9 {lol}
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078375,10,,metalico_zgz,2023-03-27T19:18:51+00:00,1,17,"Tampoco es un cambio radical respecto a la situación actual. Ese recurso al que recurren ahora las parejas homosexuales es una triquiñuela, y bendita triquiñuela si ha estado sirviendo. Pero el que tengan que recurrir a zonas grises de la legislación evidencia que antes tampoco es que fuera un país con una avanzada legislación igualitaria. La homofobia en Italia no es nada nuevo que haya traído Meloni."
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078370,9,1.0,Verdaderofalso,2023-03-27T19:18:01+00:00,0,20,#1 pero y lo guapa que es?
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078347,8,,--482040--,2023-03-27T19:14:50+00:00,0,8,"La Meloni iba con la verdad por delante, esto se imaginaba.
Quizás los italianos lo han votado pese a ello, porque daba solución a algún otro problema que el resto de partidos, no?"
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078223,7,5.0,--737094--,2023-03-27T18:58:22+00:00,2,33,"#5 Pues sí, y aquí pasaría lo mismo. Son los que votan derechas esperando que hagan política de izquierdas para ellos y de derechas para los demás, los que constatando luego que sus próceres hacen política de derechas para todos se cabrean. Engañados por delante y por detrás."
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078209,6,,--576782--,2023-03-27T18:56:42+00:00,0,9,En todas partes nos comemos lo votado.
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078188,5,1.0,io1976,2023-03-27T18:54:42+00:00,1,31,"#1 Siempre habrá alguno que se haga el idiota y que diga que no sabía nada, que no se lo esperaba."
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078141,4,,Globo_chino,2023-03-27T18:50:01+00:00,0,9,"Peor se va a poner en Europa, a la izquierda no puede o está muy limitada para ofrecer soluciones, el centro-derecha se apoya en los sectores que se mantienen estables y es la ultra-derecha la que tomando el impulso del descontento social.

Me recuerda bastante a la situación de los años treinta en Europa del siglo pasado."
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078056,3,,--134954--,2023-03-27T18:40:21+00:00,0,15,"ya verás como se entere la UE como les va a sancionar con esas acciones totalmente contrarias a sus ideas, y los encargados de juzgarlo seran polonia y hungría como ejemplos de políticas pro-lgtbi"
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078014,2,,jobar,2023-03-27T18:35:30+00:00,4,49,"""Que se iban a cortar y que no iba a ser para tanto"" me decían hace unos meses, cuando les toque a los demás ya será tarde."
lgtbi,https://www.meneame.net/story/homofobia-en-italia,3795982,38078002,1,,--737094--,2023-03-27T18:34:03+00:00,6,85,"Supongo que a nadie pilla por sorpresa, homofobia, xenofobia y aporofobia es lo que han votado. ¿O esperaban otra cosa?"
