tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27571564,55,54.0,--7548--,2019-08-09T07:22:25+00:00,0,6,"#54 "" Aparte del obvio que supone que en todas las culturas existen dos generos relacionados con el sexo masculino y femenino...""
""...mostrar el ejemplo de un tribu supone menos que una excepcion ...""
¿son todas las culturas o no? Si no te contradijeras sería mejor . 

Existen fuentes y estudios acerca de existencia de culturas en donde la distinción sexual en dos géneros no ha sido lo normal. Si te interesa informarte pues búscalos (alguno he encontrado pero no te voy a hacer ese trabajo). 

""...puesto que ni siquiera sabemos que valor pueden dar a estos conceptos pequeñas tribus de las que apenas se puede tener un cuerpo ontologico que permita sacar una conclusion..."" puede que tu no sepas, pero otros que se dedican al estudio de estas cosas, ya lo han hecho."
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27569999,54,22.0,--350694--,2019-08-08T20:50:22+00:00,0,7,"#22 ""Mientras en occidente..."" Y en la India, China, America y practicamente todas las culturas conocidas, mostrar el ejemplo de un tribu supone menos que una excepcion, puesto que ni siquiera sabemos que valor pueden dar a estos conceptos pequeñas tribus de las que apenas se puede tener un cuerpo ontologico que permita sacar una conclusion, y mucho menos si el trabajo viene de un medio tan generalista y poco riguroso como es Vice."
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27569611,53,28.0,x.y.z,2019-08-08T19:24:02+00:00,0,14,#28 Es que el opina lo normal.
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27568342,52,,Tronchador,2019-08-08T15:40:27+00:00,0,7,Quizá porque hasta hace poco (unos años) era catalogado como enfermedad mental por la OMS.
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27566959,51,2.0,Paracelso,2019-08-08T12:31:44+00:00,0,8,"#2 Hola, yo no me permito opinar sobre si tal o cual muro de carga se debe tirar, ni cómo se afrontará la restauración de Notre Dame, porque no soy arquitecto.
Sin embargo sí soy médico y en este tipo de casos lo que importa es nuestra opinión, de las diferentes disciplinas involucradas en la evolución biológica y mental del individuo. ¿en qué Universidad obtuviste el Título de Medicina?, porque tu afirmación categórica requiere de una solidez inusitada."
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27566946,50,47.0,--465922--,2019-08-08T12:30:09+00:00,0,9,"#47 pero no es un documental, es una serie que cuenta una historia de ficción."
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27566925,49,,Noctuar,2019-08-08T12:27:13+00:00,0,12,"Si alguno se hubiera molestado en leer publicaciones científicas sobre la cuestión de la transexualidad podría haberse enterado de que la sexualidad no se elige en ninguno de sus aspectos. No se elige el sexo biológico, ni se elige la orientación sexual ni tampoco se elige la identidad sexual. Cada uno nace con una sexualidad que está marcada en el cerebro ; no en los genitales. Es en el cerebro donde reside el esquema corporal y todo lo concerniente a la sexualidad. A veces sucede que la identidad sexual no coincide con el sexo biológico de nacimiento y es a lo que denominamos transexualidad: https://cienciasdelsur.com/2018/09/22/ideologia-conservadora-de-genero/"
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27566870,48,,TierrasRaras,2019-08-08T12:21:09+00:00,0,7,"Solo espero que cuando sea mayor, con el cerebro maduro y capacidad de tomar decisiones, no se arrepienta de la amputación genital. Ni los cómplices de sus padres y su abuelita."
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27566820,47,,TheIpodHuman,2019-08-08T12:14:27+00:00,0,16,"A todos aquellos que  piensan/dudan que si un niño/a no es capaz de definir lo que es  y lo que quiere ser les invito a ver esta mini-serie britanica de 3 capitulos

https://www.filmaffinity.com/es/film306518.html
https://gnula.se/capitulos/butterfly/

Cuando hayan terminado de verla espero que cambien de opinion...."
lgtbi,https://www.meneame.net/story/soy-nina-transexual-feliz-10-anos-llamo-alejandra,3167230,27566657,46,4.0,--534998--,2019-08-08T11:58:13+00:00,2,42,#4 ¿Y tú qué conoces de psicología del desarrollo?
