tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27623072,14,5.0,--558933--,2019-08-17T12:55:46+00:00,0,6,"#5 Es que si los llevan a Tunez rápidamente se les acaba el negocio porque dejarían de llamarles para hacer ""rescates"" y se buscarían otra ONG más colaborativa."
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27622545,13,12.0,--548459--,2019-08-17T11:10:09+00:00,0,7,"#12 todos los dias muere gente por injusticias, miles, decenas de miles. Pero esos no llenan portadas. 

Y no veras a estas personas mererde a axrica fusil en mano a ayudarles. 

Que muera gente no es gracioso, pero la mejor manera de acabar con las mafias es que no lleguen a europa. Facil y sencillo. Vuelta a libia."
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27622087,12,3.0,CacaSonriente,2019-08-17T09:41:33+00:00,1,16,"#3 JAJAJAJA Qué gracioso, gente muriéndose jajajaja"
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27622000,11,,EuropeoDespierto,2019-08-17T09:26:15+00:00,1,19,Lo dije. Efecto llamada
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621969,10,,ManTK,2019-08-17T09:20:19+00:00,0,11,Que prueben a ir a Italia (Lampedusa). Les van a hacer un OpenArms
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621613,9,,gelatti,2019-08-17T08:08:40+00:00,1,20,"Por si queris ver donde está ahora: https://www.vesselfinder.com/es/?imo=8506854 , a 53 millas de Lampedusa, lo mismo de Malta, y unas 120 de la costa de Tunez."
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621581,8,,--523080--,2019-08-17T08:02:11+00:00,0,10,"Pero seguro que no les gusta ese puerto seguro y seguro que el puerto seguro que buscan está en la UE, es lo que les han pedido."
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621557,7,,dameAbrazos,2019-08-17T07:53:43+00:00,1,14,"Hay que hacer un Centro de acogida de inmigrantes ilegales en libia, para albergar a los inmigrantes ilegales hasta que se aclara quienes son, de donde vienen, y cuáles son sus méritos para formar parte de nuestra sociedad.

Se ""pacifica"" una zona, se ponen barracones, y las puertas abiertas para que todo el que no esté contento con las leyes y la burocracia se vuelva a su casa.

En Europa se encontrarán con muchas leyes y mucha burocracia, así que si no son capaces de superar esa prueba no van a poder integrarse en nuestra sociedad."
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621548,6,,--542291--,2019-08-17T07:50:36+00:00,0,6,"A MSF la intuyo menos política que a Open Arms. Para unos, la prioridad es desembarcarlos. Para los otros, retar a Salvini con rehenes."
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621544,5,2.0,zentropia,2019-08-17T07:49:09+00:00,3,35,#2 La definición de seguro es bastante estricta para los de Open Arms. Solo están seguros si cruzan al otro lado del charco.
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621539,4,2.0,--542291--,2019-08-17T07:47:05+00:00,5,39,#2 Y además la fundaron catalanes. Los fenicets.
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621525,3,,--423412--,2019-08-17T07:43:19+00:00,0,17,"Desde que Salvini se ha puesto duro, la llegada de inmigrantes es superior en España que Itàlia. Me pregunto, de todos los paises del Mediterraneo, si tendrian huevos de ir a Israel. O saben que allí no se están con ostias y los fríen a tiros en cuanto asoman la quilla a pocos metros de sus aguas....XD"
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621496,2,,tiopio,2019-08-17T07:34:10+00:00,18,168,Túnez es un puerto seguro y está más cerca.
inmigracion,https://www.meneame.net/story/ocean-viking-baraja-espana-desembarcar-356-inmigrantes-vale,3170822,27621490,1,,ﻞαʋιҽɾαẞ,2019-08-17T07:32:43+00:00,0,11,Que hable con Torra.
