tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27651624,12,7.0,LosEnergeticos,2019-08-21T21:31:56+00:00,1,16,"#7 ¿Arabia Saudí?, bueno a lo mejor los descuartizan directamente como es costumbre parece ser."
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650652,11,,--544853--,2019-08-21T18:14:40+00:00,1,17,País de libertad y derechos humanos...
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650592,10,,--469685--,2019-08-21T18:02:31+00:00,0,10,"Curioso , protestan contra la medida de Trump de encarcelar a menores inmigrantes pero a la vez piden que se expulse a los menas que hay en España"
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650399,9,,tranki,2019-08-21T17:16:11+00:00,0,7,"...detener a los niños migrantes... ¿Los que se van emigrantes o los que vienen inmigrantes ?
¿A quien detengo?

Con esas chorradas del lenguaje ya no hay manera de entender nada.
Vaya gilipollada con lo de migrantes pobre castellano, lo están destrozando"
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650378,8,2.0,osmarco,2019-08-21T17:13:08+00:00,0,17,"#2 Los politicos estan porque son elegidos por sus ciudadanos, si dan asco ellos tambien los ciudadanos que los pusieron o su sistema electoral, que si no te gusta aboga por cambiarlo."
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650200,7,1.0,Mosquitocabrón,2019-08-21T16:30:32+00:00,2,25,"#1 Israel... 
Un,  dos, tres. ¡Responda otra vez! 
Cc:4"
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650159,6,5.0,--214483--,2019-08-21T16:21:22+00:00,1,16,"#5 
1/ lo que quieren es que no vengan, no traer más niños

2/ el problema estará en todo caso de sus países de origen que se desentienden de ellos, obviamente usa felizmente se los quitará de encima

3/ los estados anglosajones en términos generales son bastante débiles para cosas publicas, salvo ejército suelen tener administraciones muy flacas. No veo que tengan que hacer una excepción para encima gente que no es siquiera de su pais"
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650081,5,,--423412--,2019-08-21T16:03:38+00:00,0,18,"En lugar de eso podrían crear zonas de internamiento adecuadas, coin habitaciones separadas, zonas de formación y médicos, y que se pudieran quedar ahí todo el tiempo que necesitarán, por lo menos hasta que dominarán el inglés y tuvieran un oficio con el que salir adelante. Mejor que tenerlos encerrados como una cadena perpetua que ya sabemos en que acaba. Exploración por parte de las empresas que controlan estas prisiones y en redes de mafias cuando salen algún día"
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650050,4,1.0,cristomc,2019-08-21T15:59:06+00:00,1,16,"#1 Cuba, Iran... Korea....
...

Venezuela!

Que nada manche el neo-""loquesea""  que tantos frutos está dando en USA, Brasil, Italia y Reino Unido"
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650031,3,,--38321--,2019-08-21T15:56:10+00:00,0,11,"Detenerlos de manera indefinida, menudo desperdicio ... le voy a dar una idea de qué hacer con esos críos.

https://es.wikipedia.org/wiki/Jen%C3%ADzaros

Seguro que los libereales aplauden con las orejas. También se podrían vender los niños, así no hay que pagar los vientres de alquiler."
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27650010,2,,eipoc,2019-08-21T15:51:53+00:00,1,27,Qué puto asco dan.
inmigracion,https://www.meneame.net/story/trump-anuncia-nueva-ley-detener-ninos-inmigrantes-forma,3172574,27649916,1,,pozoliu,2019-08-21T15:37:28+00:00,4,51,Niños encarcelados... voy a buscar en internet a ver que países aplican este tipo de medidas tan novedosas.
