tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26354393,28,27.0,Banshee2x,2019-02-12T16:37:25+00:00,0,10,#27 ¿Y quien te ha dicho que no me moleste? Vamos es que ni siquiera he nombrado a ZP ni al PSOE...
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26354371,27,26.0,--509662--,2019-02-12T16:34:23+00:00,0,9,"#26 bueno  Cs era un partido regional catalán recién fundado, sin embargo no te molesta que en el psoe varias personas incluyendo a ZP quisieran una ley con excepciones como el derecho a adoptar, y gracias a Zerolo la ley salió adelante."
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26350785,26,23.0,Banshee2x,2019-02-12T09:37:06+00:00,0,10,"#23 No miento, lo que dijo fue: No creemos, sin embargo, que estas uniones deban ser llamadas “matrimonios”?. La igualdad no pasa por subvertir el sentido de las palabras, sino por garantizar que las diferencias no implican discriminaciones. Llamar matrimonio a una unión homosexual genera tensiones innecesarias y perfectamente evitables en la sociedad, sin aportar ninguna mejora a las parejas homosexuales ni a la calidad de su ciudadanía. No veo ahí que mencione a la derecha, dice ""no creemos"" hablando de Ciudadanos."
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26348974,25,,entroysalgo,2019-02-11T22:26:12+00:00,0,8,https://es.wikipedia.org/wiki/Homonacionalismo
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26348838,24,16.0,el_guti,2019-02-11T21:59:35+00:00,0,6,#16 siempre ha habido negros que militan en el KKK
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26348796,23,20.0,--509662--,2019-02-11T21:52:32+00:00,0,8,"#20 mientes, lo que dijo rivera en un debate televisivo es que si el problema para la derecha era el nombre, que se le cambiara el nombre para que se votara unanimamente por el sí y la ley saliera adelante. Pero era simplemente una estrategia para desenmascarar a la derecha en un debate del gato al agua.
Recordemos que en aquella época mucha gente en el psoe estaba en contra y que fue Zerolo quien convenció a ZP, hoy hay una fuerte presencia del feminismo religioso en el psoe encabezado por Carmen Calvo y los derechos del colectivo lgtbi peligran y asi lo ha hecho saber la felgt, el psoe tiene mas de 100 enmiendas a la ley.

https://www.europapress.es/sociedad/noticia-felgtb-denuncia-hay-ideologia-transfobica-comision-igualdad-congreso-senala-psoe-20190128125729.html"
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26348629,22,3.0,SeuMadruga,2019-02-11T21:24:48+00:00,0,8,"#3 Sí, pues con lo lejos que está, ni montándose en el transiberiano, tú {lol}"
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26348331,21,1.0,--536847--,2019-02-11T20:48:55+00:00,1,16,"#1  #6  la razón es otra, es por los vientres de alquiler, al que se han apuntado como locas los maricones ricos, a los gay les repugna todos estos fachas. 
Es como # 12 (que le jode que le muestren sus mierdas) que no hace más que dar la matraca con los vientres de alquiler, para que las putas pijas no echen a perder sus cuerpecitos o maricones tengan su hijo tope guay de alta gama.... 

LOS ORFANATOS ESTAN LLENOS DE NIÑOS, pero esos no que a ver de quien son"
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26348252,20,14.0,Banshee2x,2019-02-11T20:35:37+00:00,2,26,"#14 -jamás han estado en contra del matrimonio gay En contra de llamarlo matrimonio, por lo menos, si que han estado."
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26347755,19,5.0,Keep,2019-02-11T19:31:34+00:00,0,9,#5 ¿Y eso a qué viene en esta noticia?
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26347609,18,,--509662--,2019-02-11T19:13:02+00:00,0,8,"#en eso tienes razón sobretodo pq C's  no era un partido nacional sino regional, pero como te digo el psoe de hoy en día nada tiene que ver con el de ZP y Zerolo. Hay mucha tansfobia en las filas feministas de este nuevo psoe."
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26347514,17,14.0,gale,2019-02-11T19:01:14+00:00,1,18,"#14 Todo eso es cierto, pero también hay que reconocer que una ley como la del matrimonio homosexual nunca habría salido de un partido como Ciudadanos. Y ahí hay que dar el mérito al PSOE."
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26347462,16,9.0,--334312--,2019-02-11T18:56:44+00:00,0,10,#9 No necesariamente. Milo Yiannopoulos es gay y apoya al partido conservador y a Trump.
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26347397,15,13.0,wondering,2019-02-11T18:45:34+00:00,2,26,"#13 Lo siento, pero no. Los gustos sexuales están separados de la política. Y no entender esto te sitúa en las mismas posiciones en la que estaba el PP cuando no apoyaba la ley de matrimonio homosexual.

Lo que algunos no se dan cuenta es que la sociedad ha avanzado lo suficiente como para ver con normalidad que un gay vote a una opción distinta a la de izquierdas, porque simplemente, no tienen nada que ver tus gustos sexuales con la forma en la que ves la economía, la política territorial, la relaciones exteriores, etc. Querer ligar una cosa y otra es separar a los gays como si fueran algo especial, y simplemente, no lo son, o no más (ni menos), que cualquier otra persona con otros gustos sexuales."
lgtbi,https://www.meneame.net/story/ciudadanos-divide-colectivo-lgtb-llevar-banderas-arcoiris-contra,3081516,26347367,14,9.0,--509662--,2019-02-11T18:41:00+00:00,5,49,"#9 
pues C's es el partido más pro-gay en el marco politico actual. 

-jamás han estado en contra del matrimonio gay
-acabar con la discriminación de personas VIH+ que no pueden optar a ser funcionarios
-implantación de la PREP en la SS y propuestas para prevenir el VIH
-regulación de la gestación subrogada sin discriminación por cuestiones de genero o sexuales
-apoyan la Ley LGTBI propuesta por la felgt
-han apoyado y votado junto con ERC y la CUP la ley contra la homofobia catalana
-son ferreos defensores de las libertades individuales
-propuestas para educación..."
