tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26209071,42,36.0,suzudo,2019-01-23T20:27:54+00:00,0,7,#36 No. Carece de límites. Los 144000 son los gobernantes para el resto... je.
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26208868,41,36.0,doze,2019-01-23T20:05:17+00:00,0,7,#36 Propongo que lo resuelvan con espadas. Solo pueden quedar 144.000
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26208765,40,,doze,2019-01-23T19:53:40+00:00,0,7,"No veo la novedad, el objetivo de los testigos de yahvé es precisamente que solamente ellos podrán acceder al paraiso."
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26208262,39,4.0,suzudo,2019-01-23T18:54:24+00:00,0,7,"#4 Ep. Al cielo no exactamente. ""Al paraiso"". Tiene un truco extra (el paraiso es la misma tierra bajo un gobierno teocrático controlado por ellos y con ordenes de dios se supone. Ellos serían los que van al cielo y gobiernan, no el resto que debería de obedecer o ser destruido)

Su ideal de rey bueno (dicho en sus publicaciones) es el rey Josías (mirarse quien era y que hacía con la disidencia)"
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26208244,38,3.0,suzudo,2019-01-23T18:52:14+00:00,0,7,"#3 Tienen el truco desde siempre que indico en #37
Evidentemente dicen que los muertos resucitarán para luego ser juzgados e ir al paraiso o ejecutados 

Pero lo arreglan como que el paraiso es la misma Tierra gobernada por ellos sin límite de cupo y el cielo donde van a subir pero luego bajan los 144000 elegidos a ver a Dios y Jesus y ser estos los gobernantes de ese mundo. Evidentemente creen que los 144000 ya están en sus filas dirigiendo su religión y ya hablan con Dios que se supone les ordena las cosas y como leer la Biblia y demás"
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26208218,37,1.0,suzudo,2019-01-23T18:48:26+00:00,0,7,"#1 Ese lugar, ese paraíso, para ellos es la misma Tierra en un futuro gobernada... Por ellos.
Creen que 144000 elegidos subirán y bajarán del cielo con lo que les manda Dios y se lo dirán a la humanidad y esta (que ni verá a Dios ni irá al cielo sino que se quedará aquí) obedecerá (sino Dios los exterminará a quien no esté de acuerdo por malvado)

Esos 144000 a la vez serían los que están detrás dirigiendo la organización de los TJ y este ya los estaría ordenando que hacer 

Es decir que en realidad su proyecto idílico... Sería que se impusiera una teocracia mundial al tener suficientes conversos y por tanto los nuevos deberían convertir a más gente y quien no quiera sabiendo sus enseñanzas será destruido"
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26207520,36,,--339949--,2019-01-23T17:02:53+00:00,0,8,"Si no me equivoco existe un límite de aforo en el paraíso de los Testigos de Jehova, 144.000 plazas.
Creo que actualmente existen unos ocho millones de Testigos de Jehova."
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26207504,35,34.0,lainDev,2019-01-23T17:00:59+00:00,0,9,"#34 hombre, yo me refería a las religiones actuales {lol}  pero está bien algo de historia {smiley}"
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26207455,34,6.0,--339949--,2019-01-23T16:53:39+00:00,0,8,"#6 La religión olímpica clásica sin ir más lejos. Incluso estaba mal visto un hombre que solo fornicara con mujeres, lo consideraban afeminado y en algunas ciudades griegas se les prohibía entrar en el ejercito.
Y existen muchas más. En el extremo la religión de la tribu Etoro prohíbe la heterosexualidad y la castiga con la muerte.
https://es.wikipedia.org/wiki/Etoro"
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26206011,33,28.0,--471541--,2019-01-23T14:18:05+00:00,0,7,"#28 Lo veo y subo. 

Durante principios del S XVII el buen rey Jacobo Carlos Estuardo I de Inglaterra y VI de Escocia, como buen marica y monarca encargó un análisis de las traducciones de la Biblia y se dió cuenta de que todos esos sitios donde se menciona a sodomitas y homosexuales realmente lo que quería decir Dios era violadores; desde entonces en el anglicanismo y en todas las ediciones de la Biblia KJV no se menciona la homosexualidad diréctamente.

Las únicas partes que no se tocan son las de ""quien se ayuntase con hombre como con mujer"" pero tal y como está escrita la frase lo único que te pide es que lo hagas de forma distinta cuando lo hagas con hombre y con mujer.

En conclusión, haciendo alusión a la versión del rey Jacobo las relaciones homosexuales, tanto románticas como afectivas están bajo el paraguas del cristianismo."
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26205763,32,,portera,2019-01-23T13:52:41+00:00,0,7,"Yo no sé qué hace está gente que no se muere ya. Con la de veces que ya se ha acabado el mundo.  {0x1f600} 
No hay seriedad."
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26205427,31,,Brill,2019-01-23T13:24:12+00:00,0,10,"Está claro, si la niña quiere ir al paraíso tiene que renunciar públicamente a sus madres. Es eso? Muy cristiano -y testigoso- todo."
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26205364,30,,Raul_pm,2019-01-23T13:19:04+00:00,0,12,Los testigos de Jehová son una secta peligrosa y todos los países deberían hacer como Rusia y prohibirlos.
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26205347,29,16.0,Raul_pm,2019-01-23T13:17:26+00:00,0,12,"#16 Ahora que lo dices vaya horror, un «paraiso» lleno de fanáticos religiosos, vaya condena..."
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26205249,28,14.0,comadrejo,2019-01-23T13:08:07+00:00,0,6,"#14 En un repaso rápido:
https://www.biblegateway.com/passage/?search=1+Timoteo+1%3A9-10&version=LBLA
https://www.biblegateway.com/verse/es/Lev%C3%ADtico%2020%3A13
https://www.biblegateway.com/passage/?search=Lev%C3%ADtico+18%3A22-27&version=NVI
https://www.biblegateway.com/passage/?search=Romanos+1%3A26-27&version=RVR1995
https://www.biblegateway.com/passage/?search=1+Corintios+6%3A9%2C1+Corintios+6%3A9-10&version=NVI

Hay que tener en cuenta que es un ""refrito"" de cuentos fantásticos diseñados para el control de masas."
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26205146,27,7.0,Nobby,2019-01-23T12:56:37+00:00,0,11,"#7 Paraíse, con casines y furcies, que sea inclusivo! {grin}"
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26205127,26,6.0,Nobby,2019-01-23T12:54:43+00:00,0,11,#6  Al Monstruo del Espaguetti Volador le gusta esto
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26204926,25,,--599848--,2019-01-23T12:37:38+00:00,0,7,"Alguien mas se ha puesto a pensar que aquellos ""que buscan la salvacion eterna"", aparte de fanboys, son unos elitistas?
En vez de mejorar el mundo aqui, prefieren ""quedar bien"" ante su amigo imaginario, para cuando mueran, dejar a los demas atras.
Otra razon mas por la que me volvi agnostico, camino a ser antiteista."
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26204898,24,5.0,vilgeits,2019-01-23T12:35:09+00:00,1,18,#5 Cabronazooo...estaba leyendo tu comentario mientras bebia el zumo de naranja y he regado la habitacion como un aspersor
lgtbi,https://www.meneame.net/story/indignacion-video-homofobo-testigos-jehova-veta-paraiso,3072144,26204855,23,19.0,triturator,2019-01-23T12:31:05+00:00,0,7,"#19 A ver, todos tenemos derecho a creer en que más allá de la muerte hay alguna cosa más. Unos lo creerán, y otros no. De entre los que lo creen, los heteros encuentran comunidades enteras de gente que piensa parecido, en las que integrarse y hablar del tema, pero si eres gay parece que sólo te queda el ateísmo, o es que eres tonto. 

Y eso es una putada, porque tú tienes unas creencias que son perfectamente legítimas, pero no las puedes compartir con nadie. Y encima se ríen de ti."
