tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27701709,37,36.0,powernergia,2019-08-29T18:17:30+00:00,0,10,"#36 Supongo que entenderás que promoviendo la natalidad, podrás tener trabajadores dentro de 20 o 25 años, por eso (aunque funcionara que no funciona, como han comprobado en el norte de Europa), el problema no lo solucionas. ""para evitar que suba ese paro hay que dejar entrar a todo el que quiera"" Las políticas de entradas en Europa son muy restrictivas, y me parece bien, yo siempre hablo de inmigración legal, el año pasado entraron 500.000 personas,  bajó el paro, y por primera vez desde 2007 subieron los sueldos.

Bueno, ya me estoy repitiendo con esto, repasa los datos y tal vez descubras que tus creencias son erróneas, y te guste o no te guste, seguirán viniendo inmigrantes para mantener la economía y hacerte un favor.

Un saludo."
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27701647,36,34.0,--95285--,2019-08-29T18:03:20+00:00,0,9,"#34 envejecimiento de la población actual que solo se puede solucionar con inmigración Falso, tambien se puede solucionar promoviendo la natalidad de los autoctonos, que además sería incomparablemente mejor para el país. En nuestro país, dejar de crecer implica automáticamente más paro. Y para evitar que suba ese paro hay que dejar entrar a todo el que quiera, muchos de los cuales a lo maximo que pueden aspirar es a manteros o a gorrillas, cuando no a vivir de las ayudas del estado, es lo mas logico. tendrán que tragar su xenofobia y abrir las puertas a inmigrantes: Una cosa es dejar entrar a inmigrantes a los que se les necesite por su cualificacion, a los que respeten las normas de convivencia, a los que traigan consigo unas costumbres y unos valores que sean compatibles con la idiosincrasia del país y los derechos humanos y otra es dejar entrar a todo el mundo sin ningun control, como quereis los progres. Y oponerse a esto ultimo no es xenofobia. hay más parámetros en la ecuacion El que haya mas parametros a tener en cuenta no invalida la ley, simplemente pueden ""maquillar"" un poco el resultado en un sentido o en otro, dependiendo de cual sea la combinacion de todos ellos: cuantos llegaron + cuanta gente se fue + cuanto creció la economia, etc. Lo que no sé es si delinquen por inmigrantes o por pobres, Pues mientras resuelves la duda lo mejor que puedes hacer, ya que eres tú el quiere que venga gente así, es mantenerlos con tu dinero;   se honesto y no pretendas poner esa carga sobre los demás."
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27696368,35,33.0,powernergia,2019-08-28T22:58:35+00:00,0,10,"#33 ""Y el planeta no es infinito, tambien agradecería menos crecimiento"" No había visto esto, y por supuesto estoy totalmente de acuerdo, pero lo inviable es nuestro sistema económico actual basado y consumo y crecimiento 

¿Conoces a alguien que esté proponiendo eso?.

A los que conozco que los proponen siempre los llaman rojos perroflautas y no es algo que se esté planteando actualmente, y que en cualquier caso serviría en el medio y largo plazo, pero no solucionaría nuestro gravísimo problema de envejecimiento de la población actual que solo se puede solucionar con inmigración."
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27696236,34,33.0,powernergia,2019-08-28T22:20:18+00:00,0,10,"#33 ""Eso no es necesariamente malo"" (sobre la economía estancada) 

En nuestro país, dejar de crecer implica automáticamente más paro. ""No creo que en Japon la gente lo esté pasando mal pese a tener la economia estancada muchos años ya."" Si, Japón lo está pasando mal, lo están compensando con la mayor deuda del mundo y nadie sabe cómo va a terminar eso, así que se tendrán que tragar su xenofobia y abrir las puertas a inmigrantes: 

https://www.elmundo.es/papel/historias/2019/03/23/5c865fd5fc6c83bc158b46ce.html
Y eso siendo un país megaexportador con una enorme automatización en sus manofacturas, imagínate España sustituyendo a los camareros inmigrantes o los temporeros por robots. ""A mayor oferta de un producto (mano de obra) mas barato será este (salarios). Esta ley es de tan inexorable cumplimiento como la ley de la gravedad, creas o no creas en ella"" Esa ""ley"" que tú dices tiene un fallo, y es que hay más parámetros en la ecuacion, por ejemplo el año pasado entraron 500.000 personas en España y fue el primer año en el que han crecido los sueldos.

También puedes comprobar como en Europa  hay países sin apenas inmigrantes, donde no han subido los sueldos, como Portugal (ahora reclama gente para que vayan allí, porque quieren seguir creciendo), o Bulgaria, Rumanía...

Para crecer económicamente se necesita crecimiento poblacional (o ser megaexportador y que crezcan tus compradores), y esto es especialmente importante en un país de servicios como España, donde la mayor parte de la bajada del paro se ha producido gracias al aumento del turismo, que es muy intensivo en mano de obra, que en buena parte de cubre con inmigrantes. Sin ellos ese crecimiento no hubiera existido. ""han bajado desde el comienzo de la crisis y subsecuente salida de inmigrantes, pero subieron en los años anteriores a la crisis"" La tasa de criminalidad es hoy muy inferior a la de hace 30 años cuando empezaron a llegar inmigrantes, en homicidios y en cualquier otro parámetro, supongo que ya no recuerdas como en los años 80 no se podía dejar una radio en el coche y la gente se iba a la disco con el aparato debajo del brazo. "" lo que no puedes negar es que entre los inmigrantes hay proporcionalmete muchos mas delincuentes que entre los autoctonos."" Si, claro, hay un porcentaje de ellos que son gente sin recursos y desesperada, los más pobres.

Lo que no sé es si delinquen por inmigrantes o por pobres,"
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27694625,33,32.0,--95285--,2019-08-28T17:10:02+00:00,1,16,"#32 simplemente nuestra economía no se habría desarrollado y sin natalidad estaría estancada Eso no es necesariamente malo. No creo que en Japon la gente lo esté pasando mal pese a tener la economia estancada muchos años ya.
Y el planeta no es infinito, tambien agradecería menos crecimiento. La mayor subida reciente de sueldos de este país coincidió con la mayor entrada de inmigrantes Exacto, coincidió, pero solo fue eso, coincidencia. Lo que hizo subir los salarios fue la buena marcha de la economia mientras duró la burbuja ladrillera. La llegada de inmigrantes fue la consecuencia y no la causa de esto ultimo, del mismo modo que la crisis fue la causa de la salida de muchos de ellos. Los inmigrantes no son la causa de los bajos sueldos A mayor oferta de un producto (mano de obra) mas barato será este (salarios). Esta ley es de tan inexorable cumplimiento como la ley de la gravedad, creas o no creas en ella. Las tasas de delincuencia no han dejado de bajar con la entrada de inmigrantes. Otra vez lo de correlacion no implica...
Aparte de que eso es rotundamente falso, han bajado desde el comienzo de la crisis y subsecuente salida de inmigrantes, pero subieron en los años anteriores a la crisis.
https://www.dsn.gob.es/es/actualidad/sala-prensa/estad%C3%ADsticas-criminalidad-espa%C3%B1a-2016
Y lo que no puedes negar es que entre los inmigrantes hay proporcionalmete muchos mas delincuentes que entre los autoctonos."
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27690265,32,31.0,powernergia,2019-08-28T07:30:46+00:00,0,10,"#31 No he dicho que haya nada que agradecerles, simplemente nuestra economía no se habría desarrollado y sin natalidad estaría estancada, cómo está la de países que no crecen en población.

La mayor subida reciente de sueldos de este país coincidió con la mayor entrada de inmigrantes a principio de siglo, y las economías europeas con sueldos  bajos no tienen casi inmigración, Portugal, Rumanía, Bulgaria...

Los inmigrantes no son la causa de los bajos sueldos ni de los problemas económicos aunque el discurso populista, Trump, Brexit, Bolsonaro... Se alimente de esa mentira.

Las tasas de delincuencia no han dejado de bajar con la entrada de inmigrantes."
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27689432,31,30.0,--95285--,2019-08-27T23:59:23+00:00,0,9,"#30  Habla por ti, si acaso le limpiarán el culo a la tuya. Y en cualquier caso no hay nada que agradecerles puesto que ya cobran por ello. 
Bueno, sí que hay que agradecerles algunas cosas, entre otras que los sueldos hayan bajado gracias a ellos al estar dispuestos a trabajar por sueldos de miseria, y gracias a los progres que quereis que sigan viniendo para poder sentiros moralmente superiores.

l os que se dedican a delinquir son la inmensa minoría Eso nadie lo discute, pero lo importante es que la proporcion de delincuentes entre cierto tipo de inmigracion, precisamente la que defendeis los progres, es mucho mayor."
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27686087,30,29.0,powernergia,2019-08-27T13:44:42+00:00,0,10,"#29 En realidad la gran mayoría de los inmigrantes están trabajando para ti (si, poniendote cafés, trayendo paquetes o limpiando el culo a tu abuela), y los que se dedican a delinquir son la inmensa minoría.

Pero tú discurso es muy popular y es el engaño que de impone."
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27684704,29,20.0,--95285--,2019-08-27T10:58:17+00:00,0,9,"#20 tienes a decenas de inmigrantes trabajando para ti No soy empresario, no tengo a nadie trabajando para mi.
Y lo que veo son cosas como estas:
https://www.elcorreodemadrid.com/amp/sucesos/372786503/725-detenidos-por-agresiones-hacia-mujeres-en-EspaAa-en-lo-que-va-de-aAo-60-de-ellos-inmigrantes.html?__twitter_impression=true
Y tambien veo a tontainas que creen y quieren hacerme creer que  inmigrantes sin cualificacion y trabajando por 20 € diarios van a sostener la SS con sus cotizaciones, eso suponiendo que coticen, por que los manteros y los gorrillas y los camellos no creo que lo hagan."
inmigracion,https://www.meneame.net/story/espana-necesita-quintuplicar-inmigrantes-sostener-jubilacion,3174697,27683324,28,,gerion_angel,2019-08-27T07:51:32+00:00,1,17,Menuda estafa piramidal!
