tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26101975,46,45.0,KdL,2019-01-09T14:51:50+00:00,0,9,#45 Vendrían miles de millones de emigrantes a robarte tu trabajo... {lol} {lol} Por favor sácate la ESO antes de comentar en MNM o vuelve a Forocoches. {lol}
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26101344,45,33.0,Juliolaguna432342542,2019-01-09T13:37:00+00:00,0,6,"#33 no hay millones de inmigrantes que si les dicen que pueden venir sin ninguna otra excusa, vendrian???? eso es falso?"
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26099414,44,43.0,--542032--,2019-01-09T10:23:47+00:00,0,8,"#43 
{lol} {lol} {lol}"
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26099024,43,42.0,KdL,2019-01-09T09:30:44+00:00,0,9,#42 Eres un racista y lo sabes.
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26098890,42,41.0,--542032--,2019-01-09T09:11:39+00:00,1,1,"#41 
Te has fijado que el único que habla de razas de eres tú? ( cada vez tengo mas claro que el buenísimo/progresismo es una enfermedad mental)."
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26098815,41,40.0,KdL,2019-01-09T09:02:29+00:00,0,9,"#40 esos 52.000 inmigrantes son personas que trabajan y viven en este país en busca de una oportunidad pero los racistas y xenófobos no tenéis capacidad intelectual para entender su situación. El Estado los convierte en ilegales porque no reparten papeles. Hay casos de personas que llevan 10 años en Hispañistán y no han regularizado su situación por culpa de la burocracia.

Había que expulsaros a vosotros y mandaros a Panamá. Españolitos fascistas y racistas... #StopRacismo"
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26098271,40,39.0,--542032--,2019-01-09T07:45:23+00:00,0,8,"#39 
Precisamente esos 52.000 inmigrantes no son refugiados. 
#StopBuenismo"
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26098257,39,38.0,KdL,2019-01-09T07:42:30+00:00,1,8,#38 Yo no quiero traer mano de obra de África. Y tampoco confundo inmigración con refugiados. #StopRacismo #StopXenofobia
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26098156,38,34.0,--542032--,2019-01-09T07:22:51+00:00,0,8,"#34 
Si España te parece poco tecnificada imagínate como son los países de Africa de los que quieres traer mano de obra. {grin} {lol}"
inmigracion,https://www.meneame.net/story/vox-exige-junta-denuncie-ante-policia-inmigrantes-sin-papeles,3065454,26098154,37,36.0,--44380--,2019-01-09T07:21:48+00:00,0,11,"#36 Hombre, imagina si esa sospecha acabase en la expulsión del pais del maltratador... {grin}"
