tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16716360,11,10.0,--300516--,2015-04-22T11:44:05+00:00,0,7,#10 ¿Y? Lo de NO NOS REPRESENTAN no sólo va por los partidos políticos. No es tan difícil de entender. Saludos.
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16715285,10,3.0,--14090--,2015-04-22T09:30:43+00:00,1,17,"#3 Nadie tiene la ""palabra de Dios"" pero algunos pueden pedir la tortura y el asesinato de homosexuales impunemente. En este ejemplo la Editorial Católica pidió la castración y ejecución pública para que sirviese de escarmiento:

http://elpais.com/diario/1998/07/17/sociedad/900626401_850215.html

Tras una denuncia un juez dijo que esto era libertad de expresión. Si hubiese sido al contrario la denuncia habría sido por ""ofensas a los sentimientos religiosos"" y habría habido juicio.

No solo eso. El PP pone multas cada año a la fiesta del orgullo, 160.000 euros el último 

http://ccaa.elpais.com/ccaa/2013/11/18/madrid/1384807481_245471.html

Y con ese dinero subvenciona los innumerables actos de la Iglesia Católica en la que se insulta o se dice a los niños cosas sobre prostitución homosexual (como dijo el obispo de Alcalá) y ellos sí afirman decir ""la palabra de Dios""."
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714537,9,,GeneWilder,2015-04-22T07:32:58+00:00,0,10,TFW? WTF!!!
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714369,8,,zorreame,2015-04-22T06:59:36+00:00,1,17,"La experiencia nos dice que tras estas asociaciones normalmente lo que se esconde es una gran cantidad de homosexuales reprimidos. 

Por muchos motivos, no me extraña que Rajoy las tenga cerca."
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714349,7,,garfield_,2015-04-22T06:56:12+00:00,0,6,"Venga, que alce la mano quien le haya sorprendido un hecho así..."
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714213,6,,--478348--,2015-04-22T06:23:56+00:00,0,8,"El racista de Rajoy no necesita que nadie le asesore en dichos aspectos, solo hay que leer lo que escribía hace años.-"
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714195,5,1.0,El_Cucaracho,2015-04-22T06:19:09+00:00,2,29,#1 Lo suyo sí que no tiene cura {palm}
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714181,4,1.0,TomCollins,2015-04-22T06:14:50+00:00,0,9,#1 {palm}
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714099,3,2.0,--300516--,2015-04-22T05:44:04+00:00,0,7,"#2 Las LGTB, como tantas otras ""asociaciones"" tampoco son Palabra de Dios , ni representan a todos los que ellos dicen defender, visibilizar y tal y tal.
Ni son todos los que se autoproclaman defensores de esto y de lo otro, y de lo más allá, ni están todos los que sí lo harían, y de hecho lo hacen, sin subvención, claro. Se llama la modestia de la normalidad asumida, creo.
Saludos.Y sinceros, no le quepa duda."
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714072,2,,oso_69,2015-04-22T05:28:09+00:00,3,26,"¿Y quién lo va a asesorar si no, la LGTB? Lo normal es que sea alguien afín a su ideología. Cualquier partido se buscará asesores acordes a su modo de pensar."
lgtbi,https://www.meneame.net/story/lobby-provida-contra-derechos-gais-asesora-rajoy-politicas,2395566,16714064,1,,Arc,2015-04-22T05:25:00+00:00,1,29,"Una pincelada para conocer las ideas de este Think Tank: ""La tendencia homosexual ha sido señalada por numerosos estudios psiquiátricos como una alteración de la personalidad, que en numerosos casos ha sido modificada mediante tratamiento"", recoge un estudio universitario tomado como referencia por TFW"
