tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38988947,46,45.0,Toponotomalasuerte,2023-08-05T07:45:41+00:00,0,8,"#45 Buff menuda vaina demagógica de patio de cole estas soltando no?
Te dije que no me importará? Por si no te quedó claro no voy en barco a salvar inmigrantes, lo siento. No soy Robin hood. Mi vida es aburrida, crio a mis hijos, gestiono mis empresas y pago mis impuestos. Pero tengo una cosa que parece que escasea últimamente que se llama ética. No me gusta que la gente muera de hambre, por eso mi casilla en el IRPF va a donde va, adoro vivir en un entorno seguro en el que ir por la calle con mi ropa cara si me da la gana, por eso me aseguro de votar al que se encargue de que a NADIE en mi país le falte lo básico. El la UE, lo mismo. Cuando haya elecciones mundiales, pues haré lo propio. Hasta ahí llega mi poder de acción.
Y me duele toda muerte innecesaria y me despierta odio todo malnacido sin moral al q se la pela. Simple."
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38987229,45,41.0,--548459--,2023-08-04T19:37:38+00:00,0,7,"#41 obviamente, pues te importa más el de tu calle o el del mar, que el que se muere de hambre tierra adentro"
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38987096,44,40.0,Picatoste_de_ajo,2023-08-04T19:09:02+00:00,0,9,#40 Gracias por la puntualización.
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38985435,43,,Procurador,2023-08-04T14:09:37+00:00,0,10,Mentira. PUNTO.
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38984558,42,22.0,ElTraba,2023-08-04T12:13:22+00:00,0,6,"#22 efectivamente, además ACNUR tiene un campo de refugiados en Túnez."
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38984522,41,36.0,Toponotomalasuerte,2023-08-04T12:10:28+00:00,0,8,#36 dije eso?
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38984519,40,37.0,ElTraba,2023-08-04T12:10:07+00:00,0,6,"#37 no entiendo, pero si te refieres ha de donde viene la información de que las mafias llaman a las ONGs, te lo dice openarms mismamente. El último caso donde recogen a los inmigrantes a 40 millas de Túnez y los llevan a puerto en Italia a 400 millas, en lugar de devolverlos a tunez donde ACNUR tiene campos de refugiados.

No sólo las mafias les avisan, es que estamos ya en el punto de que el grueso del viaje lo hacen en las ong, es más común casa vez recogerlos más cerca del puerto de donde han salido.

Las ONGs están colaborando con un delito de trata de personas, ni más, ni menos, y no atacan ni hacen nada a las mafias, que son los verdaderos culpables."
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38984472,39,27.0,ElTraba,2023-08-04T12:04:46+00:00,0,6,"#27 mira, yo no he dicho nada de eso. Si quieres debatir, cíñete a mis palabras, no a lo que crees que digo.

E insisto, las ong están haciendo un flaco favor a nuestros países y están ayudando a las mafias. No me parece correcto, hay que meter mano en esto. Literalmente están ayudando a cometer un delito, y poniendo en riesgo a los inmigrantes."
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38983760,38,,--234798--,2023-08-04T10:35:56+00:00,1,16,"Muy interesante el articulo. No obstante peca de lo mismo que muchos estudios sociológicos, fijarse en los datos y no en la percepción, que es lo más importante. Los migrantes no saben si hay 100 o 1000 operaciones diarias de rescate, o si la mortalidad al cruzar es del 1% o del 5%. Lo que los migrantes sí saben es que sí hay un generoso esfuerzo en rescatar, y que puede que haya mortalidad pero la grandísima mayoría lo consiguen, esa es la percepción. Que las misiones de recate se doblen o se limiten a la mitad en un momento dado no cambia esa percepción, lo que cambia esa percepción es la propaganda en el país de origen, y un cambio MUY MUY cualitativo de la realidad, que se redujese a una decima parte los rescates por ejemplo, o que la mortalidad subiese a un 50%, eso sí cambiaria la percepción y por tanto modificaría el efecto llamada. Las percepciones humanas muchas veces no son lineales."
inmigracion,https://www.meneame.net/story/operaciones-busqueda-rescate-mediterraneo-no-aumentan-intentos,3841871,38983548,37,14.0,Picatoste_de_ajo,2023-08-04T10:03:52+00:00,0,9,"#14 mi pregunta iba para #3, y pido disculpas. El desprecio, sobra."
