tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26157381,93,92.0,CerdoJusticiero,2019-01-17T08:25:25+00:00,0,9,"#92 comerte tu orgullo gay = no ser un gay consecuente

Felicidades, acabas de llegar a mi punto de partida.

De la empanada mental que hay que tener para votar concretamente a estos ladrones pensando que son positivos para la economía hablamos otro día."
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26157202,92,90.0,fernandus_deliciosus,2019-01-17T07:48:16+00:00,0,6,"#90 A ver. La dicotomía consiste en que un gobierno hace algo más que defender al colectivo gay.  Hay un modelo económico que se implanta. Si piensas que el modelo económico liberal es el adecuado y que es más importante que todo el país no vaya de cabeza a la miseria por culpa de la política económica del gobierno de izquierdas, puedes decidir votar a un partido de derechas y comerte tu orgullo gay con patatas en beneficio de la sociedad. Y esa es una magnífica contradicción que nos hace humanos, no seres de luz con una ideología concreta."
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26142135,91,84.0,--599163--,2019-01-15T10:18:36+00:00,0,7,"#84 creo haber leído algún estudio que decía que los gays tenían mayor poder adquisitivo lo cual está relacionado también con ser más conservador.

A ver si la izquierda se tiene por defensora de sus intereses y resulta que hay mayoría en la derecha"
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26141151,90,89.0,CerdoJusticiero,2019-01-15T08:18:57+00:00,0,8,"#89 Claro, mi falsa dicotomía ha consistido en afirmar que entre las dos únicas razones posibles para dejar de votar a un partido (que no te represente al 100% o que no te represente en absoluto) existe una tercera y falaz opción, que es no votarles porque te digan que ser homosexual es una enfermedad o por lo menos el resultado de una infancia traumática.

{shit}"
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26140417,89,85.0,fernandus_deliciosus,2019-01-15T04:35:47+00:00,0,6,#85 Creo que el de la falsa dicotomía eres tú. En fin...
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26139169,88,20.0,Pedro_Bear,2019-01-14T20:22:07+00:00,0,10,#20 muchos tienen lavado el cerebro y están de acuerdo con la segregación de derechos por tradición o motivos religiosos. Explícate apuntarse a un vlub en el que eres ciudadano de segunda o tercera.
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26138021,87,2.0,ochoceros,2019-01-14T17:23:53+00:00,0,10,"#2 Algo de relación habrá entre el PP y los gays, cuando sus dirigentes lo reconocen tan abiertamente {roll}

https://www.levante-emv.com/comunitat-valenciana/2012/04/26/gays-castello-votan-pp-son-duenos-puticlubs-mejores-clientes/900661.html [[ ""Los gays en Castelló votan al PP porque son los dueños de los ""puticlubs"" y nosotros, los mejores clientes"" ]] - Carlos Fabra"
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26137136,86,1.0,--588467--,2019-01-14T15:37:37+00:00,0,6,"#1 Ojo, que no sería de extrañar que fuese verdad. ¿Acaso no has visto la de noticias de republicanos y homófobos en EEUU a los que luego pillan con un rabo en la boca? {lol} {lol} .

Si eres rancio y de derechas tienes posibilidades de ser peletero."
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26136820,85,53.0,CerdoJusticiero,2019-01-14T15:09:02+00:00,0,8,"#53 No hace falta 100% consecuente, basta con tener un mínimo de dignidad para no militar en un partido que te insulta y que manda a un homófobo al Congreso a explicar que los homosexuales son hijos de familias desestructuradas y tal.

Para hablar sobre tener criterio propio bien rápido que te lanzas a emplear la falacia de la falsa dicotomía o a divagar sobre seres de luz y verdades absolutas. {roll}"
lgtbi,https://www.meneame.net/story/maroto-hay-mas-gais-nuevas-generaciones-pp-todas-asociaciones,3067881,26136519,84,76.0,EuropeoDespierto,2019-01-14T14:42:14+00:00,0,7,"#76 pero que el 70% sean gays, eso es la mayoría, no es mucho?"
