tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27602719,115,104.0,--481613--,2019-08-14T07:22:59+00:00,0,9,"#104 LOL, estudia algo de Historia y luego seguimos hablando."
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27591533,114,111.0,Pérfido,2019-08-12T14:35:55+00:00,0,7,#111 genial.
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27589789,113,51.0,apetor,2019-08-12T10:54:11+00:00,0,7,"#51 Claaro, las banderitas amarillas son tambien de la ultraderecha {shit}"
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27589032,112,77.0,--616500--,2019-08-12T08:55:49+00:00,0,6,#77 Le están haciendo una zanja tipo foso con cocodrilos para que no le invadan su casa los mismos que la hacen por una miseria.
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27589009,111,110.0,--616500--,2019-08-12T08:52:31+00:00,0,6,"#110 en pateras solo vienen musulmanes y en Birmingham no hay mas que musulmanes. Vale, no te preocupes que yo soy tan racista que odio hasta los blancos."
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27584066,110,109.0,Pérfido,2019-08-11T09:36:10+00:00,0,6,"#109 en un meneo sobre pateras, y respondiendo a un hilo que bromeaba con Birmingham, sí estamos hablando de musulmanes. Tienes que aprender a analizar el contexto de las conversaciones. 
Y no te preocupes que a mí me molesta cualquiera que se meta en mi casa sin ser invitado, independientemente de su sexo, procedencia, o religión. Se llama coherencia."
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27583798,109,59.0,--616500--,2019-08-11T08:39:48+00:00,0,6,#59 Ay! mira que pensar que sólo vienen de una religión.... o son esos los únicos que te molestan?
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27583579,108,91.0,Ma_Rogon,2019-08-11T07:51:34+00:00,0,6,"#91 mis dies, no lo podría expresar ni mejor ni mas conciso. {take}"
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27583012,107,3.0,ninfireblade,2019-08-10T23:48:23+00:00,1,13,#3 ¿ Quieres decir entonces que el mensaje de VOX de que hay que regular la inmigración era algo acertado ? Vaya que chorprecha
inmigracion,https://www.meneame.net/story/tres-graficos-entender-donde-vienen-pateras-provincias-llegan,3168070,27581517,106,105.0,--587910--,2019-08-10T17:38:17+00:00,1,12,"#105 Sí, claro. Un volumen de indocumentados superior a la población de toda la provincia de Soria no es para preocuparse... {palm}"
