tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38294893,12,,--745727--,2023-04-29T11:39:08+00:00,1,18,Cuando gobierne Vox con la PPsunia nos llevaremos las manos a la cabeza. La gente está hasta los cojones de este tema
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38294879,11,5.0,Guanarteme,2023-04-29T11:36:58+00:00,0,19,"#5 Si te crees que a nivel internacional importa algo las siglas del que esté en la Moncloa, perdona que te diga, pero no te enteras de nada. 

Solo una palabra: Perejil."
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38294613,10,,endy,2023-04-29T10:47:48+00:00,1,16,Enhorabuena a las mafias
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38294434,9,,--731452--,2023-04-29T10:25:27+00:00,0,8,Pues a ver qué futuro de mierda les espera en España... espero que tengan suertte.
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38294296,8,7.0,Grahml,2023-04-29T10:06:40+00:00,0,18,"#7 No soy yo quien deba decir si soy racista o no.

Eso seguramente lo podrán confirmar otros.

Pero sí te digo que me han llamado moro. Precisamente gente no española, que es lo más curioso de todo.

Eso sí, dependiendo de la latitud, también me llaman blanco, rubio, etc.

Lo que quiero decir en #4 , es que no todo es según como nosotros creemos dentro de nuestros estándares estereotipados."
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38294234,7,4.0,--680729--,2023-04-29T09:56:21+00:00,0,11,"#4 Tú no eres racista, porque seguro que tienes un amigo moro."
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38294034,6,,--693395--,2023-04-29T09:26:54+00:00,0,8,"Marruecos está invadiendo pacíficamente España y como tiene el PSOE a sueldo y en nomina, le funciona.

La Marcha Verde 2"
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38293915,5,2.0,Grahml,2023-04-29T09:10:38+00:00,1,27,"#2 De ""fenómeno"" nada.

Los marroquíes tienen a Sánchez agarrado de los huevos Los investigadores europeos del espionaje de Pegasus consideran ""plausible"" que Marruecos espiara a Sánchez https://www.epe.es/es/politica/20230321/investigacion-europea-espionaje-pegasus-84951851

Y se están aprovechando de esa situación hasta alcanzar la humillación a España."
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38293862,4,1.0,Grahml,2023-04-29T09:00:10+00:00,0,18,"#1 Suena a coña, sí.

Pero mejor sería no extrañarnos de los planes que puedan tener las sociedades  países vecinos con gobiernos básicamente dictatoriales.

Recordando la fecha cuando Marruecos lanzó al mar a cientos de menores (17 de mayo, 2021)

https://www.eldiario.es/desalambre/personas-entran-ceuta-nado-marruecos_1_7941768.html

Y la finalización del Ramadán ese mismo año (imagen  {0x1f447} ), simplemente todo cuadra.

Ni que decir que el agua está menos fría. Condicionante que te da mayores probabilidades de llegar vivo al destino...


Otro detalle, en el caso de menores, puede ser la misma familia quién les fuerce a salir. 

Sin duda, desde nuestro lado, hay cosas difíciles de explicar, pero que desde el otro lado igual son muy fáciles de entender."
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38293807,3,1.0,Guanarteme,2023-04-29T08:51:22+00:00,1,28,"#1 Buen tiempo se refiere que el mar esta tranquilo y en ramadán en Marruecos todo anda muy parado, más que nada porque la gente va zombi con el ayuno y la sed."
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38293803,2,,Guanarteme,2023-04-29T08:50:25+00:00,2,34,"Da igual lo que les cedamos, Marruecos es una bestia insaciable, siempre nos va a pedir más, más y más.

¿Por qué? Porque puede permitírselo, para eso es el niño bonito de los EEUU en África y nos chantajea poniendo en riesgo vidas humanas que les importan una mierda. 

Si fuéramos un país soberano, iríamos a Washington a dar un puñetazo en la mesa del Despacho Oval y a decirle a Biden: ""controla a tu perro y átalo, si no te largas de las bases de Rota y de Morón, se las alquilo a Putin y con el Sáhara donde dije digo, digo Diego"". 

Pero como somos un protectorado, tenemos que aceptar que Marruecos es ""más guay"" que nosotros para el líder de la pandilla y si nos vacila pues encima hay que poner buena cara. 

Luego me dicen que si soy ""antiestadounidense"".... ¿Con este tipo de fenómenos, cómo no iba a serlo?"
inmigracion,https://www.meneame.net/story/casi-900-inmigrantes-han-llegado-islas-10-dias,3807675,38293795,1,,--680729--,2023-04-29T08:49:03+00:00,0,11,"¿Buen tiempo? ¿En serio? ¿Y cuando estemos a 60º?
¿El ramadán? ¿Gente que huye dejando atras su casa, su familia, su tierra, su patria?
¿Lo hacen por el ramadán y el buen tiempo?"
