tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20553169,349,348.0,UlisesRey,2016-10-20T19:38:22+00:00,0,10,#348 Lo decía en serio.
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20551845,348,347.0,--493969--,2016-10-20T15:38:58+00:00,0,9,"#347 Veo que me estás vacilando, y mi tiempo es demasiado valioso, así que adiós."
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20550814,347,346.0,UlisesRey,2016-10-20T13:21:02+00:00,0,10,#346 Tienes alguna prueba?
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20550587,346,345.0,--493969--,2016-10-20T12:56:40+00:00,1,18,#345 En suecia hay barrios enteros en los que la policía no se atreve a entrar debido a la criminalidad descontrolada de pandillas de musulmanes.
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20547373,345,344.0,UlisesRey,2016-10-20T06:32:33+00:00,0,10,"#344 No se soluciona todo. Ni tampoco se hace con violencia. Pero sí, las cosas mejoran. 

Algunos modelos de estados más sociales son Suecia."
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20546553,344,343.0,--493969--,2016-10-19T21:32:34+00:00,0,9,"#343 Dar a entender que mejorando la calidad de la educación y ""reduciendo las desigualdades"" (imagino que a base de usar la violencia del Estado para mover el dinero de unos bolsillos a otros) todo se soluciona mágicamente es crear falsas expectativas y propagar información falsa, ya que son cosas que ya se han intentado durante décadas y no han dado sus frutos.

En usa por ejemplo, un montón de programas gubernamentales gastados en ciertos colectivos que han resultado ser un pozo sin fondo {shame}"
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20546458,343,342.0,UlisesRey,2016-10-19T21:13:35+00:00,0,10,#342 Qué información falsa se ha propagado?
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20546319,342,341.0,--493969--,2016-10-19T20:41:02+00:00,0,9,"#341 https://es.wikipedia.org/wiki/The_Bell_Curve
Actualmente hasta hay datos de genética de por medio que varía entre poblaciones, pero no me extenderé. Sólo remarco lo triste que me parece que se propague información falsa o incompleta, sin ser conocedor del tema y por meros motivos ideológicos."
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20546216,341,326.0,UlisesRey,2016-10-19T20:19:46+00:00,0,10,#326 Solo hay correlación.
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20545808,340,,Sucnor,2016-10-19T18:58:55+00:00,0,6,Son sus costumbres y hay que respetarlas
inmigracion,https://www.meneame.net/story/violan-interprete-cerca-campo-migrantes-calais,2686302,20545602,339,338.0,Rarepepelarana,2016-10-19T18:17:31+00:00,0,10,"#338 Que el mundo sea global no es bueno: ha servido para propulsar a las oligarquías americanas y extender su propaganda globalmente: ellos son los artífices de las guerras que provocan migraciones y asesinatos masivos con sus guerras, y la propaganda global les aplaude. El imperio USA y Clinton promueven y quieren crear migración para aumentar el número de trabajadores baratos en Europa, y facilitar el acceso al petróleo y al gas a las empresas OTAN. Esto es la doctrina del globalismo y lo que crea."
