tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37778271,23,17.0,--716598--,2023-02-12T22:42:05+00:00,0,9,#17 Ssshhhh. Que a alguno le puede explotar la cabeza!
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37778256,22,10.0,--716598--,2023-02-12T22:40:17+00:00,0,9,#10 Mencionar gueto es clarividente.
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37777197,21,,manbobi,2023-02-12T19:44:08+00:00,1,28,"Entre el 1 de enero y el 30 de septiembre de 2021, España ha reconocido como refugiados a 482 sirios. En 2022, 1297."
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37777044,20,19.0,Veelicus,2023-02-12T19:16:11+00:00,1,22,#19 ojala pueda volver y vivir en paz
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37776775,19,9.0,n1kon3500,2023-02-12T18:20:29+00:00,0,8,#9 está tarde he hablado con uno de Zaporizhia de donde la central nuclear y el decía que quería volver. Que estaba cansado de vivir fuera
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37776754,18,16.0,carakola,2023-02-12T18:15:31+00:00,1,32,"#16 Es un tema más político y de intereses que cultural, es una guerra que estamos financiando nosotros y acogemos a gente del país al que apoyamos."
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37776744,17,14.0,LázaroCodesal,2023-02-12T18:14:00+00:00,3,44,#14 Y Rusia otros millón y medio de refugiados.
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37776699,16,1.0,lib_free,2023-02-12T18:08:17+00:00,1,12,"#1 Es normal que se priorice el darle refugio a personas que vienen de países con culturas similares a la nuestra que son capaces de adaptarse, trabajar y aportar al país que les acoje.
La mayoría de refugiados Ucranianos están en Polonia por razones lógicas, al ser un país que hace frontera con la UE y es logico que haya más que de países que están en otros continentes."
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37776660,15,14.0,--727038--,2023-02-12T18:00:19+00:00,1,14,"#14 prefiero ucranianos a otros, Creo que españa tiene sitio de sobra, eso si qué la UE mande dinero para que se integren"
inmigracion,https://www.meneame.net/story/espana-alcanza-166-000-protecciones-temporales-refugiados,3780088,37776650,14,,--699934--,2023-02-12T17:56:58+00:00,0,8,"""Polonia ha recibido hasta ahora más de 1,5 millones de refugiados ucranianos, España solo 160.000. Esto no puede continuar, los refugiados deberían distribuirse mejor en Europa"" - Ministro del Interior alemán Faeser.

https://twitter.com/AZgeopolitics/status/1624702627672911878?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1624702627672911878%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url="
