tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599812,10,,Nandete,2019-03-17T17:27:18+00:00,0,10,"Regalo a PDR, veremos que pasa tras las elecciones del 28A"
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599255,9,,urannio,2019-03-17T15:50:04+00:00,0,7,"al estirpe del nefasto Fernando VII borboneando como siempre, ni el gobierno ni el congreso ni las administraciones tienen poco que decir"
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599243,8,2.0,--533341--,2019-03-17T15:47:34+00:00,0,8,#2 Te votaría positivo tres veces si pudiera
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599164,7,,Moteplass,2019-03-17T15:31:53+00:00,0,8,Que hariamos sin los reyes? Oh!
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599053,6,,EuropeoDespierto,2019-03-17T15:10:33+00:00,1,15,"Nunca hay que hablar del fenómeno de la inmigración masiva, sino de la política de inmigración masiva."
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599048,5,,Bernard,2019-03-17T15:09:25+00:00,12,137,Bruselas libera 140 millones a Marruecos para controlar sus fronteras sin hablar de derechos humanos y tras dos polémicos acuerdos comerciales Igual esto tuvo algo que ver.
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599043,4,,--541554--,2019-03-17T15:08:53+00:00,0,14,"el rey de Marruecos es el capo de la mafia 
trafica con hachis y con personas
y aun hay que obsequiarle con parabienes"
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599026,3,,Charles_Dexter_Ward,2019-03-17T15:04:04+00:00,1,30,+periodismo.
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26599000,2,,digira,2019-03-17T14:57:38+00:00,2,20,"Pobres inmigrantes, a palos con ellos.

En la próxima vida, los reyes serán inmigrantes."
inmigracion,https://www.meneame.net/story/regalo-mohamed-vi-felipe-vi-cae-picado-inmigracion-irregular,3098673,26598978,1,,--584079--,2019-03-17T14:52:13+00:00,5,50,¿ Regalo ? Eso lo hemos pagado todos con euros.
