tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27943166,130,125.0,KLKManin,2019-10-03T21:57:24+00:00,1,19,"#125 Ya se dan millones de dólares a África, sobretodo EEUU, China y Europa. Sería discutible si son útiles o acaban enquistado los problemas.
https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.eleconomista.es/economia/amp/9387664/La-Ayuda-al-Desarrollo-salvamento-o-condena-para-Africa&ved=2ahUKEwjo3qqMiYHlAhXr8OAKHW05Bt8QFjACegQIBBAB&usg=AOvVaw3kjMLNgzEm3drsXYh-9SIm&cf=1"
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27942311,129,78.0,Tumbadito,2019-10-03T19:25:05+00:00,0,10,"#78 Bueno, veamos. Vos podés comprar en Carrefour Langostinos argentinos cocidos N° 2 más baratos de lo que se venden en Argentina. Eso es comida que no llega a la mesa en su tierra. 

La mayor parte de lo que pescan no se declara. Esos son ingresos que no entran en su país de origen. 

Todo muy normal. Lo mismo pasa con los limones y manzanas y varios productos más."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27942300,128,96.0,Tumbadito,2019-10-03T19:22:34+00:00,0,10,"#96 No se van a hacer ricos. Tendrán sus recursos para vivir o vender. 

Pero bueno, el europeo acepta la exploración por su beneficio"
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27942291,127,112.0,Tumbadito,2019-10-03T19:21:45+00:00,0,10,#112 Pero siguen sin tener recursos naturales (creo que fui claro cuando lo dije) y los obtienen explotando en otros países.
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27941771,126,124.0,geburah,2019-10-03T17:37:36+00:00,0,6,#124 cierto!
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27941527,125,116.0,Trigonometrico,2019-10-03T16:52:12+00:00,0,11,"#116  Lo que me parece mal es que, Europa no haga inversiones en África para mejorar la economía en esos países y así desincentivar que la gente de allí se vea obligada a huir hacia Europa."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27941457,124,123.0,Carlos_Pascual_Rebollo,2019-10-03T16:38:07+00:00,1,24,"#123 en #21 he dado una lista de razones por las que yo creo que si es una campaña de marketing. 

En cualquier caso puede ser perfectamente una campaña de marketing con fines benéficos, son cosas que no están reñidas."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27941081,123,122.0,geburah,2019-10-03T15:36:52+00:00,0,6,"#122 Amancio Ortega es extremadamente rico.  Bansky no.

Amancio podría, si se lo propusiera, cambiar algunas cosas o influir mucho en mejorar la sociedad, con su fortuna, influencia y control del mercado de la industria en la que se mueve.

Bansky es un pelagatos en comparación,  que hace arte y que puede influir a los que siguen su trabajo. 

Lo de Amancio es una limosna de cara a la galería, marketing para lavar su imagen.  Lo de Bansky, a menos que alguien me lo demuestre, me parece un gesto genuino. El mensaje de su obra siempre ha ido en ese mismo sentido, es coherente con su pasado y presente."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27941027,122,120.0,Carlos_Pascual_Rebollo,2019-10-03T15:28:56+00:00,1,24,"#120 entonces si podemos calificar de marketing lo de Amancio sin ser mezquinos ? 

Cual es la diferencia ?"
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27940996,121,,geburah,2019-10-03T15:25:40+00:00,0,6,"Que hastió, verdad? Con lo mono que estaba haciendo obras de arte raras y ahora va y se mete en temas que molestan a ciertas opiniones... con lo majo que estaba calladito!"
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27940961,120,11.0,geburah,2019-10-03T15:20:33+00:00,0,6,"#11 No, Bansky y Amancio Ortega no son comparables."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27940765,119,,howareme,2019-10-03T14:56:27+00:00,0,6,"Si no es por subir el valor de sus obras y con toda su buena intención, buena iniciativa.

Sin embargo eso no cambia que impulsar la inmigración ilegal supone un golpe para nuestro país. Por lo que en caso de realizarlo, le impondría multas en función de un porcentaje de sus ingresos.

Es muy bonito ayudar con toda tu buena intención, pero puedes hacer daño sin quererlo (o queriendo) y ahora mismo parece que nuestro gobierno no sabe cómo gestionar la crisis de inmigración. Algo que ya, entrando en terreno donde no tengo mucho  conocimiento, se me hace raro puesto a que somos un país que vive del turismo, explotación agrícola... vamos, trabajo poco cualificado. Se podrían hacer campos de cultivo y similares donde poder ofrecerles un trabajo sería una victoria para todos."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27940062,118,115.0,mettro,2019-10-03T13:27:16+00:00,0,6,"#115 Sí, y esa es la trampa. Tu puedes tener 900€ y yo 100€ e ir 90-10 y en cinco años tener tu 9500€ y yo 500€ e iríamos 95-5 pero ambos habríamos aumentado la riqueza viviendo los dos mucho mejor."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27939803,117,13.0,--62195--,2019-10-03T12:58:05+00:00,0,10,#13 lo cortés no quita lo valiente
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27939764,116,90.0,KLKManin,2019-10-03T12:53:51+00:00,0,7,#90 ¿Y eso te parece bueno?
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27939693,115,114.0,tnt80,2019-10-03T12:47:12+00:00,0,10,"#114 En esos datos (Que son del Credit Suisse, y la elaboración de Oxfam) se habla del porcentaje sobre la riqueza global, no la cuantía específica de dinero, con lo que sí supone que si unos tienen más, los demás han de tener menos."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27939109,114,92.0,mettro,2019-10-03T11:51:16+00:00,0,6,"#92 no es ninguna barbaridad, la riqueza no es estática y el hecho de que haya gente que tenga más dinero no significa que el resto tenga menos. Eldiario..."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27938975,113,93.0,marioquartz,2019-10-03T11:35:37+00:00,1,0,#93 Cuantos mas barcos menos viajan. Esa es la realidad. Lo demás: tus mentiras.
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27938209,112,65.0,BananaAnanda,2019-10-03T10:25:11+00:00,0,6,"#65 En Europa se aporta valor añadido procesando los materiales. La educación y la investigación tecnológica se pagan (no cobra igual un ingeniero que un reponedor).  
Otra cosa es que se adquieran los materiales a precios injustos (con el beneplácito del dictadorcillo nativo de turno). Hay mucho que mejorar, pero tampoco nos flagelemos como si Occidente fuera Satán, no cuela."
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27938034,111,,NapalMe,2019-10-03T10:05:06+00:00,0,6,"La gente sigue confundiendo salvar náufragos con la elección de donde desembarcarlos. Son temas muy distintos y creo que casi nadie está de acuerdo con dejarles morir en el mar, así que sacar el tema del rescate cuando se quiere hablar del desembarco, me parece demagogia de mal gusto.

Por cierto, ¿ha dicho Bansky donde piensa desembarcarlos? A ver si mucha gente que ahora está de acuerdo, realmente no lo está... 
¿Que opinaríais de el si digiera que va a rescatarlos del mar, pero que van directos a libia?"
inmigracion,https://www.meneame.net/story/banksy-vende-parte-obras-comprar-barco-rescate-inmigrantes,3190996,27937836,110,107.0,--42429--,2019-10-03T09:41:15+00:00,0,12,#107 ¿Tener zoofilia?
