tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27930168,21,,vicus.,2019-10-02T09:29:14+00:00,0,16,Lo del foso con caimanes y serpientes esta total.. A ver cuanto tarda VOX en copiar la medida o las medidas del foso. Yo creo que como los caimanes no son españoles pondrán toros de Miura..
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27929320,20,19.0,ipanies,2019-10-02T07:48:07+00:00,1,26,"#19 Has entendido mal, lo siento. 
Se puede criticar a Trump y a la vez reconocer que en Europa somos igual o mas de salvajes."
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27929294,19,17.0,Hoypuedeserungrandia,2019-10-02T07:44:49+00:00,0,7,"#17  #12 Entiendo que como aquí, en Europa y se hacen verdaderas barbaridades con los que intentan de un modo u otro entrar, nos parece que también Zanahorio esta en su derecho de hacer lo propio.¡ Joder, que ganado!"
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27929066,18,15.0,EuropeoDespierto,2019-10-02T07:16:34+00:00,0,6,"#15 siiii, claro, trump es rassssssssista"
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928722,17,12.0,ipanies,2019-10-02T06:16:55+00:00,1,26,"#12 Y enseñarle como funcionan las concertinas que también son muy eficaces en el tema mutilaciones. Lo que no se puede es disparar que eso es pro activo, si pones cosas que hacen pupa y son ellos los que se abalanzan sobre ellas es SU problema {troll}
Por no hablar de lo de dejar que se ahoguen en el Mediterráneo para no provocar un ""efecto llamada""..."
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928706,16,7.0,--441703--,2019-10-02T06:14:29+00:00,0,14,"#7 Hombre, no TODAS las noticias del NYTimes son falsas {lol}   pero ésta parece un poco ""endeble"", en mi opinión."
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928703,15,13.0,--621389--,2019-10-02T06:13:45+00:00,1,21,#13 Te recuerdo que para un zanahorio estadounidense tú eres una raza inferior...
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928690,14,,--621389--,2019-10-02T06:11:32+00:00,0,11,Y rematarlos en el suelo
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928662,13,,EuropeoDespierto,2019-10-02T06:06:02+00:00,0,6,"Será un fake de libro, como todo lo que sale de Trump y la derecha populista en general. Lo que desde hay que hacer es algo para parar la invasión continúa que viene de México"
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928639,12,1.0,--516568--,2019-10-02T06:00:01+00:00,1,26,#1 #2  Aquí ahogamos a pelotazos a los que se acercan a nado. Podríamos darle alguna lección.
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928629,11,10.0,ipanies,2019-10-02T05:58:09+00:00,1,19,"#10 No que algunos admiradores de estas derechas me han confirmado que hemos ""sio"" engañados otra vez por un Mass Mierda como en NYT así que yo ya no espero na."
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928609,10,1.0,--615664--,2019-10-02T05:54:31+00:00,1,19,#1 Deberían hacerlo pero coloco la silla al lado de la tuya. Siempre podemos marcarnos un mus si se apuntan un par mas mientras esperamos.
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928602,9,,--193513--,2019-10-02T05:53:25+00:00,0,10,Huele a falso
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928598,8,5.0,ipanies,2019-10-02T05:52:44+00:00,0,12,#5 Me siento sucio y violado por el NYT... Me voy a duchar.
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928594,7,3.0,--349396--,2019-10-02T05:52:10+00:00,0,12,"#3 Pues es el mismo que publicó lo del presidente ucraniano, no sé quién es más de fiar."
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928581,6,,--349396--,2019-10-02T05:50:21+00:00,0,12,"Trump? Ese próximo premio Nobel? Qué Bah! No puede ser!

{shit}"
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928556,5,1.0,--441703--,2019-10-02T05:44:13+00:00,1,17,"#1 ¿Qué propuesta salvaje? No he visto yo ninguna propuesta oficial,  que genere la lógica repulsa oficial internacional. 
Si te refieres a esta fake news,  te informo que has sido engañado,  utilizado."
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928553,4,,gelatti,2019-10-02T05:42:42+00:00,1,31,"A sus antepasados parece que no les hicieron lo mismo, también fueron emigrantes..."
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928547,3,,--441703--,2019-10-02T05:41:33+00:00,1,26,"Pues no me lo creo. Y viendo que son ""decenas de fuentes anónimas"" de donde sale el relato del NYTimes,  ya veo de qué se trata. 
Así se crean las fakes news,  exactamente así."
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928531,2,,Hoypuedeserungrandia,2019-10-02T05:36:38+00:00,1,26,"Este hombre, zanahorio, esta muy mal de la cabeza. Si esto es cierto , ¿no seria delito?"
inmigracion,https://www.meneame.net/story/trump-propuso-disparar-piernas-inmigrantes-llegaran-mexico,3190952,27928525,1,,ipanies,2019-10-02T05:35:55+00:00,5,79,Esperando condena internacional por esta propuesta salvaje... Tranquilos que estoy sentado.
