numero_comentario,usuario,fecha_comentario,texto,votos,karma,responde_a
c-2,Robus,2026-07-16 10:23:48,Queda claro que para esta gente es más importante la propaganda que la salud. Si los votas eres complice.,6,84,
c-1,ingenierodepalillos,2026-07-16 10:18:51,"Qué mala baba, si les quitamos los pocos medios que tienen a los que peor están, no les quedará más remedio que delinquir. Como de los que peor están, la mayoría son de fuera, nuestras flamantes e inservibles estadísticas venderán mejor nuestro libro. Que alguien me corrija, porque no le veo otra lectura posible.",2,31,
c-5,reivaj01,2026-07-16 10:36:16,"#1 No te quito la razón, que te la otorgo al 100%, pero añado que ese dinero que se entrega a la Cruz Roja, se queda en los despachos y no creo que llegue un sólo euro a las personas, así que no afectará mucho.",0,0,c-1
c-8,ingenierodepalillos,2026-07-16 11:13:22,"#5 No conozco los despachos, he visto trabajadores de la Cruz Roja parchear de manera impecable la pobreza para que no nos estalle en la cara.",1,21,c-5
c-10,reivaj01,2026-07-16 11:32:44,"#8 No es un ataque personal a la Cruz Roja, es a todas las ONG's mastodónticas que tienen unas estructuras tan enormes que diluyen las ayudas en la propia organización. Además si buscas casos de corrupción, encontrarás un montón, y, de nuevo, no solo en Cruz Roja, ocurre en todas las grandes. Respecto a los trabajadores de base o a los voluntarios, me parecen gente admirable y luchan, como pueden, con los escasos medios de que disponen. Yo, desde hace años, sólo hago donaciones monetarias a proyectos concretos de asociaciones, fundaciones u ONGs pequeñas o en especie a bancos de alimentos y similares. Me jode coincidir con la ultraderecha en su campaña de descrédito a las ONGs, pero he visto muchas cosas.",1,22,c-8
c-13,ingenierodepalillos,2026-07-16 14:33:11,"#10 Como le digo, no conozco los detalles de los despachos de la Cruz Roja en concreto, comprendo perfectamente lo que dice y coincido plenamente ello. Por eso me limité a destacar su labor, independientemente de su estructura, porque en realidad a lo que está atacando la derecha, en este caso, es a sus resultados con toda la mala intención posible y me atrevo a presumir que para montar su propio chiringuito de estudios estadísticos que no retribuya de ninguna manera en la sociedad, a diferencia de la Cruz Roja, que al menos aparentemente tiene un cometido loable.",0,0,c-10
c-6,plutanasio,2026-07-16 11:05:52,Y por eso hace una década que dejé de colaborar con cruz roja,1,21,
c-3,tierramar,2026-07-16 10:27:53,"No vaya a ser qu se descubra que toda la inmigración latinoamericana que PP y VOX han traido a Valencia, Madrid, a España, para sustituir a los votantes que pierden;  esten haciendo que aumente la delincuencia. Vean todos los chiringuitos que el PP ha creado para  atraer y traer  inmigrantes latinos. En concreto en Valencia: 2025 Valencia Ante la perdida de votos por la DANA: PP (con apoyo de Vox) de la Comunidad de Valencia ha inventado un nuevo puesto en su estructura. Se trata de la … » ver todo el comentario",0,0,
c-7,zuppo,2026-07-16 11:09:52,"#3 Pero esos son enchufes buenos, no como el del hermanísimo",0,0,c-3
c-4,chavi,2026-07-16 10:33:16,"Lo previsto, vamos. La mayoría de los valencianos ven bien estas cosas.",0,0,
c-9,LunaTiko,2026-07-16 11:15:18,No hacen falta estudios para saber que la inmigración ha aumentado la violencia y los delitos... de la extrema derecha y sus cachorros.,0,0,
c-11,anthk,2026-07-16 13:45:27,"Los peores inmigrantes han traido tanto el peor umpen de bandas como los peores votos para la ultraderecha. En el fondo joden a España por igual y son los responsables de tercermundizar España cada uno a su manera. Amén de antros evangélicos y gente con nulo respeto al silencio en el transporte público, sea desde gente tocando los cojones tocando de manera ilegal impidiendo a los ciegos reconocer estaciones como ocupar pasillos enteros en Madrid;  como el tener casoplones y arruinar la… » ver todo el comentario",0,0,
c-12,anthk,2026-07-16 13:51:16,"Y una vez expulsados tanto las bandas como los nuevos ricos arruinando los valores públicos cierto partido pediría escoltas porque a la Quironesa le faltaría M30 para correr. Se metería su hispanidad por el culo y exigiría desde un certificado de penales a la expulsión de especuladores con dinero negro de mafias y cárteles y delincuentes varios 'menores' de bandas. El que venga a trabajar sin joder, adentro. El resto iba a ir fino. Y los políticos cobrando sobres por estas mafias a la trena de… » ver todo el comentario",0,0,
