Comunidades autónomas,Tipología penal,Ámbito,Calificación,periodo,Total
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2024,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2023,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2022,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2021,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2020,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2019,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2018,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2017,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2016,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2015,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. PENALES,2014,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2024,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2023,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2022,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2021,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2020,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2019,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2018,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2017,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2016,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2015,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2014,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2024,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2023,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2022,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2021,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2020,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2019,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2018,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2017,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2016,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2015,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTIGITANISMO,TOTAL calificación,2014,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTISEMITISMO,INFRACC. PENALES,2024,0.0
TOTAL NACIONAL,ABANDONO FAMILIA,ANTISEMITISMO,INFRACC. PENALES,2023,0.0
