tema,anio_objetivo,id_hilo,titulo_hilo,url_hilo,paginas,comentarios_anuales,usuarios,comentarios_con_cita,textos_propios_vacios,fecha_minima,fecha_maxima
inmigracion,2015,4343322,Récord de saltos en la valla de Ceuta y Melilla en 2014,https://forocoches.com/foro/showthread.php?t=4343322,1,2,1,0,0,2015-05-29 21:01:00,2015-05-29 21:26:00
inmigracion,2015,4508934,Reflexión sobre inmigración y política (TEMA SERIO),https://forocoches.com/foro/showthread.php?t=4508934,1,5,4,0,0,2015-09-04 16:44:00,2015-09-06 04:05:00
inmigracion,2015,4514261,El problema que hemos creado,https://forocoches.com/foro/showthread.php?t=4514261,3,77,42,33,4,2015-09-07 20:38:00,2015-12-06 23:36:00
inmigracion,2016,4730394,Un asunto delicado el tema INMIGRACIÓN y delincuencia. ¿Qué eliges?,https://forocoches.com/foro/showthread.php?t=4730394,1,9,8,2,0,2016-01-07 10:01:00,2016-01-08 20:42:00
inmigracion,2016,4840201,"Refugees vienen, ven que España está hecho mierdas y se van desengañados...",https://forocoches.com/foro/showthread.php?t=4840201,7,183,149,71,3,2016-03-14 13:24:00,2016-03-14 21:47:00
inmigracion,2016,4930389,"Según El Jueves Europa se llena de peligrosos nancys, uh qué miedito...",https://forocoches.com/foro/showthread.php?t=4930389,2,52,34,24,2,2016-05-10 19:26:00,2016-05-10 23:58:00
inmigracion,2019,7092240,🔊 ALERTA anti-INMIGRACIÓN ILEGAL ❗+TemaSerio,https://forocoches.com/foro/showthread.php?t=7092240,3,62,41,29,0,2019-04-03 01:17:00,2019-04-08 13:52:00
inmigracion,2019,7281127,Descubierta la mentira de las pateras +Mafia +Soros,https://forocoches.com/foro/showthread.php?t=7281127,5,121,107,43,1,2019-07-02 15:47:00,2019-07-04 11:32:00
inmigracion,2019,7602070,"Los EXTRANJEROS APORTAN el 10 % a la Seguridad Social y SOLO RECIBEN el 0,9 %",https://forocoches.com/foro/showthread.php?t=7602070,8,225,210,69,4,2019-12-16 23:40:00,2019-12-17 14:45:00
inmigracion,2023,9541304,Estoy a favor de la inmigración ilegal,https://forocoches.com/foro/showthread.php?t=9541304,11,302,207,164,2,2023-05-12 23:26:00,2023-05-14 23:59:00
inmigracion,2023,9572133,Uno de los problemas del precio de la vivienda ES LA INMIGRACIÓN,https://forocoches.com/foro/showthread.php?t=9572133,2,60,41,30,1,2023-06-08 00:40:00,2023-06-08 02:03:00
inmigracion,2023,9735179,Duda inmigración ilegal,https://forocoches.com/foro/showthread.php?t=9735179,1,6,6,1,0,2023-10-27 19:40:00,2023-10-27 19:59:00
lgtbi,2015,4323181,It's a Trap!!!!: Cuando ella es él y él es ella,https://forocoches.com/foro/showthread.php?t=4323181,2,42,39,11,7,2015-05-20 10:17:00,2015-05-20 11:53:00
lgtbi,2015,4677567,Un hombre de 52 años se transforma en una niña de seis,https://forocoches.com/foro/showthread.php?t=4677567,21,602,529,132,90,2015-12-11 16:00:00,2015-12-19 00:48:00
lgtbi,2016,4784732,Nueva agresión homófoba en la capital,https://forocoches.com/foro/showthread.php?t=4784732,1,9,8,2,1,2016-02-07 20:58:00,2016-02-07 22:33:00
lgtbi,2016,4900779,La que me han liado por decir que los mariquitas no son normales,https://forocoches.com/foro/showthread.php?t=4900779,3,75,57,32,4,2016-04-21 16:16:00,2016-04-21 19:49:00
lgtbi,2016,4932029,Árbitro deja el arbitraje por recibir continuos insultos homofobos.,https://forocoches.com/foro/showthread.php?t=4932029,4,99,80,39,2,2016-05-11 19:26:00,2016-05-12 20:43:00
lgtbi,2019,7268857,La obsesión homófoba de VOX empieza a ser enfermiza,https://forocoches.com/foro/showthread.php?t=7268857,10,273,199,142,7,2019-06-26 13:40:00,2019-07-01 08:39:00
lgtbi,2019,7293798,VOX es un partido HOMÓFOBO ?,https://forocoches.com/foro/showthread.php?t=7293798,2,35,32,7,1,2019-07-08 22:46:00,2019-07-09 08:29:00
lgtbi,2019,7306066,A favor o en contra de que se hagan cursos LGTB en las escuelas,https://forocoches.com/foro/showthread.php?t=7306066,6,177,140,67,4,2019-07-15 10:05:00,2019-07-16 07:17:00
lgtbi,2023,9472060,Las empresas con más de 50 empleados tienen un año para implantar un plan LGTBI,https://forocoches.com/foro/showthread.php?t=9472060,1,21,19,5,0,2023-03-10 20:29:00,2023-03-10 20:47:00
lgtbi,2023,9677912,Podemos quiere que Irene Montero siga como ministra de Igualdad,https://forocoches.com/foro/showthread.php?t=9677912,3,80,67,23,6,2023-09-06 17:11:00,2023-10-05 23:43:00
lgtbi,2023,9763018,Angela Pam: Aquí queda recopilado lo que hemos hecho y que nada nos querides,https://forocoches.com/foro/showthread.php?t=9763018,4,91,88,26,4,2023-11-20 13:59:00,2023-11-20 19:44:00
