categoria_revision,año_video,canal,titulo_video,texto,nivel_manual,expresion_detectada,observaciones
inmigracion,2023,Foil Arms and Hog,Getting Past Spanish Immigration,So good!! Need one for Portugal now haha🇵🇹,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,Que se creen que les van a dar el cielo por algo  emigran en tu país no ganáis para nada así,,,
inmigracion,2019,DMAX España,La dictadura franquista a ojos de la comunidad internacional | España después de la Guerra,"Son ellos los que han cambiado, no nosotros.",,,
inmigracion,2023,TRAMITEX Abogados de Extranjería,5 Cosas que Debe Hacer un Inmigrante Cuando Esta En España de Forma Irregular 😨,Hola cómo puedo contáctame con usted,,,
inmigracion,2019,VOX España,Abrumador apoyo a VOX y Santiago Abascal en Guadalajara,El respeto que tienen los contrarios,,,
inmigracion,2023,TRAMITEX Abogados de Extranjería,5 Cosas que Debe Hacer un Inmigrante Cuando Esta En España de Forma Irregular 😨,saludo mi mamá es ciudadana de holanda ella me puedes sacar la tarjeta comunitaria en españa soy dominicano mayor,,,
inmigracion,2019,GranCanariaTv.com,"&quot;Mujeres, homosexuales y catalanes nos apoyan&quot; Primer discurso de Santiago Abascal (VOX) en Congreso","La cara que ponen los sociatas con el Pedro a la cabeza es la del delincuente que quiere pasar por inocente pero que siendo mal actor, no lo consigue.
Que canallas!",,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,España ganas 1300 euros menos 700 de piso o el apartamento te queda 600 menos la comida y los servicios esta calculado para cubrir tus gatos para ahorrar muy difícil... Lo que dice la Sra es cierto gente,,,
inmigracion,2015,La Toroteca,&#39;Que en España hay un problema de inmigración es una cosa evidente&#39;,https://www.youtube.com/watch?v=a8M8pW48ork&t=143s  Mirar esto que lo explican muy bien,,,
inmigracion,2019,El Toro TV,¿Inmigrantes hispanoamericanos o magrebíes?,"Además, en América les matamos el hambre (literalmente) a los españoles, italianos, portugueses, etc.",,,
inmigracion,2019,COPE,"Herrera entrevista a Santiago Abascal, presidente de Vox",Ese hombre habla para la camisa,,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,"La verdad es que ""coger"" lo usamos para cosas pequeñas y ligeras, que pueden sostenerse en brazos, para todo lo demás usamos pillar o agarrar.",,,
inmigracion,2019,euronews (en español),La entrada de inmigrantes irregulares a España se reduce en un 39 % en lo que va de año,"Y estos van a pagarnos las pensiones, con el top manta y arrastrando un carrito lleno de chatarra. Claro, claro.",,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,"La cara jajaja, coger para ellos es agarrar, tomar, etc. Cómo Argentina se me salió la carcajada jajaja.",,,
inmigracion,2016,laSexta,Una detenida se niega a identificarse a la Policía – Policías en Acción,"La botella se ve en la imagen que se le cae de la mano y no la tira expresamente. El policía tuvo una actuación de  manual. El comportamiento de la chica  "" la estupidez humana no tiene límites"".",,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;A los MENAS hay que expulsarlos&quot; - El Hormiguero 3.0,"Santiago es una persona que.... o te cae bien, o le odias... no hay término medio",,,
inmigracion,2019,DMAX España,La dictadura franquista a ojos de la comunidad internacional | España después de la Guerra,Que extraño que Argentina ayudase a España en la época xD,,,
inmigracion,2019,VOX España,Colosal réplica de Santiago Abascal en la tribuna del Congreso 💪🇪🇸,"Increible, me he quedado sin palabras al ver tal magistral discurso .",,,
inmigracion,2023,Ventura Extranjería Abogados,VIAJAR CON EL PERMISO DE RESIDENCIA,Y permiso de formacion?,,,
inmigracion,2019,euronews (en español),La policía española halla personas escondidas en colchones para cruzar clandestinamente la frontera,son mexicanitos???? porque ellos acostumbran a irse de vacaciones de esa manera 😂,,,
inmigracion,2023,Balcells Group,Obtener un PERMISO DE TRABAJO Como TURISTA En España 💼🇪🇸 #inmigracion #extranjeria,Hola soy licenciada en derecho como puedo conseguir un contrato de trabajo  en España,,,
inmigracion,2019,VOX España,Santiago Abascal responde duramente a los que atacan a VOX,ME ENCANTAS VOX AUNQUE LA DERECHA SE ME QUEDE UN POCO EN LA IZQUIERDA,,,
inmigracion,2019,VOX España,¿Quién es realmente Santiago Abascal?,Magnífico Abascal.  Gracias por existir VOX.  Adelante VOX. Siempre VOX.💪💪💪,,,
inmigracion,2019,VOX España,Santiago Abascal desvela a dónde van las ayudas para la vivienda,"Aquí tenemos al ""racista"" de Abascal (nótese la ironía), diciendo verdades como puños.
Respeto para el común de los mortales, desprecio por aquellos hipócritas (me quedo corto con el término) que tienen como visón, como destino, destruir nuestras vidas.
VOX PLUS ULTRA, ESPAÑA PLUS ULTRA!!!!",,,
inmigracion,2023,TRAVEL LUKE,📈 RANKING PAÍSES con MÁS INMIGRANTES en ESPAÑA 🇪🇸,Una verdadera lástima que los españoles en el resto de Latinoamérica no estemos en España,,,
inmigracion,2019,BBC News Mundo,Valla de Melilla: la peligrosa frontera que separa la UE de África,De más fortificada nada,,,
inmigracion,2023,TRAMITEX Abogados de Extranjería,5 Cosas que Debe Hacer un Inmigrante Cuando Esta En España de Forma Irregular 😨,Y ahora nos puede explicar como conseguimos que una Empresa nos contrate siendo irregulares?,,,
inmigracion,2019,VOX España,El vídeo que los progres y las mafias de la inmigración no quieren que veas,"Muy bien Abascal, caña caña. Hay que decirle todo eso y más a la cara a estos pasotas. El 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",,,
inmigracion,2016,Antena 3 Noticias,La vida en la frontera: De Marruecos a España,Dictadura poderes detalles,,,
inmigracion,2023,David Placer,GALICIA busca MIGRANTES y les ofrece ¡TRABAJO FIJO!,Soy colombiana tengo la tie al día cuento con dos visados me gustaría trabajar como cuidadora de personas mayores,,,
inmigracion,2023,La Voz De Hispanoamérica,Pasar inmigración en España – ¿Cómo evitar que te denieguen la entrada?,Puede uno viajar sin una reserva,,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,"Muyyy bien , al pueblo lo que es del pueblo,lo demás es franquismo y demás mierdas intelectuales para alimentar la sosobra de los pueblos y los trabajadores en beneficio de una élite que no quería saber nada de sus congéneres al no ser que fueran hijos de los vencedores, muera franco y el fascismo 😊",,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,"Va a devolver los 60mil que cobró de los españoles sin hacer nada? Populista barato. Chaval en España y en  el resto de Europa tenemos una educación pública que nos enseñó a ignorar la ignorancia. Tu lucha es contra un libro, no en el congreso!",,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,"Mucho flojo llorón , mi abuelo emigró a brasil con un baúl con sus herramientas de carpintero y a base de mucho trabajo consiguió montarse un pequeño astillero en Angra dos Reis
 y con el paso de los años pasó de construir barcos de pesca  a buques de recreo y cuando ya tenia 70 años lo condecoro la marina brasileña por su trabajo . Cuando emigras tienes que trabajar duro y ser constante en tus proyectos de vida",,,
inmigracion,2019,EL PAÍS,ABASCAL (VOX): &quot;La responsabilidad es de la DERECHITA COBARDE&quot;,"Iros a la cama, habéis conseguido que la izquierda salgamos hasta debajo de las piedras, lo cual yo me alegro. 👏👏",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,Mi esposo se fue  a buscar el sueño americano sacarnos adelante ami ani niña y el me motivo a estudiar la univercidad y cuando estuvo aqui en mexico veia la forma sacarnos adelante y de pagarme los estudios ahora me faltan 2 años para terminar la univercidad un gran esposo hombre trabajador mi admiracion para todos los padres que se separan de su familia dios los bendiga😔😔😔,,,
inmigracion,2016,laSexta,Una detenida se niega a identificarse a la Policía – Policías en Acción,Bien hecho,,,
inmigracion,2015,DW Español,"Francia: musulmanes, no gracias | Enfoque Europa",Tienen derecho a decirles NO a los que no comparten sus raíces Cristianas q de malo hay,,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,Todos estos recalan en España? Somos el país más tonto del mundo 😮,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,Yo soy Española y es muy dificil vivir aqui . Ahi lo dejo .A mi España no me da nada. No me puedo empadronar por que no tengo casa y os quejais . Pa vuestros paises .,,,
inmigracion,2019,VOX España,El vídeo que los progres y las mafias de la inmigración no quieren que veas,🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸,,,
inmigracion,2023,TRAMITEX Abogados de Extranjería,5 Cosas que Debe Hacer un Inmigrante Cuando Esta En España de Forma Irregular 😨,Más volumen,,,
inmigracion,2023,Foil Arms and Hog,Getting Past Spanish Immigration,"I'm a simple YouTube surfer. I see Foil Arms and Hog, I click.",,,
inmigracion,2019,RoberSR,VOX SE BURLA DE LA SEXTA POR LA INMIGRACIÓN Y EL EFECTO LLAMADA || ¿PSOE Y PODEMOS MAYORÍA ABSOLUTA?,"Que bien habla y cuanta razón tiene, tiene mas visión que un politico",,,
inmigracion,2019,COPE,"Herrera entrevista a Santiago Abascal, presidente de Vox",Solo falta que Carlos Herrera le haga una felación no sirve solo con el masaje a este fascista,,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,😂🤣😂,,,
inmigracion,2023,TRAVEL LUKE,📈 RANKING PAÍSES con MÁS INMIGRANTES en ESPAÑA 🇪🇸,España no tiene nada q ver con Marruecos........,,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,Abascal es la.ostia jajajaja,,,
inmigracion,2019,VOX España,Santiago Abascal responde duramente a los que atacan a VOX,"Grande VOX, por España.",,,
inmigracion,2019,elDiarioes,Segundo debate de investidura | Intervención completa de Santiago Abascal,Felicito a Santiago Abascal . Dijo sin miedos toda la verdad a que nos enfrentamos los conservadores y verdaderos patriotas. Los conservadores se han cansado de bajar la cerviz ante esta izquierda agresiva que de una manera oculta nos quiere imponer una nueva manera de comunismo. Vida a todos estos lideres conservadores  que ponen su vigor a favor de los verdaderos valores por los ciudadanos.,,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,"Por fin alguien con criterio que defiende con buenos argumentos los intereses de España y de los Españoles, Abascal es el presidente que nos merecemos y que por tanto tiempo hemos estado esperando.",,,
inmigracion,2019,VOX España,Santiago Abascal desvela a dónde van las ayudas para la vivienda,Mas alto quiza......ADELANTE VOXXXXXX¡¡¡!,,,
inmigracion,2016,laSexta,Una detenida se niega a identificarse a la Policía – Policías en Acción,El policía se llama ESTEBAN,,,
inmigracion,2019,euronews (en español),La policía española halla personas escondidas en colchones para cruzar clandestinamente la frontera,pobrecitos :(,,,
inmigracion,2023,Kiwi Celeste,Qué otra palabra debería aprender Maddie para parecer más española?🇪🇸 #españa #latino,"En realidad para decirlo en castellano está bien dicho ""asir"" aunque suena raro",,,
inmigracion,2023,Soy Fabian Dicosta,ASÍ VIVEN LOS INMIGRANTES en los PUEBLOS DE ESPAÑA Que te PAGAN Por VIVIR Y TRABAJAR (Entrevistas),¿Cuál es el nombre del pueblo?,,,
inmigracion,2019,BBC News Mundo,Frontera entre México y EE.UU.: 5 números que muestran cuán grande es la crisis migratoria,"Me pregunto cuando será el día k la OEA, obligue a todos los países americanos a invertir en Educación Pública para sus pueblos, y motivarlos no sólo a estudiar pero tb a trabajar, y ser mas unidos, y castigar con mano dura a esos gobiernos corruptos k dañan a sus pueblos, y creo k no tengo k repetir k países son aquellos. 
Así como los países europeos k se unieron a pesar de crear 2 guerras mundiales...",,,
inmigracion,2023,TRAVEL LUKE,📈 RANKING PAÍSES con MÁS INMIGRANTES en ESPAÑA 🇪🇸,Escribe Rumaña y dice Romaña - no es lo mismo.,,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,بسكال هو الدي سوف يرجع الهيبه لاسبانيا,,,
inmigracion,2019,Fred De Palma,Fred De Palma &amp; Ana Mena - Se Iluminaba (Official Video),Like si hablas español e italiano y vives en italia 😘😘,,,
inmigracion,2023,Foil Arms and Hog,Getting Past Spanish Immigration,"The best advice I can give anyone going up La Alhambra is to just run. If you walk, you're going to take so long that you'll keep sitting down and you're going to stop at the super expensive shops and stalls. Also for the love of God don't come to Andalucía or Extremadura during the summer! (unless it's Cadíz or Huelva)",,,
