tema,sentimiento,title,texto,bertopic_nombre
Inmigración,Negativo,Golpe a la inmigración clandestina,"Golpe a la inmigración clandestina
Contra los derechos de los trabajadores extranjeros, fraude a la Seguridad Social, falsedad documental y asociación ilícita. Esos son los delitos que la Policía Nacional de Jaén imputa a los dos detenidos en el marco de una operación contra el tráfico ilegal de personas.
 Los arrestados son un vecino de la capital y un empresario de origen chino, pero afincado en España desde hace años. Presuntamente, ambos habrían puesto en pie una organización dedicada a ofrecer papeles de residencia a ciudadanos del gigante asiático a cambio de dinero. 
Además de los dos detenidos, hay al menos otras tres personas que fueron interrogadas por los agentes de la Brigada de Extranjería en calidad de imputados, tal y como confirman las fuentes consultadas. Todos quedaron en libertad con cargos, aunque solo los dos detenidos pasaron por las dependencias del Juzgado de Instrucción número 4 de Jaén, que lleva las diligencias previas. Su titular, la magistrada Carmen Ballesteros, no dictó ningún tipo de medida cautelar contra los dos arrestados tras firmar el auto por el que quedaban libres. 
La operación lleva meses fraguándose. Los agentes de la Brigada Provincial de Extranjería y Fronteras de la Comisaría tuvieron conocimiento de que ciudadanos chinos podrían estar entrando ilegalmente en España, aprovechándose de contratos de trabajo falsos. Tirando de ese hilo, la Policía llegó hasta varias empresas, ubicadas en Jaén y que eran las que, presuntamente, daban de alta a estas personas que, posteriormente, no llegaban a realizar actividad laboral alguna: ""Simulaban la relación laboral, ya que un contrato de trabajo es una condición indispensable para conseguir los permisos de residencia"", explican fuentes conocedoras del caso. Lógicamente, lograr los papeles tiene un precio. Y es que, presuntamente, los inmigrantes chinos pagaban a los miembros de la red importantes cantidades de dinero para venir a España. 
 La Brigada de Extranjería, con permiso del Juzgado de Instrucción número 4 de Jaén, tuvo ""pinchados"" varios teléfonos que utilizaban las dos personas detenidas.  También analizaron una ingente cantidad de documentación referida a las empresas que ofrecían los contratos. Llegaron a la conclusión de que no tenían actividad o  que su volumen de trabajo era insuficiente como para dar empleo a tantas personas. Y, por último, examinaron decenas de expedientes de ciudadanos chinos que habían regularizado su situación en España a través de alguna de estas sociedades.
Las fuentes consultadas explican que la investigación se fue complicando por el número de sociedades utilizadas, así como el elevado número de trabajadores. De hecho, fue necesaria la llegada de un equipo especializado de policías desplazado expresamente desde Madrid. La operación conjunta ""explotó"" el pasado miércoles, con las detenciones del empresario chino y del vecino de la capital. Los agentes también practicaron sendos registros en los domicilios de los arrestados, en los que se decomisó documentación.
Tras pasar una noche en los calabozos de la Comisaría, ambos fueron puestos a disposición del Juzgado de Instrucción número 4, ya en la mañana del pasado viernes. La juez Carmen Ballesteros los dejó en libertad, sin fijar ningún tipo de medida cautelar como presentarse cada cierto tiempo en el juzgado o retirarles los pasaportes. Eso sí, les mantuvo las imputaciones mientras se practican nuevas diligencias. De todos modos, la investigación sigue abierta y no se descartan más detenciones, tal y como apuntan las mismas fuentes.
Esta macrorredada es la última en una larga lista de operaciones desarrollada por la Policía Nacional contra este tipo de organizaciones que operan en la provincia. Recientemente, varios vecinos de Linares fueron condenados por la Audiencia Provincial por dar de alta a trabajadores extranjeros en empresas fantasma.",3_policía_detenido_policía nacional_agentes
Inmigración,Negativo,Los Reyes Magos van en patera,"Los Reyes Magos van en patera
Aquellos vetustos e ilusionadores Reyes Magos es agua nostálgica que no pasará por mi propio molino. Me despertaba y como no tenía una bota para colgarla en el balcón y una humilde cestita con rosetas con azúcar y unos cuantos caramelillos eran todo lo que podía esperar de los Reyes Magos, que no sé si fueron reales o fueron puestos en circulación por los pueblos para llevar ilusiones y esperanzas allí donde no eran posibles. De todas formas, sean los Reyes verdad o de piadosas mentirijillas, les he escrito una carta con varias peticiones, aunque sé, que nunca las verán mis cándidos ojos. En vez de ir montados en camellos, debieran viajar en pateras, pues de esta forma vieran las fatigas y la muerte de unas criaturas de Dios que dejan sus países de nacencia porque allí un plato de comida como Dios manda, es un mirlo blanco. Los Reyes, en vez de tantos juguetes y caramelos tirados a roña, debieran llevar amor y esperanza, medicinas y medios apropiados para que el ébola no sea tigre de Bengala o el león de la sabana devoradores de gente que han cometido el error de nacer en la miseria, desencanto y desesperación.
José Sánchez del Moral
 José Sánchez del Moral",-1_refugiados_personas_migrantes_país
Inmigración,Neutral,Cae de manera drástica la contratación de inmigrantes,"Cae de manera drástica la contratación de inmigrantes
El arranque del año no ha podido ser peor para los inmigrantes que viven en Jaén y no tienen trabajo. Si en enero de 2014 hubo 12.175 contratos, que representaron el 16% de los registrados ese mes, el mismo periodo de 2015 vio cómo la cantidad bajó de manera drástica hasta los 4.294 nuevos empleos, según datos del Observatorio Argos.
 No solo cayó el número de extranjeros que lograron un trabajo sino, también, el porcentaje sobre el global de contratos, que se quedó por debajo del 10%. Todo ello sin contar con la temporalidad, ya que la campaña de la aceituna es la responsable de la inmensa mayoría de estos puestos y su vida es, lamentablemente, muy corta, tanto para los jiennenses como para los inmigrantes. De los más de 4.000 contratos registrados en enero para extranjeros, únicamente 52 fueron indefinidos. Nada nuevo bajo el sol.
Además, está la cuestión de género: 3.924 contratos los firmaron hombres, y 370 mujeres. Las extranjeras solo les superaron a ellos en el caso de los trabajos de técnicos y profesionales científicos e intelectuales, con 14 féminas y 9 varones.
Por otro lado, las cifras que maneja ""Argos"" resaltan que los demandantes de empleo extranjeros en la provincia pasaron de ser 2.430 en enero de 2014 a 3.436 en 2015. De ellos, 2.431 figuran como paradas. 
El grueso de este colectivo que está en búsqueda de empleo revela tiene entre 34 y 44 años, y el 40% son de origen marroquí, seguidos de los demandantes rumanos y argelinos. El 21% de los que piden trabajo en la provincia lo solicitan de peón agrario y casi un 15%, como limpiador.
formación. Los colectivos que se encargan de ayudar a inmigrantes o que están conformados, precisamente, por ellos, tienen muy presente que la lacra del desempleo es un poderoso enemigo que no da tregua. Por ello, varias de las actividades se centran en buscar una solución: en hallar un puesto de trabajo. 
Es el caso, por ejemplo, del taller de nuevas tecnologías que organiza, cada viernes, la Asociación de Ecuatorianos Movimiento País en dependencias de la Biblioteca Municipal. La formación está enfocada de una manera muy directa a la búsqueda de empleo aprovechando las ventajas que ofrecen internet y las redes sociales. ""Nos llegan muchísimos casos de desempleados, cada vez más, a los que intentamos ayudar"", asegura Natacha Orejuela. Su colectivo también organiza recogidas de alimentos para familias necesitadas.",1_canarias_gobierno_migrantes_menores
Inmigración,Negativo,La tragedia de la inmigración,"La tragedia de la inmigración
El reciente naufragio, en el que podrían haber muerto, al menos, 700 personas frente a las costas de Libia, ha sido la mayor tragedia de inmigrantes ocurrida en los últimos años.
 Según cálculos de la Organización Mundial de las Migraciones, en los últimos diez años, cerca de 20.000 personas, procedentes del continente africano, han fallecido cuando intentaban llegar a las costas de Europa. No resulta fácil encontrar soluciones para atajar el drama de la inmigración. Los países más cercanos al continente africano son los que experimentan, en primer lugar y en mayor número, la gravedad humana y social de esta tragedia. Durante los últimos años, la Comunidad Europea no ha sido capaz de reducir esta avalancha humanitaria. Pienso que, en gran parte, es debida, entre otras causas, al ""efecto llamada"" que hacen las personas que han conseguido llegar a nuestro continente y, al verse acogidos y ayudados, animan a familiares y amigos a que los sigan. Gran parte de la sociedad acepta recibir inmigrantes en su país. Son muchos menos, los que quieren llevarlos a su casa; y muy pocos, los que están dispuestos a pagar más impuestos, o a recortar sus derechos, para ayudar a estas personas. Un dato que no ayuda es comprobar cómo, algunas de estas personas de procedencia musulmana, se comportan en los países que los acogen, o con lo ocurrido hace tan sólo unos días con otros inmigrantes de religión cristiana que, por no ser musulmanes, fueron arrojados al mar. Después, muchos de estos indeseables, son acogidos y ayudados por instituciones cristianas.",40_libia_mediterráneo_naufragio_costa libia
Inmigración,Negativo,Hablando de inmigración,"Hablando de inmigración
Hace ya muchos siglos, el imperialismo europeo se apoderó de África, América y parte de Asia. No fue para aportar lo bueno del viejo continente sino, al contrario, para despojar de sus riquezas a los nativos.
 No tuvieron bastante con el expolio material, que les arrancaron sus costumbres y creencias, convirtiéndolos en conversos a la fuerza. Fueron relegados a la esclavitud. Ahora, estos pueblos necesitan ayuda, ¿quién se la va a dar? Pienso que deberían ser quienes en tiempos pasados los explotó. Porque, ahora, se habla mucho de la llegada masiva de emigrantes a Europa, pero nadie da solución a este problema. ¿Tienen razón los que critican a las autoridades por la deportación de emigrantes a sus países de origen? ¿O los que piensan hasta que no se den condiciones óptimas, se debe cortar radicalmente la entrada de extranjeros de forma ilegal? Modestamente pienso que, quien pide la libre entrada de ilegales con la crisis que actualmente tenemos encima, se está equivocando. Si no hay trabajo para los de aquí ¿cómo va a haber para personas foráneas? El paraíso que les contaron ya no existe. Los tiempos de bonanza pasaron a la historia. Quienes tanto cacarean para que dejen entrada libre a los emigrantes, les están haciendo un flaco favor. Es decir, condicionar a que haya trabajo precario y mano de obra barata. Aquellos que defienden al inmigrante, ¿han visto las condiciones en que viven los que están llegando? Modestia aparte, yo sí: Durmiendo en una habitación ocho o diez v tomando el sol en las plazas. Si por lo que manifiesto en mi escrito, alguien me tacha de xenófobo, se equivoca. Ojalá llegue el día en que se rompan las fronteras geográficas, para que las personas puedan trasladarse a cualquier parte del mundo en busca de una vida más justa y digna, con las mismas obligaciones y derechos de los que allí habiten.
Francisco Cano Moya / Jaén",18_ue_europea_países_migración
Inmigración,Negativo,Nueve fallecidos tras el naufragio de una patera,"Nueve fallecidos tras el naufragio de una patera
Más de 5.600 inmigrantes fueron rescatados durante los tres últimos días en aguas del Mediterráneo por la Marina y la Guardia Costera italiana, mientras que, al menos nueve, fallecieron ayer cuando una embarcación sobrecargada se ha hundido frente a las costas de Libia.
 Según indicó, a la agencia ""Adnkronos"", la Guardia Costera, 144 inmigrantes fueron rescatados a unas 80 millas de las costas de Libia después de que la embarcación en la que viajaban haya volcado, cobrándose la vida de nueve de ellos, si bien no se descarta que pueda haber más fallecidos. A primera hora de esta mañana, según la Guardia Costera, había ""diez llamadas de auxilio en marchar y muchas actividades de rescate"". El pasado domingo se recibieron un total de 28 llamadas y se rescató a un total de 22 embarcaciones de diverso tipo.
Un duro Fin de Semana. Entre el viernes y el domingo, según la Guardia Costera, se llevaron a cabo operaciones que permitieron rescatar a un total de 5.629 inmigrantes que se encontraban en aguas entre el norte de África y las costas italianas. En las labores de rescate participarno cuatro embarcaciones y un avión de la Guardia Costera y nueve buques mercantiles, así como un buque de la Marina Militar, una patrullera islandesa y dos lanchas de la Guardia Costera que participan en la operación ""Tritón"" puesta en marcha por la Unión Europea. Según datos de la Organización Internacional para las Migraciones (OIM), en lo que va de año fueron rescatados unos 15.000 inmigrantes.",40_libia_mediterráneo_naufragio_costa libia
Inmigración,Neutral,Juncker insta a participar en la acogida a 120.000 refugiados,"Juncker insta a participar en la acogida a 120.000 refugiados
El presidente de la Comisión Europea, Jean-Claude Juncker, confirmó ante el pleno del Parlamento Europeo su propuesta para que los Estados miembros acepten reubicar en su territorio a otros 120.000 refugiados llegados inicialmente a Italia, Grecia y Hungría, como medida ""urgente"" y ""obligatoria"" en la que espera que participen ""todos"" los países de la UE.
 
Este segundo plan se sumaría a las primeras 40.000 plazas para demandantes de asilo que los Veintiocho se comprometieron a repartirse para aliviar la presión migratoria sobre los países que más refugiados reciben, aunque hasta el momento, los Estados miembros concretaron la reubicación de unas 32.000 personas. ""Hablamos de 160.000 personas de las que los europeos deben ocuparse. Debemos recibirlos con brazos abiertos y espero que esta vez todos se impliquen en este esfuerzo"", advertía Juncker en su intervención ante el pleno de la Eurocámara en Estrasburgo (Francia).
El jefe del Ejecutivo comunitario, además, avisó de que en Europa ""no cabe"" emplear criterios religiosos para definir quiénes tendrán derecho al asilo y quiénes no. El Gobierno eslovaco aseguró este verano que solo aceptaría recibir a inmigrantes cristianos. Y, asimismo, rechazó la ""demagogia"" y populismos sobre la carga que supondrá para los países de la UE recibir a estos inmigrantes, subrayando que el número de refugiados llegados a territorio comunitario apenas representa ""el 0,11 % de la población"" de los 28, mientras que en países como Líbano, representan el 25 % de la población. Juncker también reprochó las declaraciones cruzadas entre los Estados miembros a cuenta de la crisis de refugiados y los ataques a Bruselas, al tiempo que criticó que varios gobiernos europeos no cumplan plenamente las normas europeas en materia de asilo y refugiados. Por ello, la Comisión Europea abrirá varios expedientes sancionadores ""en los próximos días"".
""En Europa casi todo el mundo fue refugiado alguna vez"", dijo Juncker para apelar a la solidaridad de los Estados miembros y recordar episodios del pasado en el que refugiados europeos fueron acogidos en países vecinos, por ejemplo durante el nazismo o cuando ""los republicanos españoles fueron recibidos en campos de refugiados al sur de Francia"" tras su derrota en la Guerra Civil.",9_refugiados_países_ue_000
Inmigración,Neutral,Bruselas reubicará a 120.000 refugiados de forma temporal,"Bruselas reubicará a 120.000 refugiados de forma temporal
La Comisión Europea propondrá la próxima semana a los Estados miembros reubicar unos 120.000 refugiados de los países más afectados por la crisis actual, además de un mecanismo de reubicación permanente que se pueda activar de forma automática para responder a situaciones de emergencia en cualquier país.
 
El presidente de la Comisión Europea, Jean-Claude Juncker, avanzará el próximo miércoles 9 de septiembre, durante el discurso sobre el Estado de la Unión en el pleno de la Eurocámara, ""varias propuestas"" en las que llevan trabajando durante el verano, ""incluido el mecanismo de reubicación permanente"", explican fuentes del órgano europeo. ""Muy posiblemente habrá otra propuesta de reubicación temporal sobre la mesa a la luz del aumento notable de llegadas en Hungría, Grecia e Italia. Unos 120.000 es el tipo de dirección en la que queremos ir"", han precisado las fuentes consultadas, que han explicado que la cifra ""exacta"" todavía está ""en discusión"". Además, el Ejecutivo comunitario estudia ""como opción"" crear un nuevo mecanismo de reubicación temporal para 120.000 refugiados, aunque la portavoz de Inmigración de la Comisión Europea, Natasha Bertaud, rechazó ""comentar filtraciones"", afirmando que será Juncker el que ""elaborará las propuestas"". No obstante, sí admitió que estudian ""qué se puede hacer para asistir a Grecia, Italia y Hungría"".Los ministros del Interior de todos los países de la UE discutirán ""propuestas concretas"" en la reunión extraordinaria del 14 de septiembre.
La propuesta que plantea el presidente de la Comsión no incluirá ninguna cifra pero sí una llave de reparto obligatoria en función de criterios como el PIB, el tamaño de la población y la tasa de paro de cada país de la Unión Europea. También influirá la media de peticiones de asilo tramitadas y refugiados reubicados en años anteriores, aunque están abiertos a ""discutir"" un cambio en la ponderación según fuentes comunitarias. El mecanismo se activaría de forma automática en función de factores como los que existen con la crisis migratoria de ahora.",9_refugiados_países_ue_000
Inmigración,Negativo,"""Contrabando"" de refugiados","""Contrabando"" de refugiados
El ministro de Exteriores de Hungría, Peter Szijjarto, acusó a las autoridades de Croacia de estar incentivando que ""masas"" de refugiados estén cruzando ""ilegalmente"" la frontera común y, por tanto, cometiendo un ""delito"".
Las autoridades croatas llevaron ayer a cientos de refugiados ,en más de una decena de autobuses, a la frontera con Hungría, hasta donde también llegó posteriormente un tren con más de mil inmigrantes. 
La Policía húngara permitió el paso — al menos al primero de los grupos — y subió a los refugiados a bordo de autobuses para su traslado a dos puntos de registro en Szentgotthard y Vamosszabadi, cerca de la frontera con Austria. 
Szijjarto denunció en rueda de prensa que ""en lugar de ayudar a la gente, Croacia está animando a masas y masas de personas a cometer delitos"", toda vez que, según apostilló, ""cruzar ilegalmente la frontera es un delito"".
Croacia ha recibido en los últimos días a más de 13.000 inmigrantes y solicitantes de asilo desde que se endurecieron los controles entre Hungría y Serbia el pasado martes.
para austria . El Gobierno de Austria denunció más tarde que las autoridades húngaras estaban llevando a la frontera austriaca, sin ningún tipo de consulta, a cientos de inmigrantes y solicitantes de asilo que previamente habían llegado desde Croacia. Las autoridades húngaras permitieron el acceso para llevar a los inmigrantes a áreas de registro en Szentgotthard y Vamosszabadi, cerca de la frontera con Austria. Un portavoz del ministerio del Interior austriaco aseguró que nadie les ha consultado sobre este traslado.
 Austria espera recibir a unas 1.500 personas a través de la frontera húngara y ha advertido de que, en línea con el ""principio de proporcionalidad"", puede permitir o denegar la entrada en función de si solicitan o no asilo.
 Las autoridades croatas llevaron ayer a cientos de refugiados ,en más de una decena de autobuses, a la frontera con Hungría, hasta donde también llegó posteriormente un tren con más de mil inmigrantes.
La Policía húngara permitió el paso — al menos al primero de los grupos — y subió a los refugiados a bordo de autobuses para su traslado a dos puntos de registro en Szentgotthard y Vamosszabadi, cerca de la frontera con Austria.
Szijjarto denunció en rueda de prensa que ""en lugar de ayudar a la gente, Croacia está animando a masas y masas de personas a cometer delitos"", toda vez que, según apostilló, ""cruzar ilegalmente la frontera es un delito"".
Croacia ha recibido en los últimos días a más de 13.000 inmigrantes y solicitantes de asilo desde que se endurecieron los controles entre Hungría y Serbia el pasado martes.
para austria . El Gobierno de Austria denunció más tarde que las autoridades húngaras estaban llevando a la frontera austriaca, sin ningún tipo de consulta, a cientos de inmigrantes y solicitantes de asilo que previamente habían llegado desde Croacia. Las autoridades húngaras permitieron el acceso para llevar a los inmigrantes a áreas de registro en Szentgotthard y Vamosszabadi, cerca de la frontera con Austria. Un portavoz del ministerio del Interior austriaco aseguró que nadie les ha consultado sobre este traslado.
Austria espera recibir a unas 1.500 personas a través de la frontera húngara y ha advertido de que, en línea con el ""principio de proporcionalidad"", puede permitir o denegar la entrada en función de si solicitan o no asilo.",39_croacia_serbia_eslovenia_croata
Inmigración,Negativo,El drama de los refugiados,"El drama de los refugiados
Europa se muestra incapaz de ponerse de acuerdo en el drama de los refugiados, una crisis migratoria que ya se califica como un nuevo y terrible holocausto. La espeluznante imagen del cuerpo sin vida del pequeño Aylan en una playa ha sido un aldabonazo a la adormecida conciencia de un continente anestesiado con el goteo permanente de muertes de personas que solo buscan un futuro lejos de la guerra.
 La reunión del pasado viernes de los ministros de Asuntos Exteriores europeos apenas sirvió para escenificar el desencuentro y cruzar reproches, de manera que esta semana resulta decisiva para actuar antes de que la crisis vaya a más. No se puede centrar todo el debate en un problema de cuotas, de hasta dónde puede o quiere llegar cada país a la hora de acoger a refugiados, simplemente, porque no es un asunto de pesca o de producción agraria, sino de personas, de familias enteras que sufren y para las que cada día sin respuesta supone dilatar su angustia y sufrimiento. El éxodo es comparable al de la Segunda Guerra Mundial, con el epicentro en la frontera entre Austria y Hungría.
Mientras, en España, particulares y organizaciones no gubernamentales de todo el país se ofrecen para acoger a refugiados, y desde Jaén mismo ya se escuchan voces como la del alcalde de Villatorres (IU), Sebastián López, que tiene previsto llevar la propuesta al próximo pleno, una medida que a buen seguro barajan también otros ayuntamientos jiennenses. La respuesta de la sociedad es solidaria a manos llenas, solo falta que las autoridades sean capaces de canalizar tantas ganas de ayudar y liderar un plan de actuación conjunto, de toda Europa, que dé respuesta al grito de auxilio de millones de refugiados.",-1_refugiados_personas_migrantes_país
