anio,tema,origen,pct_negativo,pct_neutral,pct_positivo,comprobacion
2015,Inmigración,Prensa,54.58,42.66,2.76,100.0
2015,Inmigración,RRSS,61.71,29.3,8.99,100.0
2015,LGTBI,Prensa,47.47,45.53,7.0,100.0
2015,LGTBI,RRSS,40.26,33.93,25.81,100.0
2016,Inmigración,Prensa,54.34,42.93,2.73,100.0
2016,Inmigración,RRSS,63.6,27.49,8.91,100.0
2016,LGTBI,Prensa,50.8,42.69,6.51,100.0
2016,LGTBI,RRSS,40.47,32.49,27.03,99.99
2019,Inmigración,Prensa,54.04,43.53,2.43,100.0
2019,Inmigración,RRSS,50.65,27.72,21.64,100.01
2019,LGTBI,Prensa,48.25,42.54,9.21,100.0
2019,LGTBI,RRSS,47.82,32.12,20.07,100.01
2023,Inmigración,Prensa,51.75,44.66,3.59,100.0
2023,Inmigración,RRSS,50.55,38.91,10.54,100.0
2023,LGTBI,Prensa,46.9,43.59,9.52,100.01
2023,LGTBI,RRSS,57.5,32.66,9.83,99.99
