year_dataset,nivel_lgtbifobia,articulos,porcentaje
2015,hostilidad_explicita,79,4.16
2015,marco_conflictivo,46,2.42
2015,neutro,1430,75.26
2015,sin_mencion,219,11.53
2015,violencia_discriminacion,126,6.63
2016,hostilidad_explicita,146,4.87
2016,marco_conflictivo,83,2.77
2016,neutro,2186,72.96
2016,sin_mencion,265,8.85
2016,violencia_discriminacion,316,10.55
2019,hostilidad_explicita,193,3.38
2019,marco_conflictivo,254,4.45
2019,neutro,3987,69.8
2019,sin_mencion,503,8.81
2019,violencia_discriminacion,775,13.57
2023,hostilidad_explicita,344,4.55
2023,marco_conflictivo,503,6.66
2023,neutro,4916,65.07
2023,sin_mencion,523,6.92
2023,violencia_discriminacion,1269,16.8
