anio,origen,tema,sentimiento,nivel_xenofobia,nivel_lgtbifobia,bertopic_id,bertopic_nombre
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,3,3_policía_detenido_policía nacional_agentes
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,1,1_canarias_gobierno_migrantes_menores
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,40,40_libia_mediterráneo_naufragio_costa libia
2015,Prensa,Inmigración,Negativo,hostilidad_explicita,sin_mencion,18,18_ue_europea_países_migración
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,40,40_libia_mediterráneo_naufragio_costa libia
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,9,9_refugiados_países_ue_000
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,9,9_refugiados_países_ue_000
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,39,39_croacia_serbia_eslovenia_croata
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,6,6_refugiados_acogida_ayuntamiento_gobierno
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,52,52_hungría_orbán_referéndum_húngaros
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,68,68_refugiados_crisis_europa_crisis refugiados
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,9,9_refugiados_países_ue_000
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,46,46_000_mediterráneo_europa_acnur
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,17,17_grecia_refugiados_turquía_idomeni
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,83,83_patera_alhucemas_desaparecidos_salvamento
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,39,39_croacia_serbia_eslovenia_croata
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,56,56_cañizares_iglesia_arzobispo_cardenal
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,26,26_sanitaria_sanidad_atención_tarjeta
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,6,6_refugiados_acogida_ayuntamiento_gobierno
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,9,9_refugiados_países_ue_000
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,14,14_cádiz_playa_embarcación_melilla
2015,Prensa,Inmigración,Positivo,marco_conflictivo,sin_mencion,12,12_turquía_ue_ankara_turco
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,39,39_croacia_serbia_eslovenia_croata
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,1,1_canarias_gobierno_migrantes_menores
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,46,46_000_mediterráneo_europa_acnur
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,46,46_000_mediterráneo_europa_acnur
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,sin_mencion,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,15,15_guardia costera_costera_inmigrantes_guardia
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,18,18_ue_europea_países_migración
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,41,41_barco_watch_salvini_ong
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,3,3_policía_detenido_policía nacional_agentes
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,63,63_patera_naufragio_canarias_embarcación
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,12,12_turquía_ue_ankara_turco
2015,Prensa,Inmigración,Negativo,hostilidad_explicita,sin_mencion,78,78_macron_derecha_francia_ley
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,48,48_siria_sirios_refugiados_líbano
2015,Prensa,Inmigración,Neutral,sin_mencion,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,16,16_papa_francisco_papa francisco_pontífice
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,16,16_papa_francisco_papa francisco_pontífice
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,56,56_cañizares_iglesia_arzobispo_cardenal
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,56,56_cañizares_iglesia_arzobispo_cardenal
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,27,27_incendio_bomberos_llamas_fuego
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,56,56_cañizares_iglesia_arzobispo_cardenal
2015,Prensa,Inmigración,Neutral,sin_mencion,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,hostilidad_explicita,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Neutral,hostilidad_explicita,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,48,48_siria_sirios_refugiados_líbano
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,8,8_italia_meloni_salvini_italiano
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,7,7_ceuta_inmigrantes_valla_vallado
2015,Prensa,Inmigración,Negativo,sin_mencion,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,0,0_patera_salvamento_marítimo_salvamento marítimo
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,-1,-1_refugiados_personas_migrantes_país
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,2,2_alemania_merkel_refugiados_berlín
2015,Prensa,Inmigración,Negativo,neutro,sin_mencion,3,3_policía_detenido_policía nacional_agentes
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Neutral,marco_conflictivo,sin_mencion,19,19_melilla_valla_salto_inmigrantes
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,3,3_policía_detenido_policía nacional_agentes
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,89,89_día_jornada_migrante_día internacional
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,3,3_policía_detenido_policía nacional_agentes
2015,Prensa,Inmigración,Neutral,neutro,sin_mencion,1,1_canarias_gobierno_migrantes_menores
2015,Prensa,Inmigración,Negativo,marco_conflictivo,sin_mencion,3,3_policía_detenido_policía nacional_agentes
