palabra,frecuencia
pais,785
gente,591
espana,570
inmigrantes,361
puta,357
mierda,322
inmigracion,304
paises,265
espanoles,265
problema,261
personas,247
europa,237
trabajo,221
casa,215
refugiados,200
dinero,193
guerra,184
fuera,180
hombre,178
culo,176
vienen,171
cojones,171
quieren,168
hijos,166
puto,166
millones,166
alemania,166
etc,163
normal,163
encima,162
tenemos,161
dos,156
alguien,156
mayoria,156
vivir,155
estoy,152
dar,151
has,150
persona,150
tengo,148
mientras,147
mal,146
vamos,142
viene,141
tema,139
mujer,139
cualquier,139
aunque,139
ayudas,138
ahi,138
trabajar,138
pueden,137
demas,136
tienes,135
hijo,135
dicho,134
parte,131
espanol,130
gran,129
sociedad,129
aun,126
podemos,125
tipo,124
poblacion,124
cuenta,123
familia,122
joder,121
caso,121
hacen,120
mujeres,120
voy,120
tiempo,120
gobierno,119
falta,119
sido,118
ejemplo,118
gracias,118
ademas,117
dan,117
veo,117
moros,117
tal,116
favor,115
ilegal,113
poder,113
forma,113
sino,111
ley,110
digo,110
quiere,109
bueno,108
politicos,108
algun,108
tomar,106
segun,106
ningun,106
alli,105
extranjeros,104
nosotros,104
social,104
siria,103
somos,103
espanola,102
todas,102
madre,101
soy,101
pasa,101
ano,100
resto,99
inmigrante,98
partido,97
hoy,96
realidad,94
problemas,94
cierto,94
progres,94
datos,94
situacion,93
cara,92
seguro,92
vox,92
derecho,92
derechos,91
medio,91
puesto,91
nunca,90
acuerdo,89
momento,89
despues,89
venga,87
dicen,87
ninos,87
paguitas,87
padres,86
haber,86
cabeza,86
nuestro,86
tampoco,86
haya,85
quiero,85
ayuda,84
sean,84
deberia,84
incluso,84
foro,83
gusta,83
psoe,82
francia,82
debe,81
visto,81
