titulo_hilo,comentarios
"REGUGIADO SIRIO: ""ESPERABA MÁS de ESPAÑA""",1510
Interior traslada a Huesca a 200 migrantes llegados desde Canarias,513
Un hombre de 52 años se transforma en una niña de seis,512
Estoy a favor de la inmigración ilegal,299
La obsesión homófoba de VOX empieza a ser enfermiza,265
"Los EXTRANJEROS APORTAN el 10 % a la Seguridad Social y SOLO RECIBEN el 0,9 %",221
Valencia. nmigrantes sin papeles empadronados durante un año cobrarán hasta 532 euros,207
¿Estarias a favor de expulsar a todos los musulmanes de España?,202
"Progres, asumidlo: El Nacionalismo Identitario tomará las riendas de Europa",181
"Refugees vienen, ven que España está hecho mierdas y se van desengañados...",179
A favor o en contra de que se hagan cursos LGTB en las escuelas,173
¿Es transfobia que un hetero prefiera a una mujer cis?,155
Si te molesta el lenguaje inclusivo de Spider-Man 2... (Hobby consolas),154
Cagada de Ayuso modificando las leyes Trans,145
Apuntando alto: quiénes están detrás de la inmigración (pruebas dentro),134
Somos un país de emigrantes,129
Descubierta la mentira de las pateras +Mafia +Soros,116
"La inmigración, un evidente problema social.",110
Árbitro deja el arbitraje por recibir continuos insultos homofobos.,97
"""Conexión entre inmigración y delincuencia realmente no existe""",96
