palabra,frecuencia
país,1474
españa,1471
inmigrantes,1415
problema,1209
vox,1037
vida,997
países,968
mundo,922
refugiados,889
europa,870
mal,723
derechos,711
trabajo,696
inmigración,670
mierda,620
mujer,601
hacen,593
gay,572
ley,569
falta,558
dinero,553
tampoco,552
sino,539
millones,538
mujeres,532
quieren,526
casa,517
pasa,512
ningún,511
dar,510
españoles,504
realidad,496
izquierda,492
guerra,492
hijos,490
derecha,489
quiere,488
mayoría,486
partido,485
nunca,481
mientras,480
problemas,479
poder,478
podemos,471
niños,467
población,458
derecho,449
homosexuales,447
demás,443
sociedad,442
