bigrama,frecuencia
extrema derecha,170
derechos humanos,142
orientación sexual,137
mano obra,97
inmigrantes ilegales,90
inmigración ilegal,87
efecto llamada,74
muchas veces,73
reino unido,69
punto vista,67
hijos puta,64
semana santa,63
guardia civil,61
seres humanos,60
matrimonio homosexual,58
mismos derechos,54
colectivo lgtbi,51
gestación subrogada,50
puta madre,50
refugiados sirios,50
redes sociales,49
orgullo gay,49
guerra civil,47
puta idea,47
país origen,47
hombres mujeres,47
libertad expresión,46
unión europea,45
oriente medio,44
países origen,44
open arms,44
sigue siendo,44
cientos miles,43
ningún momento,42
arabia saudí,41
ningún problema,41
seguridad social,40
puestos trabajo,38
obra barata,38
totalmente acuerdo,38
bla bla,36
violencia género,36
inmensa mayoría,35
siglo xxi,34
partido político,33
gran mayoría,33
ley trans,33
campos concentración,33
iglesia católica,33
dinero público,32
ayudas sociales,32
hijo puta,32
servicios sociales,30
comprensión lectora,30
delito odio,30
medios comunicación,30
derechos fundamentales,29
estatus refugiado,29
sanidad pública,29
millones euros,29
comunidad madrid,28
llama atención,28
irene montero,28
acuerdo contigo,28
año pasado,28
derechos lgtbi,27
varias veces,27
parejas homosexuales,27
bandera españa,26
dejar entrar,26
inmigración masiva,26
bandera lgtbi,26
españa país,26
tomar culo,26
fake news,26
permiso residencia,26
millones habitantes,26
casos aislados,25
sanidad educación,25
refugiados guerra,25
fin semana,25
inmigrantes refugiados,24
ningún sitio,24
padre madre,24
millones refugiados,24
países musulmanes,24
calidad vida,24
arco iris,24
guardias civiles,24
color piel,24
largo plazo,24
matrimonio gay,23
ministerio interior,23
partidos políticos,23
población española,23
hacen falta,23
campos refugiados,23
campo refugiados,23
puedo entender,23
cambio sexo,23
mercado laboral,22
regla tres,22
inmigrantes vienen,22
refugiados inmigrantes,22
vox partido,22
situación irregular,22
países árabes,22
guerra siria,22
condiciones laborales,22
pena muerte,21
vergüenza ajena,21
debería haber,21
sanidad universal,21
ministerio igualdad,21
acoger refugiados,21
superioridad moral,21
gustaría saber,20
mil veces,20
mayoría población,20
salvar vidas,20
falso dilema,20
relaciones sexuales,20
puesto trabajo,19
bandera arcoiris,19
blanco negro,19
nivel educativo,19
ningún lado,19
servicios públicos,19
condición sexual,19
vivir vida,19
mujeres hombres,19
derechos sociales,19
jugarse vida,19
votan vox,19
primer mundo,19
país guerra,19
permiso trabajo,19
vox vox,19
mayoría absoluta,19
banderas oficiales,19
fin cabo,19
cambio climático,19
pablo iglesias,19
ningún país,19
resto mundo,18
haga falta,18
seres luz,18
países europeos,18
podría haber,18
población inmigrante,18
colectivo lgtb,18
manos cabeza,18
importa mierda,18
vida privada,18
puta mierda,18
leer escribir,18
votar negativo,18
izquierda derecha,18
odio hacia,18
inmigrante ilegal,18
clase obrera,18
problema inmigración,18
votar vox,17
condiciones vida,17
mayoría inmigrantes,17
miles millones,17
votos vox,17
ana botella,17
opinión pública,17
inmigrantes irregulares,17
tercer mundo,17
cometer delitos,17
euros mes,17
pagar impuestos,17
primer ministro,17
hazte oír,17
poner bandera,17
guerra mundial,17
mundo sabe,17
hija puta,17
unas cuantas,17
salir armario,17
salir mal,17
algún problema,17
algún momento,17
millones inmigrantes,16
vox quiere,16
defensa propia,16
vienen patera,16
solucionar problema,16
decenas miles,16
hijo homosexual,16
tribunal supremo,16
gran problema,16
casa campo,16
pedro sánchez,16
gran puta,16
