trigrama,frecuencia
mano obra barata,37
bla bla bla,18
ayyy ignore próxima,12
comentarios encontrado media,12
revisando fondo comentarios,12
asco revisando fondo,12
encontrado media neurona,12
lloricona supongo defensa,12
madre ayyy ignore,12
lloriquear lloricona supongo,12
hembrismo asco revisando,12
fondo comentarios encontrado,12
defensa hembrismo asco,12
puta madre ayyy,12
total sigue vas,12
partido extrema derecha,12
vas puta madre,12
sigue vas puta,12
supongo defensa hembrismo,12
media neurona total,12
neurona total sigue,12
falacia falso dilema,10
población española general,10
bandera arco iris,9
mano delante detrás,9
delitos violencia género,9
mano obra esclava,9
quieren mano obra,9
hijos gran puta,8
respeto derechos humanos,8
segunda guerra mundial,8
orientación sexual identidad,8
correlación implica causalidad,7
picadura cobra gay,7
podría salir mal,7
hija gran puta,7
saber leer escribir,7
procesiones semana santa,7
declaración derechos humanos,6
efecto llamada existe,6
riesgo exclusión social,6
cometido ningún delito,6
cientos miles refugiados,6
carta derechos humanos,6
artículo constitución española,6
bajo nivel educativo,6
fuerzas cuerpos seguridad,6
inversión carga prueba,6
ley oferta demanda,6
rubios ojos azules,6
pleno siglo xxi,6
paja ojo ajeno,6
mayor fosa común,6
cataluña país vasco,5
concejalía ciclo vida,5
centros acogida refugiados,5
creencia defender ideas,5
dejar morir mar,5
emiratos árabes unidos,5
derechos humanos básicos,5
fronteras cal canto,5
gays votan vox,5
mayor menor medida,5
matrimonio sacramento cristiano,5
mano obra cualificada,5
ley matrimonio homosexual,5
imposición sangre creencia,5
falta mano obra,5
navidad semana santa,5
menores extranjeros acompañados,5
problema inmigración ilegal,5
piedras propio tejado,5
nuevo bajo sol,5
ningún humano ilegal,5
representa imposición sangre,5
sangre creencia defender,5
segunda tercera generación,5
unas condiciones vida,5
