bigrama,frecuencia
viva españa,1014
viva vox,984
santiago abascal,437
españa viva,403
vox viva,359
vox vox,335
dios bendiga,227
arriba españa,204
abascal presidente,198
hijos dios,181
votar vox,155
padre madre,144
grande abascal,142
señor abascal,141
pablo motos,137
vox españa,132
españa españoles,126
voto vox,126
nacionalidad española,121
muchas gracias,119
gracias dios,109
viva franco,108
adelante vox,106
presidente españa,104
arriba vox,101
verdades puños,93
inmigrantes ilegales,90
seres humanos,86
papa francisco,85
guerra civil,84
daniel carreon,83
españa vox,82
grande santiago,81
madre patria,80
españa necesita,79
inmigración ilegal,78
abascal viva,77
gracias vox,76
bla bla,76
ana mena,75
orientación sexual,74
vivir españa,70
españa país,70
buenas tardes,69
único partido,69
totalmente acuerdo,68
hombres mujeres,68
madre padre,67
palabra dios,66
españa españa,66
hizo llorar,63
grande vox,63
daniel carreón,63
ceuta melilla,62
guardia civil,60
pedro sánchez,59
extrema derecha,58
don santiago,57
viva rusia,57
medios comunicación,56
reino dios,56
ole ole,53
pueblo español,53
dios ama,52
buenos días,52
muchas veces,51
madre rusia,51
for the,51
buenas noches,50
partido político,49
vox partido,49
buen video,48
presidente gobierno,48
seguridad social,48
primer mundo,47
vas carrito,47
vox único,47
presidente viva,47
viva abascal,47
votaré vox,46
buen trabajo,45
contrato trabajo,45
vox arriba,44
derechos humanos,44
hola buenas,44
hoy dia,44
che guevara,43
jajajaja jajajaja,43
llama pueblo,43
dios hijos,43
comunidad lgbt,43
thank you,43
francisco franco,42
santiago presidente,42
reino unido,42
españa grande,41
unión europea,41
ciudadanía española,41
heredarán reino,40
tigres norte,40
vivir pueblo,40
and the,40
viva rey,40
vola vola,39
grande rusia,38
buen inmigrante,38
quiero pasar,38
gran mayoría,38
viva madre,38
españa arriba,38
hermosa canción,38
ciudadana española,37
hora quiero,37
espero hora,37
pasar noche,37
amo españa,37
mente abierta,36
ciudadano español,36
amor amor,36
the end,36
this was,36
votos vox,36
noche sola,35
historia españa,35
the spanish,35
dios dios,35
cierra españa,35
amor mundo,35
siglo xxi,35
madre mia,35
españoles viva,35
país origen,35
vota vox,35
viva santiago,35
quiero vivir,35
pedro sanchez,34
voy votar,34
vox abascal,34
quisiera saber,34
the best,34
mano obra,34
recógeme espero,34
delito pecado,34
bonita canción,33
españa marruecos,33
salir adelante,33
partidos políticos,33
comer pollo,33
hora hora,33
hijo dios,32
mismos derechos,32
made china,32
they are,32
bravo abascal,32
españoles primero,32
guerra mundial,32
vivo españa,32
próximas elecciones,32
falta respeto,32
punto vista,32
mil veces,32
ortega smith,31
vivir trabajar,31
queda vox,31
dios dijo,31
encontrar trabajo,31
bit everything,31
citt senza,31
this video,31
millones españoles,31
abascal grande,31
partido vox,31
permiso trabajo,30
santiago cierra,30
gracias santiago,30
desierto citt,30
vola recógeme,30
dios creó,30
sola amor,30
padres madres,30
países origen,30
libertad expresión,30
bravo santiago,30
sodoma gomorra,30
algun dia,30
dios padre,30
mundo desierto,30
condición humana,30
grande santi,29
parejas homosexuales,29
saludos argentina,29
poca vergüenza,29
pecado dios,29
vox santiago,29
gustaría saber,29
that was,29
new year,29
españa pais,28
españa gracias,28
abascal vox,28
all the,28
dios mio,28
guinea ecuatorial,28
santiago viva,28
segunda guerra,28
camino vida,28
vida real,28
españoles españa,27
mundo entero,27
futuro presidente,27
españa europa,27
pablo iglesias,27
grande libre,27
bravo bravo,27
short film,27
chung long,27
gustaría vivir,27
mayoría españoles,27
rey viva,27
hijo gay,26
extrema necesidad,26
españa italia,26
votantes vox,26
creación dios,26
partido defiende,26
vivir galicia,26
voy españa,25
vida eterna,25
ningún problema,25
vergüenza ajena,25
viviendo españa,25
iglesia católica,25
palo agua,25
patria españa,25
ultra derecha,25
dios mujer,25
francia alemania,25
españa unida,25
sigo esperando,25
quiero saber,25
españa madre,24
grande polonia,24
the world,24
with the,24
carreón gay,24
viva polonia,24
puedo creer,24
gracias españa,24
vox adelante,24
irme vivir,24
from the,24
freddie mercury,24
pareja homosexual,24
franco viva,24
país españa,24
siento cuerpo,24
sigue siendo,24
américa latina,24
camino hacia,24
vivir vida,24
encanta canción,24
calidad vida,24
hijos nietos,24
doy gracias,24
hermoso país,23
wonder alfred,23
dime vas,23
homosexualidad pecado,23
marruecos españa,23
vivir país,23
extrema izquierda,23
buscar trabajo,23
primero españoles,23
vas quedarte,23
estudiar trabajar,23
ley dios,23
grande españa,23
fuerza vox,23
vox gracias,23
you guys,22
bisabuelo español,22
ley memoria,22
bailamos madrugada,22
vivir rusia,22
países europeos,22
presidente presidente,22
entrar españa,22
república dominicana,22
sonido melodía,22
busca dios,22
puto amo,22
pagar impuestos,22
ayudas sociales,22
buen corto,22
love this,21
papá francisco,21
quedarte pase,21
mal españa,21
pareja heterosexual,21
abrazas siento,21
ping chung,21
gracias compartir,21
lejana bailamos,21
oscuras camino,21
union europea,21
llama canción,21
sabía daniel,21
spanish and,21
nombre pueblo,21
mano dura,21
ningún país,21
hacia iluminaba,21
mujer mujer,21
mujeres hombres,21
melodía lejana,21
vox habla,21
abascal único,21
what the,21
votando vox,21
vox voto,21
andaba oscuras,21
cuerpo vola,21
tarde temprano,21
españoles vox,21
one the,21
trabajar españa,21
viva cristo,21
dime amor,21
amor dios,21
pase andaba,21
soltar hostias,21
dan ayudas,21
padres abuelos,20
gracias abascal,20
gran trabajo,20
gracias información,20
hacen falta,20
pecado delito,20
fortuna abrazas,20
país mundo,20
sociedad española,20
quiero españa,20
medio oriente,20
psoe podemos,20
efecto llamada,20
dinero público,20
gobernar españa,20
historia cultura,20
idólatras adúlteros,20
ideología género,20
don pedro,20
puesto trabajo,20
inmigrantes legales,20
