Topic,Count,Name,Representation,Representative_Docs
-1,17478,-1_españa_vox_viva_españoles,"['españa', 'vox', 'viva', 'españoles', 'the', 'país', 'abascal', 'vida', 'mundo', 'franco']","['viva vox y viva españa', 'viva españa y viva vox', 'viva españa viva vox 🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸']"
0,1504,0_dios_pecado_biblia_papa,"['dios', 'pecado', 'biblia', 'papa', 'hijos dios', 'jesús', 'hijos', 'francisco', 'camino', 'delito']","['bueno, eso hay que explicárselo a dios🤷\u200d♀️', 'eso hace que odie a dios', 'dios no creo adán y a estaban']"
1,1454,1_vox_votar_voto_partido,"['vox', 'votar', 'voto', 'partido', 'elecciones', 'políticos', 'político', 'votos', 'votar vox', 'partidos']","['viva vox viva españa \na votar avox. que boi 🇪🇸', 'el 10n a votar a vox', '10n a votar vox! viva españa!']"
2,1279,2_gay_homosexuales_lgbt_homofobia,"['gay', 'homosexuales', 'lgbt', 'homofobia', 'gays', 'homosexual', 'homosexualidad', 'sexual', 'heterosexual', 'bisexual']","['¿daniel carreño es gay?', 'orgullosamente gay !!', '.\n\n\n\n\n\n\n\n\n\n¿¡como que el ""facilisimo ¿verdad?"" es gay!?']"
3,1158,3_ole_españa_abascal_ole ole,"['ole', 'españa', 'abascal', 'ole ole', 'pablo', 'vas', 'santi', 'cojones', 'carrito', 'sánchez']","['ole y ole.viva españa mi tierra.que buen bolero.', 'abascal es la salvacion de españa', 'campeones campeones ole ole ole']"
4,962,4_inmigrantes_inmigración_ilegal_inmigrante,"['inmigrantes', 'inmigración', 'ilegal', 'inmigrante', 'ilegales', 'legal', 'país', 'inmigración ilegal', 'migrantes', 'inmigrantes ilegales']","['hhhhh sin inmigrantes que ?', 'hombre, el problema no es contigo... españa también fue un país inmigrante en su día... lo que no se puede tener es inmigración ilegal... eso no es bueno ni para los inmigrantes ni para el país', 'vox nunca se ha quejado de los inmigrantes regularizados y legales. ni tampoco de los inmigrantes ilegales. si de la inmigración ilegal y de todos los que la sustentan y se benefician de ella']"
5,895,5_bla_bla bla_amén_putin,"['bla', 'bla bla', 'amén', 'putin', 'españa', 'grande', 'ay', 'película', 'ole', 'daniel']","['nooooo como q daniel carreon,no es lqbt', 'grande el vladimir putin😎👌', '🇪🇸❤🇪🇸viva  vox🇪🇸❤🇪🇸viva españa 🇪🇸🇪🇸❤🇪🇸🇪🇸']"
6,775,6_madre_padre_niño_niños,"['madre', 'padre', 'niño', 'niños', 'padres', 'padre madre', 'hijo', 'madres', 'familia', 'pais']","['viva me padre y me madre', 'sí claro que siempre es mejor con un padre y una madre.', 'un niño preferiblemente debe tener padre y madre']"
7,719,7_canción_cancion_hermosa_bonita,"['canción', 'cancion', 'hermosa', 'bonita', 'música', 'song', 'llorar', 'canciones', 'encanta', 'ana']","['está llegadora la canción.', 'una chulada de canción', 'esa canción me ye gol']"
8,670,8_videos_vídeos_buen_encanta,"['videos', 'vídeos', 'buen', 'encanta', 'this', 'canal', 'clip', 'the', 'canso', 'excelente']","['ya hay hasta videos de esto, es totalmente surrealista 😂', 'por que hacen estos videos', 'mencantoo mencantan ts videos']"
9,590,9_español_españoles_spanish_española,"['español', 'españoles', 'spanish', 'española', 'she', 'españa españoles', 'viva', 'spain', 'and', 'that']","['son vosotros, los que modificaron el español!', 'solo vox se acuerda de los españoles', 'esto es ser un español para los españoles']"
10,528,10_marruecos_marroquíes_marroquí_compartimos,"['marruecos', 'marroquíes', 'marroquí', 'compartimos', 'melilla', 'ceuta', 'cultura', 'ceuta melilla', 'marroquies', 'et']","['mandalos a marruecos otra vez!', 'marruecos se comera españa', 'que tiene que ver españa con marruecos?😅']"
11,513,11_país_países_paises_felices,"['país', 'países', 'paises', 'felices', 'mundo', 'españa país', 'pais', 'españa', 'propio país', 'internacional']","['estos son países más caóticos del mundo 🙃', 'cada quien es su país', 'por eso estáis mejor con vuestra gente, en vuestro país.']"
12,510,12_españoles_vox_partido_presidente,"['españoles', 'vox', 'partido', 'presidente', 'abascal', 'español', 'españa españoles', 'españa', 'voto', 'viva']","['muy bien señor abascal el único partido que nos representa a españa y a los españoles y que defiende nuestra nación arriba vox y arriba españa', 'el presidente de los españoles.', 'viva vox como siempre todos con vox el único partido que defiende a los españoles']"
13,508,13_viva_viva españa_viva vox_vox viva,"['viva', 'viva españa', 'viva vox', 'vox viva', 'españa viva', 'santiago', 'vox', 'abascal', 'santiago abascal', 'españa']","['viva vox, viva euskadi y viva españa', 'santiago abascal es dios en persona, viva vox y viva españa', 'con vox a por todas. viva españa y viva vox. 🇪🇸🇪🇸🇪🇸💚💚💚']"
14,491,14_rusia_putin_rusos_viva rusia,"['rusia', 'putin', 'rusos', 'viva rusia', 'madre', 'rusa', 'viva madre', 'vivir', 'viva', 'grande']","['así es rusia !!!! así se hace !!!', 'yo en rusia estaría muertisima ._.', 'rusia! rusia! rusia!']"
15,466,15_policía_policia_guardia_paciencia,"['policía', 'policia', 'guardia', 'paciencia', 'policías', 'agente', 'autoridad', 'seguridad', 'documentación', 'guardia civil']","['dios que policía tan paciente', 'policía rambo jjajajaja', 'por necia , bien el policía']"
