Topic,Count,Porcentaje,palabras_clave
-1,17478,41.18,
0,1504,3.54,"dios, pecado, biblia, papa, hijos dios, jesús, hijos, francisco, camino, delito"
1,1454,3.43,"vox, votar, voto, partido, elecciones, políticos, político, votos, votar vox, partidos"
2,1279,3.01,"gay, homosexuales, lgbt, homofobia, gays, homosexual, homosexualidad, sexual, heterosexual, bisexual"
3,1158,2.73,"ole, españa, abascal, ole ole, pablo, vas, santi, cojones, carrito, sánchez"
4,962,2.27,"inmigrantes, inmigración, ilegal, inmigrante, ilegales, legal, país, inmigración ilegal, migrantes, inmigrantes ilegales"
5,895,2.11,"bla, bla bla, amén, putin, españa, grande, ay, película, ole, daniel"
6,775,1.83,"madre, padre, niño, niños, padres, padre madre, hijo, madres, familia, pais"
7,719,1.69,"canción, cancion, hermosa, bonita, música, song, llorar, canciones, encanta, ana"
8,670,1.58,"videos, vídeos, buen, encanta, this, canal, clip, the, canso, excelente"
9,590,1.39,"español, españoles, spanish, española, she, españa españoles, viva, spain, and, that"
10,528,1.24,"marruecos, marroquíes, marroquí, compartimos, melilla, ceuta, cultura, ceuta melilla, marroquies, et"
11,513,1.21,"país, países, paises, felices, mundo, españa país, pais, españa, propio país, internacional"
12,510,1.2,"españoles, vox, partido, presidente, abascal, español, españa españoles, españa, voto, viva"
13,508,1.2,"viva, viva españa, viva vox, vox viva, españa viva, santiago, vox, abascal, santiago abascal, españa"
14,491,1.16,"rusia, putin, rusos, viva rusia, madre, rusa, viva madre, vivir, viva, grande"
15,466,1.1,"policía, policia, guardia, paciencia, policías, agente, autoridad, seguridad, documentación, guardia civil"
16,460,1.08,"trabajo, dinero, trabajar, contrato, sueldo, paro, residencia, pagar, euros, laborales"
17,453,1.07,"musulmanes, islam, musulmana, europa, musulmán, árabes, cristianos, países, francia, religión"
18,449,1.06,"españoles, ayudas, inmigrantes, trabajo, español, extranjeros, trabajar, primero, vienen, inmigración"
19,425,1.0,"presidente, abascal presidente, abascal, presidente españa, presidente presidente, presidente viva, presidente gobierno, viva, viva vox, futuro presidente"
20,398,0.94,"información, hola, bendiciones, felicidades, felicitaciones, contactar, dios bendiga, saludos, puedo, bendiga"
21,349,0.82,"verdades, puños, verdades puños, mentira, mentiras, abascal, realidad, miente, vox, mentirosos"
22,342,0.81,"italiano, italia, italianos, italiana, españa italia, español, in, versión, encanta, più"
23,327,0.77,"racista, racismo, racistas, negro, negra, negros, color, blanco, comentarios, raza"
24,323,0.76,"niño, niños, homosexuales, padres, homosexual, padre, gay, hijo, adoptar, pareja"
25,269,0.63,"película, cortometraje, film, movie, short, this, corto, it, the, of"
26,258,0.61,"pecado, homosexualidad, dios, homosexual, biblia, homosexuales, delito, papa, caridad, iglesia"
27,257,0.61,"amor, love, encanta, hermoso, corto, beautiful, amor amor, is, this, gusta"
28,223,0.53,"argentina, argentino, argentinos, saludos, acá, españa, boludo, milei, viva, mal"
29,218,0.51,"jajajaja, huevos, jajajaja jajajaja, jajaja, jajajajaj, jajajajajaja, jaja, jajaj, jajajajaja, huevo"
30,211,0.5,"chica, mujer, señora, hermosa, her, girl, guapa, bella, linda, just"
31,209,0.49,"polonia, polacos, polaco, grande, felicitaciones, bravo, patriotas, dios bendiga, excelente, bendiga"
32,208,0.49,"europa, europea, europeos, unión europea, unión, union europea, europeo, union, españa europa, países"
33,197,0.46,"comunismo, franco, comunistas, comunista, dictadura, guerra, stalin, dictador, franquista, república"
34,196,0.46,"year, 2020, año, new, 2021, 2023, happy, the, to, for"
35,188,0.44,"tío, señor, hombres, genio, tio, razón, habla, hará, trabajo hará, grande"
36,185,0.44,"cuba, galicia, española, esposo, ciudadana, cubana, ciudadana española, ciudadanía, hola, esposa"
37,184,0.43,"mujeres, mujer, hombres, violencia, feminismo, género, feminista, machista, hombres mujeres, gustan mujeres"
38,183,0.43,"risa, humor, risas, reír, funny, xd, the, gracioso, joke, jajaja"
39,181,0.43,"minuto, 34, 35, xd, 49, 13, minutos, 04, 52, 25"
40,178,0.42,"ken, china, japoneses, made, perú, peruano, street, chino, chinos, in"
41,166,0.39,"madrid, barcelona, ciudad, capital, ciudades, vivir, pueblos, and, noches, ir"
42,158,0.37,"llorar, llorando, crying, hizo llorar, lágrimas, cry, hizo, this, llorado, llore"
43,156,0.37,"méxico, mexico, mexicanos, mexicano, mexicana, frontera, unidos, españa, acá, hermanos"
44,154,0.36,"periodistas, periodista, medios, periodismo, comunicación, news, medios comunicación, propaganda, fake, noticias"
45,142,0.33,"miedo, vergüenza, vergonzoso, ajena, vergüenza ajena, dislike, independentista, mal españa, ja, dan"
