year_dataset,Topic,Name,documentos,total_documentos_anio,porcentaje_corpus,etiqueta
2015,0,0_lgtbi_igualdad_ley_diversidad,71,1900,3.74,"Derechos, igualdad y diversidad"
2015,1,1_fútbol_jankto_futbolista_jugador,27,1900,1.42,Diversidad sexual en el fútbol
2015,2,2_orgullo_00_orgullo gay_20,52,1900,2.74,Orgullo gay y celebraciones
2015,3,3_homosexualidad_cañizares_alcalá_obispado,36,1900,1.89,Iglesia y homosexualidad
2015,4,4_orgullo_lgtbi_orgullo lgtbi_lgtbiq,4,1900,0.21,Orgullo y colectivo LGTBI
2015,5,5_acusado_víctima_hechos_prisión,24,1900,1.26,Casos judiciales y víctimas
2015,6,6_película_personajes_serie_cine,44,1900,2.32,Representación en cine y series
2015,8,8_rusia_propaganda_ruso_rusa,37,1900,1.95,Políticas anti-LGTBI en Rusia
2015,9,9_si_bisexuales_mujeres_homosexuales,32,1900,1.68,Bisexualidad y mujeres
2015,10,10_víctimas_detenido_agentes_policía,19,1900,1.0,Policía y detenciones
2015,11,11_matrimonio_mismo sexo_parejas_sexo,87,1900,4.58,Matrimonio entre personas del mismo sexo
2015,12,12_mateen_orlando_club_tiroteo,26,1900,1.37,Atentado de Orlando
2015,13,13_salud_transexuales_personas_transexualidad,15,1900,0.79,Salud y personas trans
2015,14,14_odio_delitos_agresiones_delitos odio,13,1900,0.68,Delitos de odio y agresiones
2015,15,15_carmen_programa_actriz_veneno,21,1900,1.11,15_carmen_programa_actriz_veneno
2015,16,16_bandera_ayuntamiento_orgullo_día,50,1900,2.63,"Orgullo, banderas e instituciones"
2015,17,17_lgtbi_barcelona_lona_vox,2,1900,0.11,17_lgtbi_barcelona_lona_vox
2015,18,18_girona_gay_rock_cine,16,1900,0.84,18_girona_gay_rock_cine
2015,19,19_barcelona_psc_collboni_partido,24,1900,1.26,19_barcelona_psc_collboni_partido
2015,20,20_premio_cine_festival_premios,5,1900,0.26,20_premio_cine_festival_premios
2015,21,21_matrimonio_supremo_florida_tribunal,88,1900,4.63,Matrimonio igualitario en Estados Unidos
2015,22,22_taiwán_matrimonio_mismo sexo_asia,11,1900,0.58,Matrimonio igualitario en Taiwán
2015,23,23_ejército_trump_obama_transgénero,31,1900,1.63,23_ejército_trump_obama_transgénero
2015,24,24_atletas_atletismo_transgénero_competir,3,1900,0.16,Personas trans en el deporte
2015,25,25_padrino_salinas_iglesia_obispado,82,1900,4.32,Iglesia y controversias religiosas
2015,26,26_nombre_cambio nombre_cambio_niña,14,1900,0.74,Cambio de nombre e infancia trans
2015,27,27_transexual_policía_paloma_mujer,20,1900,1.05,27_transexual_policía_paloma_mujer
2015,28,28_especies_comportamiento_machos_individuos,2,1900,0.11,28_especies_comportamiento_machos_individuos
2015,29,29_sangre_donar_donar sangre_homosexuales,60,1900,3.16,Donación de sangre y homosexualidad
2015,30,30_uganda_museveni_homosexualidad_ley,23,1900,1.21,30_uganda_museveni_homosexualidad_ley
2015,31,31_agresión_pareja_observatorio_pareja gay,19,1900,1.0,31_agresión_pareja_observatorio_pareja gay
2015,32,32_iglesia_vaticano_papa_sacerdote,61,1900,3.21,Iglesia y Vaticano
2015,33,33_protocolo_educativa_centros_identidad,15,1900,0.79,33_protocolo_educativa_centros_identidad
2015,34,34_turismo_fitur_destino_oferta,22,1900,1.16,34_turismo_fitur_destino_oferta
2015,35,35_vox_pp_lgtbi_investidura,1,1900,0.05,35_vox_pp_lgtbi_investidura
2015,36,36_literatura_novela_libro_stuart,9,1900,0.47,36_literatura_novela_libro_stuart
2015,37,37_trabajo_personas_laboral_empresas,5,1900,0.26,37_trabajo_personas_laboral_empresas
2015,39,39_marruecos_marroquí_rabat_marroquíes,29,1900,1.53,39_marruecos_marroquí_rabat_marroquíes
2015,40,40_miss_jenner_caitlyn_ángela,36,1900,1.89,40_miss_jenner_caitlyn_ángela
2015,41,41_jerusalén_israelí_israel_marcha,27,1900,1.42,41_jerusalén_israelí_israel_marcha
2015,42,42_estambul_turca_turquía_policía,22,1900,1.16,42_estambul_turca_turquía_policía
2015,44,44_agresión_transexual_policía_odio,3,1900,0.16,44_agresión_transexual_policía_odio
2015,45,45_bendición_iglesia_papa_bendiciones,3,1900,0.16,45_bendición_iglesia_papa_bendiciones
2015,48,48_reproducción_asistida_reproducción asistida_mujeres,32,1900,1.68,48_reproducción_asistida_reproducción asistida_mujeres
2015,49,49_mr gay_mr_gay_gay pride,13,1900,0.68,49_mr gay_mr_gay_gay pride
2015,50,50_circuit_barcelona_festival_circuit festival,14,1900,0.74,50_circuit_barcelona_festival_circuit festival
2015,53,53_italia_uniones_senado_proyecto,11,1900,0.58,53_italia_uniones_senado_proyecto
2015,56,56_nigeria_asilo_país_camerún,20,1900,1.05,56_nigeria_asilo_país_camerún
2015,59,59_itziar_letonia_castro_actriz,1,1900,0.05,59_itziar_letonia_castro_actriz
2015,60,60_ibiza_40 aniversario_carnaval_calles centro,7,1900,0.37,60_ibiza_40 aniversario_carnaval_calles centro
2015,63,63_irlanda_matrimonio_referéndum_dublín,50,1900,2.63,Referéndum de matrimonio en Irlanda
2015,64,64_acoso_ciento_jóvenes_escolar,18,1900,0.95,64_acoso_ciento_jóvenes_escolar
2015,65,65_metro_agresión_barcelona_guardia,1,1900,0.05,65_metro_agresión_barcelona_guardia
2015,66,66_trans_transgénero_mujer_belarra,4,1900,0.21,66_trans_transgénero_mujer_belarra
2015,67,67_papa_francisco_pontífice_plasencia,18,1900,0.95,67_papa_francisco_pontífice_plasencia
2015,69,69_brunéi_sultán_lapidación_adulterio,1,1900,0.05,69_brunéi_sultán_lapidación_adulterio
2015,70,70_00_concierto_100_30,1,1900,0.05,70_00_concierto_100_30
2015,71,71_pecado_papa_francisco_delito,2,1900,0.11,71_pecado_papa_francisco_delito
2015,74,74_homosexualidad_terapia_libro_em,11,1900,0.58,74_homosexualidad_terapia_libro_em
2015,75,75_actor_contado_silvestre_pueblo,4,1900,0.21,75_actor_contado_silvestre_pueblo
2015,78,78_gay games_games_valència_2026,9,1900,0.47,78_gay games_games_valència_2026
2015,80,80_españoles_iglesias_rodó_países,3,1900,0.16,80_españoles_iglesias_rodó_países
2015,81,81_paloma río_río_gimnasia_paloma,1,1900,0.05,81_paloma río_río_gimnasia_paloma
2015,82,82_modelo_secret_marca_victoria,4,1900,0.21,82_modelo_secret_marca_victoria
2015,83,83_madrid_orgullo_cogam_ciudadanos,3,1900,0.16,83_madrid_orgullo_cogam_ciudadanos
2016,0,0_lgtbi_igualdad_ley_diversidad,149,2996,4.97,"Derechos, igualdad y diversidad"
2016,1,1_fútbol_jankto_futbolista_jugador,109,2996,3.64,Diversidad sexual en el fútbol
2016,2,2_orgullo_00_orgullo gay_20,64,2996,2.14,Orgullo gay y celebraciones
2016,3,3_homosexualidad_cañizares_alcalá_obispado,148,2996,4.94,Iglesia y homosexualidad
2016,4,4_orgullo_lgtbi_orgullo lgtbi_lgtbiq,20,2996,0.67,Orgullo y colectivo LGTBI
2016,5,5_acusado_víctima_hechos_prisión,71,2996,2.37,Casos judiciales y víctimas
2016,6,6_película_personajes_serie_cine,54,2996,1.8,Representación en cine y series
2016,7,7_bandera_bandera lgtbi_ayuntamiento_vox,3,2996,0.1,Bandera LGTBI y ayuntamientos
2016,8,8_rusia_propaganda_ruso_rusa,8,2996,0.27,Políticas anti-LGTBI en Rusia
2016,9,9_si_bisexuales_mujeres_homosexuales,59,2996,1.97,Bisexualidad y mujeres
2016,10,10_víctimas_detenido_agentes_policía,54,2996,1.8,Policía y detenciones
2016,11,11_matrimonio_mismo sexo_parejas_sexo,60,2996,2.0,Matrimonio entre personas del mismo sexo
2016,12,12_mateen_orlando_club_tiroteo,128,2996,4.27,Atentado de Orlando
2016,13,13_salud_transexuales_personas_transexualidad,69,2996,2.3,Salud y personas trans
2016,14,14_odio_delitos_agresiones_delitos odio,17,2996,0.57,Delitos de odio y agresiones
2016,15,15_carmen_programa_actriz_veneno,26,2996,0.87,15_carmen_programa_actriz_veneno
2016,16,16_bandera_ayuntamiento_orgullo_día,40,2996,1.34,"Orgullo, banderas e instituciones"
2016,17,17_lgtbi_barcelona_lona_vox,6,2996,0.2,17_lgtbi_barcelona_lona_vox
2016,18,18_girona_gay_rock_cine,18,2996,0.6,18_girona_gay_rock_cine
2016,19,19_barcelona_psc_collboni_partido,9,2996,0.3,19_barcelona_psc_collboni_partido
2016,20,20_premio_cine_festival_premios,23,2996,0.77,20_premio_cine_festival_premios
2016,21,21_matrimonio_supremo_florida_tribunal,24,2996,0.8,Matrimonio igualitario en Estados Unidos
2016,22,22_taiwán_matrimonio_mismo sexo_asia,20,2996,0.67,Matrimonio igualitario en Taiwán
2016,23,23_ejército_trump_obama_transgénero,18,2996,0.6,23_ejército_trump_obama_transgénero
2016,24,24_atletas_atletismo_transgénero_competir,13,2996,0.43,Personas trans en el deporte
2016,25,25_padrino_salinas_iglesia_obispado,21,2996,0.7,Iglesia y controversias religiosas
2016,26,26_nombre_cambio nombre_cambio_niña,58,2996,1.94,Cambio de nombre e infancia trans
2016,27,27_transexual_policía_paloma_mujer,12,2996,0.4,27_transexual_policía_paloma_mujer
2016,28,28_especies_comportamiento_machos_individuos,11,2996,0.37,28_especies_comportamiento_machos_individuos
2016,29,29_sangre_donar_donar sangre_homosexuales,26,2996,0.87,Donación de sangre y homosexualidad
2016,30,30_uganda_museveni_homosexualidad_ley,8,2996,0.27,30_uganda_museveni_homosexualidad_ley
2016,31,31_agresión_pareja_observatorio_pareja gay,26,2996,0.87,31_agresión_pareja_observatorio_pareja gay
2016,32,32_iglesia_vaticano_papa_sacerdote,21,2996,0.7,Iglesia y Vaticano
2016,33,33_protocolo_educativa_centros_identidad,49,2996,1.64,33_protocolo_educativa_centros_identidad
2016,34,34_turismo_fitur_destino_oferta,31,2996,1.03,34_turismo_fitur_destino_oferta
2016,35,35_vox_pp_lgtbi_investidura,2,2996,0.07,35_vox_pp_lgtbi_investidura
2016,36,36_literatura_novela_libro_stuart,26,2996,0.87,36_literatura_novela_libro_stuart
2016,37,37_trabajo_personas_laboral_empresas,6,2996,0.2,37_trabajo_personas_laboral_empresas
