año,mes,ccaa,siglas,nombre,votos,diputados,comunidad
2019,11,1,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,47485,0,Andalucía
2019,11,4,PODEMOS-EUIB,UNIDAS PODEMOS-UNIDES PODEM,82225,2,Baleares
2019,11,5,CCa-PNC-NC,COALICIÓN CANARIA-NUEVA CANARIAS,124289,2,Canarias
2019,11,5,PDSJE,PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS,713,0,Canarias
2019,11,8,PPSO,PLATAFORMA DEL PUEBLO SORIANO,1466,0,Castilla y León
2019,11,10,PUM+J,POR UN MUNDO MÁS JUSTO,1220,0,Extremadura
2019,11,11,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,64661,0,Galicia
2019,11,13,PODEMOS-IU-BATZARRE,UNIDAS PODEMOS,55498,1,Navarra
2019,11,15,IZQP,IZQUIERDA EN POSITIVO,434,0,Murcia
2019,11,17,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,2247,0,Comunidad Valenciana
2019,11,19,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,5087,0,Melilla
2019,11,1,CAnda,CONVERGENCIA ANDALUZA,520,0,Andalucía
2019,11,3,ANDECHA,ANDECHA ASTUR,887,0,Asturias
2019,11,4,PP,PARTIDO POPULAR,103722,2,Baleares
2019,11,5,VOX,VOX,118006,2,Canarias
2019,11,6,PRC,PARTIDO REGIONALISTA DE CANTABRIA,68830,1,Cantabria
2019,11,7,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,629,0,Castilla-La Mancha
2019,11,8,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,434287,12,Castilla y León
2019,11,8,UNIÓN REGIO,UNIÓN REGIONALISTA DE CASTILLA Y LEÓN,530,0,Castilla y León
2019,11,10,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,3676,0,Extremadura
2019,11,10,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,227447,5,Extremadura
2019,11,12,PUM+J,POR UN MUNDO MÁS JUSTO,4305,0,Madrid
2019,11,16,VOX,VOX,18908,0,La Rioja
2019,11,2,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,476,0,Aragón
2019,11,2,PP,PARTIDO POPULAR,167233,4,Aragón
2019,11,2,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,1059,0,Aragón
2019,11,3,MÁS PAÍS-EQ,MÁS PAÍS-EQUO,12732,0,Asturias
2019,11,4,VOX,VOX,77520,2,Baleares
2019,11,5,EB,ESCAÑOS EN BLANCO,418,0,Canarias
2019,11,8,CONTIGO,CONTIGO SOMOS DEMOCRACIA,229,0,Castilla y León
2019,11,8,PP,PARTIDO POPULAR,438993,13,Castilla y León
2019,11,9,Cs,CIUTADANS-PARTIDO DE LA CIUDADANÍA,217935,2,Cataluña
2019,11,11,MÁS PAÍS-EQ,MÁS PAÍS-EQUO,22826,0,Galicia
2019,11,11,VOX,VOX,116381,0,Galicia
2019,11,13,NA+,NAVARRA SUMA,99078,2,Navarra
2019,11,15,PUM+J,POR UN MUNDO MÁS JUSTO,431,0,Murcia
2019,11,15,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,881,0,Murcia
2019,11,19,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,19,0,Melilla
2019,11,1,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,346094,3,Andalucía
2019,11,2,M PAÍS-CHA-,MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO,23196,0,Aragón
2019,11,3,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,626,0,Asturias
2019,11,7,VOX,VOX,238196,5,Castilla-La Mancha
2019,11,9,VOX,VOX,243640,2,Cataluña
2019,11,10,VOX,VOX,99823,2,Extremadura
2019,11,14,PCTE/ELAK,PARTIDO COMUNISTA DE LOS TRABAJADORES DE EUSKADI/EUSKADIKO LANGILEEN ALDERDI KOMUNISTA,982,0,País Vasco
2019,11,14,VOX,VOX,28979,0,País Vasco
2019,11,16,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,1096,0,La Rioja
2019,11,16,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,307,0,La Rioja
2019,11,17,ERPV,ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ,5875,0,Comunidad Valenciana
2019,11,17,P-LIB,PARTIDO LIBERTARIO,556,0,Comunidad Valenciana
2019,11,18,PODEMOS-IU,UNIDAS PODEMOS,1300,0,Ceuta
2019,11,18,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,125,0,Ceuta
2019,11,1,RISA,PARTIDO REPUBLICANO INDEPENDIENTE SOLIDARIO ANDALUZ,249,0,Andalucía
2019,11,1,VOX,VOX,869909,12,Andalucía
2019,11,4,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,33451,0,Baleares
2019,11,4,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,947,0,Baleares
2019,11,7,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,542,0,Castilla-La Mancha
2019,11,7,P-LIB,PARTIDO LIBERTARIO,47,0,Castilla-La Mancha
2019,11,7,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,360013,9,Castilla-La Mancha
2019,11,7,RECORTES CERO-GV-PCAS-TC,RECORTES CERO-GRUPO VERDE-PARTIDO CASTELLANO-TIERRA COMUNERA,1637,0,Castilla-La Mancha
2019,11,9,I.Fem,INICIATIVA FEMINISTA,3005,0,Cataluña
2019,11,9,PCPC,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,2145,0,Cataluña
2019,11,11,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,11475,0,Galicia
2019,11,14,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,379002,6,País Vasco
2019,11,15,PP,PARTIDO POPULAR,189500,3,Murcia
2019,11,17,AVANT ADELANTE LOS VERDES,AVANT ADELANTE LOS VERDES,5416,0,Comunidad Valenciana
2019,11,17,CONTIGO,CONTIGO SOMOS DEMOCRACIA,875,0,Comunidad Valenciana
2019,11,17,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,137,0,Comunidad Valenciana
2019,11,17,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,700159,10,Comunidad Valenciana
2019,11,1,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,6025,0,Andalucía
2019,11,1,PUM+J,POR UN MUNDO MÁS JUSTO,5256,0,Andalucía
2019,11,2,AUNACV,AUNA COMUNITAT VALENCIANA,13,0,Aragón
2019,11,2,FIA,FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN,461,0,Aragón
2019,11,5,PUM+J,POR UN MUNDO MÁS JUSTO,871,0,Canarias
2019,11,5,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,994,0,Canarias
2019,11,6,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,76028,1,Cantabria
2019,11,8,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,8085,0,Castilla y León
