año,mes,ccaa,comunidad,siglas,nombre,votos,diputados
2023,7,1,Andalucía,FO,FRENTE OBRERO,7106,0
2023,7,1,Andalucía,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1467501,21
2023,7,1,Andalucía,PUM+J,POR UN MUNDO MÁS JUSTO,6419,0
2023,7,1,Andalucía,ALM,ALMERIENSES - REGIONALISTAS PRO ALMERÍA,874,0
2023,7,1,Andalucía,PP,PARTIDO POPULAR,1596044,25
2023,7,1,Andalucía,VOX,VOX,671507,9
2023,7,1,Andalucía,PACMA,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE,34850,0
2023,7,1,Andalucía,LB,LIBRES,210,0
2023,7,1,Andalucía,RECORTES CERO,RECORTES CERO,3769,0
2023,7,1,Andalucía,SUMAR,SUMAR ANDALUCÍA,525371,6
2023,7,1,Andalucía,ADELANTE ANDALUCÍA,ADELANTE ANDALUCÍA,9191,0
2023,7,1,Andalucía,CJ,CAMINANDO JUNTOS,2809,0
2023,7,1,Andalucía,ESCAÑOS EN BLANCO,ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS,942,0
2023,7,1,Andalucía,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,2963,0
2023,7,1,Andalucía,JxG,JUNTOS POR GRANADA,1218,0
2023,7,1,Andalucía,XH,POR HUELVA,1931,0
2023,7,1,Andalucía,JM+,JAÉN MERECE MÁS,8293,0
2023,7,1,Andalucía,FE de las JONS,FALANGE ESPAÑOLA DE LAS J.O.N.S.,681,0
2023,7,2,Aragón,FO,FRENTE OBRERO,1378,0
2023,7,2,Aragón,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,222391,4
2023,7,2,Aragón,PUM+J,POR UN MUNDO MÁS JUSTO,569,0
2023,7,2,Aragón,PP,PARTIDO POPULAR,259145,7
2023,7,2,Aragón,VOX,VOX,104463,1
2023,7,2,Aragón,PACMA,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE,3098,0
2023,7,2,Aragón,RECORTES CERO,RECORTES CERO,419,0
2023,7,2,Aragón,ESCAÑOS EN BLANCO,ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS,2756,0
2023,7,2,Aragón,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,758,0
2023,7,2,Aragón,FE de las JONS,FALANGE ESPAÑOLA DE LAS J.O.N.S.,272,0
2023,7,2,Aragón,F.I.A.,FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN,506,0
2023,7,2,Aragón,SUMAR ARAGÓN,SUMAR ARAGÓN,87825,1
2023,7,2,Aragón,EXISTE,ARAGÓN EXISTE - COALICIÓN EXISTE,20440,0
2023,7,2,Aragón,PAR,PARTIDO ARAGONÉS,4173,0
2023,7,3,Asturias,FO,FRENTE OBRERO,1176,0
2023,7,3,Asturias,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,205049,2
2023,7,3,Asturias,PUM+J,POR UN MUNDO MÁS JUSTO,773,0
2023,7,3,Asturias,PP,PARTIDO POPULAR,212816,3
2023,7,3,Asturias,VOX,VOX,74571,1
2023,7,3,Asturias,PACMA,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE,3167,0
2023,7,3,Asturias,RECORTES CERO,RECORTES CERO,590,0
2023,7,3,Asturias,SUMAR,SUMAR,88630,1
2023,7,3,Asturias,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,1598,0
2023,7,3,Asturias,PUEDE,PARTIDO UNIONISTA ESTADO DE ESPAÑA,269,0
2023,7,3,Asturias,ASTURIAS EXISTE EV,ASTURIAS EXISTE-ESPAÑA VACIADA,2314,0
2023,7,4,Baleares,FO,FRENTE OBRERO,1039,0
2023,7,4,Baleares,PP,PARTIDO POPULAR,179303,3
2023,7,4,Baleares,VOX,VOX,76547,1
2023,7,4,Baleares,PACMA,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE,4969,0
2023,7,4,Baleares,RECORTES CERO,RECORTES CERO,726,0
2023,7,4,Baleares,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,719,0
2023,7,4,Baleares,PSIB-PSOE,PARTIDO SOCIALISTA DE ISLAS BALEARES-PSOE,151786,3
2023,7,4,Baleares,MÉS PER MALLORCA-MÉS PER MENORCA-SUMAR,SUMAR MÉS,83487,1
2023,7,5,Canarias,FO,FRENTE OBRERO,2254,0
2023,7,5,Canarias,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,341261,6
2023,7,5,Canarias,PUM+J,POR UN MUNDO MÁS JUSTO,563,0
2023,7,5,Canarias,PP,PARTIDO POPULAR,311627,6
2023,7,5,Canarias,VOX,VOX,77343,1
2023,7,5,Canarias,PACMA,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE,9717,0
2023,7,5,Canarias,RECORTES CERO,RECORTES CERO,1162,0
2023,7,5,Canarias,CCa,COALICIÓN CANARIA,116363,1
2023,7,5,Canarias,NC-bc,NUEVA CANARIAS - BLOQUE CANARISTA,45595,0
2023,7,5,Canarias,SUMAR,SUMAR CANARIAS,108001,1
2023,7,5,Canarias,AHORA CANARIAS-PCPC,AHORA CANARIAS-PARTIDO COMUNISTA DEL PUEBLO CANARIO,1674,0
2023,7,6,Cantabria,FO,FRENTE OBRERO,790,0
2023,7,6,Cantabria,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,116596,2
